time,t1-normal,t1-evil,t2-normal,t2-evil,t3-normal,t3-evil,t4-normal,t4-evil,t5-normal,t5-evil
100000,25649,0,27233,0,12896,0,9522,0,3511,0
200000,28389,0,34679,0,16043,0,12222,0,4321,0
300000,28783,0,35658,0,16431,0,12527,0,4447,0
400000,26745,0,28388,0,19180,0,14554,0,8938,0
500000,28424,0,25434,0,18896,0,14076,0,9054,0
600000,28284,0,24872,0,18653,0,13942,0,8995,0
700000,26917,0,25529,0,18197,0,14230,0,9243,0
800000,27211,0,25182,0,17899,0,14393,0,9282,0
900000,27267,0,25065,0,17982,0,14389,0,9278,0
1000000,26801,0,24779,0,18184,0,14276,0,9177,0
1100000,26901,0,24725,0,18332,0,14158,0,9349,0
1200000,27035,0,24800,0,18329,0,14191,0,9355,0
1300000,26612,0,24281,0,18175,0,14203,0,9370,0
1400000,26864,0,24138,0,18203,0,14258,0,9369,0
1500000,26959,0,24126,0,18198,0,14270,0,9357,0
1600000,27470,0,23852,0,18214,0,14393,0,9040,0
1700000,27829,0,24040,0,18269,0,14564,0,9076,0
1800000,27812,0,24063,0,18367,0,14576,0,9127,0
1900000,26484,0,24861,0,17889,0,14499,0,9223,0
2000000,26541,0,25065,0,17754,0,14666,0,9399,0
2100000,26686,0,25108,0,17704,0,14684,0,9412,0
2200000,27004,0,24601,0,17657,0,14320,0,9531,0
2300000,27205,0,24787,0,17941,0,14303,0,9568,0
2400000,27249,0,24858,0,18001,0,14396,0,9567,0
2500000,27545,0,24483,0,17573,0,14135,0,9083,0
2600000,27924,0,24787,0,17660,0,14138,0,9036,0
2700000,28065,0,24927,0,17672,0,14166,0,9115,0
2800000,27615,0,25542,0,18004,0,14067,0,8725,0
2900000,27422,0,25322,0,18444,0,14260,0,8805,0
3000000,27517,0,25339,0,18623,0,14309,0,8782,0
3100000,27128,0,24545,0,18393,0,13983,0,8669,0
3200000,27377,0,24966,0,18352,0,14083,0,8606,0
3300000,27462,0,25123,0,18403,0,14107,0,8639,0
3400000,27458,0,24652,0,18178,0,13876,0,8787,0
3500000,27627,0,24802,0,18376,0,13898,0,8915,0
