time,MSG_EMPTY,MSG_STORE,MSG_INIT_FIND,MSG_FIND,MSG_RESPONSE,MSG_REGISTER,MSG_INIT_REGISTER,MSG_TICKET_REQUEST,MSG_TICKET_RESPONSE,MSG_TOPIC_QUERY,MSG_REGISTER_RESPONSE,MSG_TOPIC_QUERY_REPLY,regToGoodNodes,regToEvilNodes
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,NaN
100000,0,0,0,109797,109797,79512,0,97647,97599,1865,79493,1865,177.159,NaN
200000,0,0,0,109850,109850,17149,0,46133,46155,400,17163,400,63.536144578313255,NaN
300000,0,0,0,107572,107572,2194,0,28942,28962,534,2199,534,31.323943661971832,NaN
400000,0,0,0,105747,105747,4501303,0,74753,74749,7438,4499644,7428,4641.030425963489,NaN
500000,0,0,0,105065,105062,215161,0,18949,18951,7499,215393,7508,236.4747474747475,NaN
600000,0,0,0,104818,104816,7697,0,2125,2124,7519,7764,7518,9.941295546558704,NaN
700000,0,0,0,105033,105033,4513127,0,71374,71375,411,4511520,413,4621.472782258064,NaN
800000,0,0,0,104348,104348,227678,0,17849,17849,212,227843,212,248.0070707070707,NaN
900000,0,0,0,103647,103646,12407,0,2240,2240,233,12435,233,14.824898785425102,NaN
1000000,0,0,0,102912,102912,4461699,0,69030,69030,375,4459903,375,4581.121334681497,NaN
1100000,0,0,0,102544,102544,228457,0,18494,18494,263,228522,263,249.69767441860466,NaN
1200000,0,0,0,102326,102326,16800,0,2645,2645,349,16804,349,19.542713567839197,NaN
1300000,0,0,0,101997,101997,4394541,0,65277,65276,218,4393011,218,4500.3208879919275,NaN
1400000,0,0,0,102141,102141,217656,0,18119,18117,369,217749,369,237.4370594159114,NaN
1500000,0,0,0,101013,101011,15218,0,2332,2332,188,15202,188,17.74519716885743,NaN
1600000,0,0,0,100610,100610,4273973,0,64038,64037,370,4272305,370,4377.4076690211905,NaN
1700000,0,0,0,100480,100479,211179,0,19023,19019,321,211205,318,232.29263370332998,NaN
1800000,0,0,0,100287,100287,16543,0,2906,2910,416,16563,419,19.50752256770311,NaN
1900000,0,0,0,99765,99765,4131743,0,60956,60953,81,4130328,81,4243.622469635628,NaN
2000000,0,0,0,98807,98807,204921,0,18810,18810,300,204941,300,226.9077079107505,NaN
2100000,0,0,0,98556,98556,18789,0,2927,2927,336,18812,336,21.935353535353535,NaN
2200000,0,0,0,98226,98226,4053156,0,58736,58736,339,4051762,339,4153.4262626262625,NaN
2300000,0,0,0,97444,97440,204634,0,19318,19315,144,204656,144,227.59349593495935,NaN
2400000,0,0,0,96401,96401,18920,0,3264,3264,250,18911,250,22.54471544715447,NaN
2500000,0,0,0,94999,94999,3920191,0,55817,55813,144,3918591,135,4065.447852760736,NaN
2600000,0,0,0,94203,94202,194033,0,19711,19706,239,194007,247,219.0,NaN
2700000,0,0,0,93670,93670,19580,0,3962,3966,347,19595,348,24.12090163934426,NaN
2800000,0,0,0,92645,92644,3769990,0,55678,55676,232,3768541,232,3931.827338129496,NaN
2900000,0,0,0,91701,91701,205854,0,19907,19904,290,205003,290,232.50360453141093,NaN
3000000,0,0,0,91195,91192,24696,0,4002,4002,101,25439,101,29.8006230529595,NaN
3100000,0,0,0,89793,89793,3662628,0,51127,51127,267,3661211,267,3856.4434060228455,NaN
3200000,0,0,0,89115,89112,195638,0,20127,20126,387,194680,387,222.66769865841073,NaN
3300000,0,0,0,90141,90141,22636,0,4354,4354,193,23513,193,27.911065149948293,NaN
3400000,0,0,0,88677,88677,3586615,0,49760,49759,430,3585529,426,3752.7089783281735,NaN
3500000,0,0,0,88036,88036,201572,0,20531,20531,197,200586,201,230.15854922279792,NaN
