time,MSG_EMPTY,MSG_STORE,MSG_INIT_FIND,MSG_FIND,MSG_RESPONSE,MSG_REGISTER,MSG_INIT_REGISTER,MSG_TICKET_REQUEST,MSG_TICKET_RESPONSE,MSG_TOPIC_QUERY,MSG_REGISTER_RESPONSE,MSG_TOPIC_QUERY_REPLY,regToGoodNodes,regToEvilNodes
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,NaN
100000,0,0,0,48591,48591,40281,0,47912,47869,978,40273,978,175.33399602385686,NaN
200000,0,0,0,49901,49901,9441,0,23082,23115,817,9449,817,64.27470355731225,NaN
300000,0,0,0,49940,49940,518,0,11679,11689,387,518,387,24.057199211045365,NaN
400000,0,0,0,49442,49442,2032001,0,39826,39826,5164,2031209,5157,4078.399606299213,NaN
500000,0,0,0,49047,49047,129525,0,10349,10349,3993,129798,3992,276.97821782178215,NaN
600000,0,0,0,49200,49200,2522,0,843,843,3849,2521,3857,6.598039215686274,NaN
700000,0,0,0,49013,49013,2108333,0,36568,36568,68,2107442,68,4230.573964497042,NaN
800000,0,0,0,48466,48466,144100,0,10540,10540,275,144345,275,304.40944881889766,NaN
900000,0,0,0,48563,48563,3483,0,830,830,201,3479,201,8.440313111545988,NaN
1000000,0,0,0,48666,48666,2062480,0,35599,35598,259,2061753,259,4097.810546875,NaN
1100000,0,0,0,48449,48449,140912,0,10517,10517,107,141159,107,296.3385518590998,NaN
1200000,0,0,0,48268,48268,4219,0,924,924,89,4213,89,10.084313725490196,NaN
1300000,0,0,0,48277,48277,2053690,0,34522,34521,281,2052925,281,4086.5205479452056,NaN
1400000,0,0,0,47811,47811,138750,0,10822,10820,29,138941,29,295.59683794466406,NaN
1500000,0,0,0,47189,47189,4240,0,1296,1296,292,4235,292,10.8762278978389,NaN
1600000,0,0,0,46986,46986,2028821,0,33166,33163,185,2027918,173,4059.029527559055,NaN
1700000,0,0,0,46949,46946,148571,0,11262,11259,256,148785,265,312.7847358121331,NaN
1800000,0,0,0,46959,46959,5377,0,1274,1276,47,5365,50,13.144268774703557,NaN
1900000,0,0,0,45933,45933,1968008,0,31801,31801,75,1967005,75,3967.875,NaN
2000000,0,0,0,45745,45745,145688,0,10763,10763,84,145766,84,311.0357852882704,NaN
2100000,0,0,0,45716,45716,5723,0,1562,1562,108,5714,108,14.51195219123506,NaN
2200000,0,0,0,45115,45112,1909248,0,30735,30735,73,1908438,73,3887.741482965932,NaN
2300000,0,0,0,45437,45437,157071,0,11372,11372,320,157206,320,334.21230158730157,NaN
2400000,0,0,0,44791,44791,6954,0,1469,1469,58,6936,58,16.812375249501,NaN
2500000,0,0,0,44342,44342,1901810,0,29679,29678,89,1901117,89,3862.978,NaN
2600000,0,0,0,43661,43661,150176,0,11472,11472,55,150237,55,325.2474849094567,NaN
2700000,0,0,0,43947,43947,8645,0,2048,2048,149,8630,149,21.471887550200805,NaN
2800000,0,0,0,43301,43301,1776517,0,28627,28627,91,1775775,91,3632.080482897384,NaN
2900000,0,0,0,42988,42988,151234,0,11544,11544,183,151343,183,326.86345381526104,NaN
3000000,0,0,0,43074,43074,9590,0,2056,2056,175,9581,175,23.432595573440643,NaN
3100000,0,0,0,42462,42462,1770623,0,27951,27951,214,1769976,214,3597.148,NaN
3200000,0,0,0,42388,42386,151034,0,11804,11797,67,151082,67,327.6418511066398,NaN
3300000,0,0,0,42167,42167,10927,0,2677,2677,253,10913,253,27.31726907630522,NaN
3400000,0,0,0,41929,41929,1702027,0,27051,27051,175,1701524,175,3451.2534930139723,NaN
3500000,0,0,0,41893,41893,157050,0,11881,11881,126,157102,126,336.5159362549801,NaN
