time,t1-normal,t1-evil,t2-normal,t2-evil,t3-normal,t3-evil,t4-normal,t4-evil,t5-normal,t5-evil
100000,12589,0,14517,0,7030,0,3854,0,1879,0
200000,14833,0,18376,0,8495,0,4883,0,2412,0
300000,14980,0,18573,0,8583,0,4940,0,2440,0
400000,14484,0,14141,0,9171,0,7137,0,4793,0
500000,15303,0,12705,0,9221,0,7212,0,4832,0
600000,15237,0,12597,0,9196,0,7201,0,4826,0
700000,14648,0,12626,0,9294,0,7284,0,4798,0
800000,14925,0,12529,0,9254,0,7292,0,4753,0
900000,14937,0,12534,0,9246,0,7285,0,4777,0
1000000,14738,0,12413,0,9200,0,7238,0,4722,0
1100000,14908,0,12368,0,9200,0,7201,0,4759,0
1200000,14929,0,12380,0,9195,0,7208,0,4745,0
1300000,14573,0,11828,0,9474,0,7272,0,4790,0
1400000,14705,0,11789,0,9539,0,7406,0,4889,0
1500000,14823,0,11811,0,9595,0,7421,0,4893,0
1600000,14855,0,12067,0,9086,0,7252,0,4721,0
1700000,14783,0,12311,0,9209,0,7391,0,4751,0
1800000,14821,0,12353,0,9193,0,7396,0,4774,0
1900000,14471,0,12521,0,9290,0,7743,0,4816,0
2000000,14415,0,12672,0,9315,0,7745,0,4808,0
2100000,14453,0,12731,0,9364,0,7760,0,4830,0
2200000,14490,0,12699,0,9454,0,7347,0,4699,0
2300000,14502,0,12742,0,9642,0,7494,0,4776,0
2400000,14539,0,12738,0,9657,0,7502,0,4790,0
2500000,14471,0,12664,0,9456,0,7615,0,4935,0
2600000,14732,0,12726,0,9497,0,7662,0,4958,0
2700000,14808,0,12812,0,9499,0,7694,0,4962,0
2800000,14449,0,12955,0,9658,0,7673,0,4858,0
2900000,14370,0,13025,0,9703,0,7625,0,4776,0
3000000,14440,0,13054,0,9743,0,7636,0,4779,0
3100000,14892,0,13049,0,9362,0,7537,0,4607,0
3200000,15026,0,13216,0,9229,0,7728,0,4692,0
3300000,15183,0,13247,0,9234,0,7778,0,4702,0
3400000,14797,0,12873,0,9601,0,7759,0,4612,0
3500000,15042,0,12747,0,9753,0,7687,0,4648,0
