time,t1_wait,t2_wait,t3_wait,t4_wait,t5_wait,t1_cumWait,t2_cumWait,t3_cumWait,t4_cumWait,t5_cumWait,t1_reject,t2_reject,t3_reject,t4_reject,t5_reject
100000,2206.3347500983864,2388.0581379498362,2963.7653748946923,1651.1053309296935,2397.8694049499736,201.0,201.0,201.0,201.0,201.0,0,0,0,0,0
200000,4348.5827900912645,6562.8961816820565,6746.39121887287,4936.403773584906,4388.360146252286,201.0,201.0,201.0,201.0,201.0,0,0,0,0,0
300000,794.5945945945946,0.0,0.0,0.0,0.0,201.0,201.0,201.0,201.0,201.0,0,0,0,0,0
400000,2319.521118927953,3519.813440614343,3544.2088729504408,3295.2413127758027,3459.5427272583274,112944.16179522657,116084.86695921014,76232.93791836199,59560.98041202297,45530.89099639856,0,0,0,0,0
500000,18289.86772413054,15910.759163095538,13212.64247311828,18945.56691919192,10817.297273133661,53573.356337093566,24647.179756404872,15798.348029392118,16771.546802594996,13586.637992831542,0,0,0,0,0
600000,23092.386978785664,25881.39765100671,19304.003460207612,21373.53125,14079.40909090909,54505.833333333336,51496.506493506495,49870.49152542373,48692.58536585366,35377.27272727273,0,0,0,0,0
700000,2070.3307588577823,3401.6746703620097,3392.8814876803385,3118.8051861108634,3445.902980614512,160388.06459731545,179250.0299878837,115823.04026934248,95716.08163611677,69428.31616559882,0,0,0,0,0
800000,16872.014667288473,15922.707450547243,12693.850703844071,19915.424889543447,12261.708437343985,93007.80838509317,32581.199642697633,14672.81419624217,14476.442344045368,12042.027722772276,0,0,0,0,0
900000,39043.4875,25556.569486404835,23502.27392739274,24797.561855670105,14723.380952380952,65453.84090909091,49236.506493506495,39919.38775510204,43330.30303030303,23302.17391304348,0,0,0,0,0
1000000,2179.6533503616715,3453.8413896525867,3424.8128112979375,3256.370319372516,3510.942234265304,194710.6459543167,221693.24366857737,135221.99530390446,116750.75622406638,80394.2003497377,0,0,0,0,0
1100000,17136.45859698424,15594.773285931946,12775.23525504782,19322.200353045013,12753.91842900302,104483.72353823089,36822.518535681185,15659.462897526502,17184.19960861057,10273.625461254613,0,0,0,0,0
1200000,39072.34942867674,22124.863844393592,25865.286472148542,26703.123456790123,19801.63440860215,47426.38888888889,41740.03409090909,34308.560975609755,38636.875,38705.21875,0,0,0,0,0
1300000,2210.6422717252726,3470.6615199021317,3379.1834078017337,3327.008363119787,3612.105258451082,225000.8080416369,254243.6533860045,143325.31946821115,121373.30164158686,78349.72938271605,0,0,0,0,0
1400000,18161.471253767388,14902.87068256579,14761.544320137693,20226.76690391459,12147.737170263788,119471.18040023543,37816.157920077036,15608.134615384615,12497.640597539543,9313.78716744914,0,0,0,0,0
1500000,41151.94186485466,23883.39858728557,25610.951768488747,23386.40287769784,19830.12,27875.06392694064,28363.666666666668,14303.40625,22036.563636363637,37834.75,0,0,0,0,0
1600000,2085.4370911986853,3421.124597963167,3345.6863793287785,3306.5796505361095,3371.341226286745,237177.57940137186,270553.2811235955,155222.6605504587,137401.56715079793,82373.0625,0,0,0,0,0
1700000,16980.218953154454,14711.502990673154,12647.077455919396,19386.604064881765,10804.37941696113,121915.78571428571,42164.38044914135,18367.66859344894,11344.458367016976,11820.604976671852,0,0,0,0,0
1800000,37409.47207845274,25550.641107561234,27655.218274111674,26854.933035714286,16836.644295302012,38466.782101167315,29782.513333333332,25783.822784810127,26953.116666666665,28824.694915254237,0,0,0,0,0
1900000,2005.0837195130941,3417.0792115244176,3326.149496574448,3194.376088297393,3293.954275902356,249928.2329206279,290430.1884107082,169043.17821491486,140101.01900404715,81932.83370288249,0,0,0,0,0
2000000,17738.73508217958,14406.434239157938,12391.968857672939,20210.596050613498,12498.261216350948,143144.0361715749,39237.48434856176,16711.113488975356,9925.790404040405,11284.336120401338,0,0,0,0,0
2100000,33884.66984884646,25853.668993020936,21505.645569620254,22517.89010989011,12764.321782178218,35746.42662116041,18204.837438423645,14669.9609375,15934.364864864865,28933.16883116883,0,0,0,0,0
