topic,registrant,times_registered,min_registration_time,average_registration_time,min_discovery_time,average_discovery_time
t4,82149142964483009042154024570124438774529012685590960938575797961283433917911,312,201,94764,2799,191027
t4,39622000092329845474185802054608574338890662284683802797893688888306836411941,267,201,118038,996,148266
t4,83217767896994315850077976545865876324278397869641348395381615090288107501843,270,201,111298,1484,155334
t4,34314377376886516245819120220289682479903430264984787924355228010594946921420,236,201,126731,3796,86715
t4,92456158031765243664285074425609732945496276172848472690851225611135897106286,259,201,112213,4300,147919
t4,8086149262454596152449849464334634712667598882277954412842989337159326295493,260,201,109240,17395,147709
t4,44204938094273851723621071196784460414460266125970000677805667152515414896022,272,201,110866,2991,133543
t4,67863998771901368347337928852395500130729240344167518820705044489551685723868,276,201,106205,1190,133185
t4,16481398339400507453943876291626612837232077444953026872134511820164641455846,263,201,68622,5199,188422
t4,42904679307081354667894948393718830042651137661704496442757511639844018027949,50,201,30938,115999,115999
t4,30169307868038722864326730844079353998531683027258374547417663770498125985383,321,201,89213,3399,188528
t4,31293990357597117805726432194673155288383622756096144300750877940293119483829,296,201,96853,13546,186275
t4,98898970876692833931390157760813374984165467707085374557565228360886508105524,322,201,82432,2599,183412
t4,22915380096991186576504214275423647789321250732398166481735038872562162586426,221,201,123137,11042,179195
t4,110433631177009693965648527155043845439327778833210233291491756407005254664984,319,201,95746,199,184310
t4,86507137701403472723855121368018709703974512159417251028002865493570628781600,287,201,104125,7796,154678
t4,42472684187734369564410878942482944016179870806761817070013622901130789507541,271,201,115153,3797,155819
t4,10793458855907825689719381358204170482416860896377821586215323623948329892542,275,201,102416,10442,134593
t4,23117977645614754137992021548199401443891258241339234573612330554369224391709,28,201,25750,599,599
t4,34910908717947187676150744817104408271764193375983450593861496943055095565264,295,201,93019,6198,165520
t4,77197269434715740427132588100361593412793431762134381497196872584474155856632,266,201,105991,1310,137534
t4,62810104194371897471154567012161403745717635470039975197494265116690688631067,270,201,119139,996,139220
t4,102378184097917807032970596979759343754613456256694941688174901726980537070736,241,201,115511,14596,166360
t4,6970402852246313674434802327789130222374004397516729751901710255680609865559,268,201,107281,598,137261
t4,90785197031218493271564643087544203700632638800083736381764174753690506337314,257,201,110776,14306,147166
t4,90216269847008854074911609817078493855906235650086851091034982399637651884271,214,201,119217,1194,139419
t4,83793021082654553071306971522977208986435464814876059239828850464804675710822,278,201,108065,1599,153823
t4,25232054794683485832382612005214298388981039790431849342560325884929331842047,281,201,105387,7195,147481
t4,54087086573477675821931716805905963885464078025213774927706412858283354396090,76,201,33051,799,103599
t4,89028053590575749747590087962405999785157915560997925544965645467465608617805,199,201,123866,11500,145092
