topic,registrant,times_registered,min_registration_time,average_registration_time,min_discovery_time,average_discovery_time
t4,93482891699904772532254508113915133990436316461305952616354218347109307425747,102,201,215503,26954,180118
t4,49627922389672071495547876658738218182214228201284915118260505886984139104109,95,201,189092,27143,196687
t4,64087798250958345510226167620480883996528753350090424201102107189210429207079,105,201,206917,15646,202112
t4,69736797199607785645960702053024540544458130219369535338343548394741432758123,111,201,168068,42292,156366
t4,58106440060470364482331444730416557296618694776194207272522293694420545145321,73,201,231549,112799,216571
t4,50800601687142822714927784099406862892310840779265438118935991335044955463446,51,201,116865,24384,131899
t4,87608836995967144528039841791507033858470202033511113544026186750764056239933,93,201,247121,1761,183537
t4,14194420816877064941913593119742207379131382162320791987694040721123946287959,77,201,168265,15273,171452
t4,11953012991072681505586278595394335125298069451185970190514898485322387250678,42,201,93049,7113,172883
t4,411688151128584842733160054962983127102061505692242017184029753873441180917,102,201,115289,19306,204633
t4,27964527015238780823937479840986415584964628325240983794999326764271695484386,88,201,194415,35715,165830
t4,49118874397011675492101963863927135054033424768099103266184323890482327924348,81,201,210141,15999,194218
t4,111855946522842308689061761015299043096740561640599291703160107623934570864813,88,201,243754,31599,173879
t4,10682487071758342790152659910576419589449054278028264525296911265960481050671,98,201,183804,15802,175441
t4,54097743655236628221534029796068811652663107528798825414020777161267099904473,96,201,221711,1275,157664
t4,81528108949939031048717714273721884104828058543334098740334129716692204761364,117,201,174771,7999,176785
t4,24218278390927459680265660854268913963770431179920963990303916605593806275091,50,201,130459,472,142291
t4,114466915692190867716499191915764647044614635838873125100459667998144581528311,103,201,172123,10799,185992
t4,111929722474562822676132043797550694204409312545952770094367473094512064363045,108,201,210269,17799,185760
t4,48301363560833362068480512464594010724078642891538719567379525755289613388405,107,201,154704,11075,181971
t4,62154008236360516026121205116185775439595501776699568299443519185817677167556,97,201,169284,37599,177647
t4,22010014616101189752518360739230110072239285355728495645198973724885425948335,111,201,203814,599,160174
t4,49650786309132246565589123507812831884816616793058688809507849654186469311874,68,201,289347,36799,128136
t4,63183884389331840136612650427637923516921069870469682529188284982843375509292,121,201,155962,36024,195414
t4,68198887383428401756204890594885378930352341984109175514274466781102655712449,105,201,164232,20027,162477
t4,4277217258747567074978375461034668585048640345218924949119067269524148425159,93,201,207376,987,156718
t4,24434785643943506885996031458195057299352489050125288268896181328832997312431,95,201,235083,8799,169961
t4,46332324093222892608700506143030633122876303686306494162454658230265041837468,81,201,176878,29532,189111
t4,68115705385050971163753342551797632809432067530025959231879839048418674494159,105,201,216259,27197,152456
t4,18716883832064261356350488033021410829519823881672982347314358150714610897164,84,201,253494,3599,199186
t4,67907683117320201125954239482958077689161850587251562176688606993020878691229,103,201,173237,3592,194504
t4,14310118271234958131519256180754072580560592648971473787950523938574768283956,37,201,51027,16799,126758
t4,79368852549122891634594742127224706354643147352184346703168695587755936320000,143,201,110678,6532,156759
t4,42665578987445955900345332981025065894634509912888309782902656361646507481173,83,201,211032,1439,170084
t4,81769481031878358474899012311656936389941484228216804225882531834983161760489,123,201,174437,6714,169287
t4,23366188763869858285240814019024695724149573840502728165534530879934584175040,74,201,274737,27292,183770
t4,30007304722992973064370526522087726399766464755366421847650980230119421545070,96,201,210658,7770,179923
t4,34376778402568537956696044465030624045396246904641729787836452227452251887284,82,201,265685,4935,174188
t4,48312392493187865646183694926832138192805267893649462040781642138353432300883,72,201,311001,32725,151569
t4,44511461809890007382430420847400270905608990001053124793185234685712103891107,53,201,148165,7224,174087
t4,62369188229873759526039350088383092664519470702566357588111863249917214198040,107,201,192120,42682,177281
t4,12240166472782718289594538316255420910479858350993466311522162143270359962706,85,201,161670,10638,164888
t4,84465363330993240572278067991469268557156968484496266804061351201639557468480,115,201,171127,3218,154427
t4,12378677778341296155551712674218421212322648932764418918515656450696871440531,78,201,250526,13799,178309
t4,114244880220991106180260716087539810476195478242905077177435192353060852501012,104,201,218820,27799,202628
t4,31468186552797117267514446515299836294532985475768235265182808134918463260873,35,201,64259,799,137265
t4,56143409778416887229822161476614316026750722281826858577690565636597318645828,26,201,56436,799,15199
t4,49069330643797600186516214351873819418688508944290090157724278251209646577363,106,201,169433,287,184879
t4,75556372742664939529424399468763522937364281703086375374144501427663494345828,112,201,166611,5799,149059
t4,65260056268884226309383769769640203874639983993296443112409521480788931245791,93,201,219501,13199,175885
t4,78430016178283826958144651944654893612274876285256813899198517408998957314902,107,201,160619,18880,146291
t4,60303320687153475609173778333190263103990326341167751813479617731796316460160,40,201,37013,220399,220430
t4,22295183298521586082378920323556514389837280963123235841363470719875978088446,27,201,52769,799,18699
t4,28849417713246924571797618589412388331687401329903890825659636719255001800178,52,201,252334,26124,89153
t4,96384934335596549637601053284032341741729008184111788921275312113827986198590,72,201,132674,8550,166854
t4,92486716945667991213844155883081057229060355478140150375979350690760199706805,89,201,231371,19799,163598
t4,95229060988619918609656873501517274981614226504067264216422808851978300670436,104,201,186186,46323,173998
t4,10932059639737479342150156234916487889121886542170929632339393817792811965435,106,201,220295,7228,189155
t4,43729541604506212039795535985252470965174475074904717346028055701914008039129,55,201,13266,22684,205124
t4,106329659808363782302453375391863816889824262294724750612440158506158080523323,115,201,160282,17318,180036
t4,72994765557199520569662644605426316006352359628553145929232910648814752084889,127,201,166354,8221,188608
t4,94726478427586090638680582245896478535525486608960521333094898756596959510492,96,201,246274,37595,187563
t4,68794428436605083235294079874820233440835979389786784774787348697575407989460,107,201,213014,9199,200284
t4,48138757707900925918241825023364203467958664221936324587002339042343938847373,26,201,30688,799,18732
t4,77222340892448040687056759424760308399182356236550337137654848816639742027779,128,201,140846,17106,170560
t4,101489674149791636238421179626144537280193206155485991444593065770960301383461,90,201,200907,6999,163052
t4,103538980460102865267502397499610034063984303174187644854909949415557145134868,40,201,79668,16724,171439
t4,96974219148536223218779281556650521245825114183675096973037076858076248164861,74,201,252653,32999,166583
t4,111062143872861391404592840418298291632744171017633679230428438150385248856445,26,201,17634,799,28499
t4,61874809782725531165530401474864726796599193725222403495479524800999339953899,63,201,105099,67907,120878
t4,49870572969376715360090404257229073619585481350006093701706315302241703892701,88,201,182771,23971,162192
t4,77526942751755221875831323326638807336846880129365885414991318713630527084848,57,201,70982,82399,107199
t4,61729699081539349393826459665630288228594048230143933034283363712277541088860,108,201,81195,36862,182411
t4,65365942744687314049088691687454216114729918938510921283319736857808482994852,113,201,184313,20467,190551
t4,29541852519752489470986139307512172534121828235366264917505396999875945151986,80,201,267759,2160,153931
t4,83994511935688523993850078645399989368079881062897228173763415491319904994157,141,201,163235,45141,169263
t4,80791011246022184469522025606661310685332431242386924987340964862784241221511,107,201,135713,12,154404
t4,20294386570489959314666349179530691345022989973224762270893734689903906753289,81,201,224395,989,175355
t4,9684344190118291196738937615408195717942262454346072651796618289112910515510,22,201,37404,799,799
t4,28355450369985172565374457010847555885961186176340439826752553015718424396614,98,201,201362,9524,172159
t4,89400294157478548433565974441249083901025573955216952163619564811299284308718,94,201,188899,46199,154157
t4,45777508167817683979418414148930478045000121619141487575141642703862727497095,34,201,72506,799,57233
t4,68969998079964824480089220255091410188166722258236036528460041303610319178875,104,201,155815,8003,177309
t4,35362731458126093416579039510646332403573869549731291115484649504643066798883,29,201,28680,799,52079
t4,26340259881935887949557897565017215980076774683449507693471104124824183642962,101,201,223702,118781,224913
t4,105122187970884500364340834889637312893229106956520176949787591167151354839661,106,201,168442,10230,158134
t4,70077927321453794151592907623308280339073526157053719558118206189043002277334,113,201,189285,5599,156678
t4,84321159199573419508727636901464283366017913684723928959022518583142316619588,123,201,131500,2302,173014
t4,109576932753174867346426864153393318538741181687232687718311941123060838897314,92,201,218129,10856,167621
t4,44208383715978923945276235319321494089683163410270466225748500941257678753052,78,201,243209,13599,204425
t4,42150005723063012461895613019447541496074076314580338560202540175369532102904,80,201,246047,18728,176023
t4,71960593445086097364653274287754474996694627028029409543209002618104996526683,105,201,194779,59726,204995
t4,26421699334723412976303654637325754457710687404958044563057554030441186087958,73,201,142188,3106,175980
t4,110475201203503889449897747921028755130374058779167753722798857002605633154325,97,201,200071,18061,178266
t4,61449832768273229596613206071244975155698398191870261119955713156986304691507,59,201,122316,14111,200530
t4,20896567452847074221354901779263976498870295473003846144871647142805717446821,48,201,132822,799,155044
t4,96187943788908905469062819610008767709661754552782840387460713120035033093646,94,201,190170,23939,177777
t4,22189641699641339377107442301016161140847525131999136209007407772570185739504,83,201,254763,12411,143916
t4,1648550566430996228087947829330750745657173604992288540845973781813749660131,18,201,23780,0,0
t4,104666068844591449013606695802801543805001790228967342624141733783501515120060,58,201,98944,42599,142813
t4,80779963559388224562122173263890975501986234458143559166547885438527278610417,106,201,189818,2659,173113
t4,82437238689159535082979953235364304875346341609318804807787437391455153959395,84,201,156059,18331,153135
t4,115483036677460411423734725396024716841442993889158517296058521072463004815140,114,201,140992,7399,149241
t4,48558195591385125042770530834015489995147789629223987947411881117103722701200,86,201,156059,45316,189688
t4,73478500854236422926651331326183761059549641155054408417448041931158075803386,134,201,130349,722,138606
t4,105113719197286672338645922596871770290354669962242478414514110362294490689711,89,201,245308,16569,181446
t4,89135549700012152012937950099419419105286083110049550898743857258708243688242,37,201,58761,599,138614
t4,11202442910144985290779172090845828196623848097825011662543687184762630701566,74,201,276200,3111,159738
t4,48016918022375290254750264052219083611945581499302927180481324780439621540618,58,201,114156,799,132528
t4,53818371800521855222080114791627961924493117450547717792015020482001714062652,85,201,268116,16287,195476
t4,85688474619520621731990807850998144144565987917456270910809928305163418633013,124,201,164076,4799,165691
t4,62981815480898899232014166568988760109829130571286280470832719498356476046873,61,201,94271,27799,144022
t4,52750808420815742242143710609023597411327070101627048726118295195432210593265,33,201,53997,248193,248193
t4,57585708444363121619249535606518716682430211742945472231223505429054159235126,32,201,201,103799,268485
t4,114777365377800681852701233831378074681006496462579140524842612949443886313041,91,201,222607,1333,185663
t4,22822023870357340701471936708450227961754172397225698293568105106297019401798,94,201,238203,9735,165679
t4,87792055412419139278289426321297701732080052972557697310382962222729088458792,64,201,171755,31275,177188
t4,56444971736781193512725300991101158403103071067674817656515889831263965406550,83,201,197049,35799,176422
t4,39990201303247034427137547880773674837977753094816236080479753283695544840456,93,201,222025,117944,208686
t4,80230409875045809339917992656655005160273119566812229060998652002738775298880,133,201,149303,28199,188818
t4,49207695523666634623601984974969306851049886147414781293039128130518672334387,69,201,212308,4999,193690
t4,63382640957996504310329352381321585306716861825162587916822712534768149601630,94,201,235277,10935,184343
t4,18144672158730063693732140122716890155829116659887892545912725225962528383579,81,201,236363,58599,207554
t4,19239587440250662456208364452660059320339503903648785751415791651715049913052,86,201,192051,6799,154830
t4,71120557592079942754205870032050562390416408403891664370691546715348304053394,55,201,141724,14182,172249
t4,101947013129594498189875425847861748254069848572322891123618724475968872998409,97,201,206192,23199,177926
t4,20231250178659639500699276624405597636953307166401215773268020897421274514612,88,201,272116,25633,173404
t4,78843699177247782924229785105305755738390213115388118215799106138058226958968,59,201,35964,19999,97619
t4,76977735628581624268909082048627788345290975147314008836246936295847284424602,133,201,143390,32236,196732
t4,43601374518953635619774607780444764882141351731740177393858143366865410027300,91,201,180611,29599,207009
t4,3976100029675061163668691168917682503715023555123010711461013492072567054003,93,201,237110,8286,158558
t4,98122495430725707868482947988100945257461842178232097483220390228077981090328,110,201,215295,26587,182403
t4,104422505663436926332798744679604950202821281882815709062711935173900599359050,90,201,96944,8702,175958
t4,67288599327645542434114758290973855423917623604615786996742746861741535955543,43,201,49592,30600,222046
