time,t1,t2,t3,t4,t5,overallUtil,overallEvilUtil
100000,0.14347695390781595,0.1363627254509021,0.06238476953907807,0.04017034068136256,0.024889779559118145,0.20038577154308618,0
200000,0.2501501501501515,0.2249049049049043,0.10619619619619595,0.08899899899899928,0.05350350350350342,0.3366016016016016,0
300000,0.34081081081081066,0.29880880880880856,0.156736736736737,0.12738738738738745,0.07880880880880865,0.4514764764764765,0
400000,0.34605210420841676,0.29834669338677294,0.15833667334669396,0.1397494989979963,0.08920841683366715,0.4514679358717435,0
500000,0.34085957021489155,0.296101949025487,0.15637181409295386,0.13545227386306855,0.08759620189905036,0.4494702648675662,0
600000,0.33716574862293264,0.2951126690035053,0.15503254882323525,0.13467200801201806,0.08604907361041542,0.44592889334001,0
700000,0.33714716223003405,0.29278754394776524,0.15482672024108537,0.1353591160220997,0.0863586137619285,0.4429683576092416,0
800000,0.3363837267704659,0.29077850326469096,0.15471622300351612,0.135881466599699,0.08672024108488179,0.44046207935710696,0
900000,0.3313108990457053,0.2895027624309395,0.1520944249121045,0.13165243596182824,0.08321446509291802,0.4373832245102963,0
1000000,0.3296576032225566,0.28783484390735165,0.1495065458207454,0.13107754279959724,0.08518630412890217,0.4362437059415911,0
1100000,0.32742684157416685,0.2880625630676081,0.15055499495459176,0.13153380423814334,0.08443995963673041,0.43475277497477294,0
1200000,0.32473205257836185,0.2882103134479269,0.14954499494438872,0.13025278058645093,0.08389282103134457,0.43346309403437816,0
1300000,0.3264097363083162,0.28613590263691707,0.15025354969574048,0.1321196754563895,0.08420892494928994,0.4320081135902637,0
1400000,0.32560690705942136,0.28502793296089357,0.15035043169121415,0.13255459624174712,0.08560690705942091,0.42964448958862367,0
1500000,0.3231991849210389,0.2846765155374423,0.14958736627610816,0.13304126337238922,0.0860112073357105,0.4273815588385125,0
1600000,0.3192569974554708,0.2816284987277348,0.1460356234096695,0.1289160305343512,0.08203562340966902,0.4242290076335878,0
1700000,0.3212124299541516,0.28064187468160956,0.14688741721854318,0.13045338767193088,0.08449312277126837,0.42376974019358127,0
1800000,0.3193275598573611,0.2783392766174221,0.14551197147223655,0.1295364238410597,0.08299541518084542,0.42130922058074377,0
1900000,0.31763747454175195,0.2782892057026468,0.1459470468431773,0.12857433808553978,0.08279022403258639,0.42010183299389003,0
2000000,0.31789420142421165,0.27702950152594086,0.1458596134282811,0.1291556459816887,0.08361139369277712,0.41878942014242115,0
2100000,0.31487309644670036,0.2750050761421318,0.14395939086294438,0.12650761421319795,0.08250761421319776,0.4166040609137056,0
2200000,0.3137997957099083,0.2742798774259446,0.143074565883555,0.12552604698672123,0.08041879468845743,0.4156894790602656,0
2300000,0.3124885496183202,0.27331297709923646,0.14292111959287548,0.12632061068702288,0.08237150127226447,0.4145089058524173,0
2400000,0.3128462709284633,0.27205479452054804,0.14291222729578906,0.12787417554540845,0.08363267376965984,0.4125824454591578,0
2500000,0.3125722983257231,0.27076610857432765,0.14260781329274483,0.12833079654997473,0.08457635717909671,0.41082699137493656,0
2600000,0.3114865550481993,0.2690715372907152,0.14208016235413523,0.12728564180618993,0.08378488077118193,0.4082546930492136,0
2700000,0.3088339222614835,0.26821807168096923,0.1407370015143867,0.12584553255931366,0.08280666330136278,0.40718828874305907,0
2800000,0.3049193548387098,0.2673487903225807,0.13908266129032248,0.12290322580645174,0.08031249999999983,0.4058719758064516,0
2900000,0.30546006066734066,0.26745197168857393,0.14131445904954504,0.12590495449949446,0.08167846309403429,0.40478766430738117,0
3000000,0.3060587639311042,0.26800405268490385,0.14266464032421483,0.1276393110435664,0.08332320162107384,0.4053343465045593,0
3100000,0.30431174089068785,0.2658198380566802,0.14157894736842097,0.12695344129554675,0.08365384615384594,0.4034665991902834,0
3200000,0.30374180534543527,0.26404437720625334,0.14200706001008592,0.12831064044377224,0.08463943519919291,0.4016137165910237,0
3300000,0.3009924812030072,0.2612731829573935,0.1408721804511282,0.12639598997493762,0.08525313283207998,0.3987468671679198,0
3400000,0.3015976035946086,0.2601797304043934,0.14088866699950117,0.12673989016475298,0.08585122316525193,0.39771842236645033,0
3500000,0.3022511255627814,0.25906953476738404,0.14016008004002023,0.12808404202101054,0.08634317158579279,0.3964232116058029,0
