time,t1-normal,t1-evil,t2-normal,t2-evil,t3-normal,t3-evil,t4-normal,t4-evil,t5-normal,t5-evil
100000,14074,0,13612,0,6259,0,3854,0,2297,0
200000,23038,0,22491,0,10554,0,7555,0,4075,0
300000,30809,0,29902,0,15025,0,10025,0,5587,0
400000,30748,0,29378,0,14919,0,10070,0,5568,0
500000,30796,0,29447,0,14945,0,10016,0,5563,0
600000,30716,0,29571,0,14919,0,10086,0,5578,0
700000,30974,0,29506,0,14962,0,10153,0,5556,0
800000,31012,0,29479,0,14900,0,10106,0,5540,0
900000,31060,0,29646,0,14829,0,10090,0,5544,0
1000000,31189,0,29806,0,14929,0,10140,0,5629,0
1100000,31137,0,29801,0,14959,0,10141,0,5616,0
1200000,31020,0,29878,0,14891,0,10147,0,5613,0
1300000,31223,0,29920,0,15055,0,10276,0,5696,0
1400000,31184,0,29896,0,15065,0,10180,0,5657,0
1500000,31155,0,30015,0,15086,0,10220,0,5744,0
1600000,31253,0,30126,0,15018,0,10259,0,5651,0
1700000,31394,0,30197,0,15107,0,10221,0,5692,0
1800000,31421,0,30164,0,15073,0,10318,0,5695,0
1900000,31544,0,30275,0,15077,0,10348,0,5797,0
2000000,31625,0,30395,0,15146,0,10371,0,5763,0
2100000,31717,0,30509,0,15149,0,10409,0,5745,0
2200000,31909,0,30401,0,15209,0,10435,0,5769,0
2300000,31993,0,30562,0,15278,0,10471,0,5852,0
2400000,32062,0,30569,0,15282,0,10492,0,5878,0
2500000,32143,0,30828,0,15301,0,10504,0,5913,0
2600000,32269,0,30802,0,15317,0,10453,0,5925,0
2700000,32349,0,31027,0,15382,0,10595,0,5953,0
2800000,32429,0,31051,0,15445,0,10647,0,5987,0
2900000,32534,0,31106,0,15503,0,10633,0,5963,0
3000000,32568,0,31247,0,15609,0,10659,0,6046,0
3100000,32510,0,31364,0,15732,0,10670,0,6125,0
3200000,32649,0,31398,0,15757,0,10752,0,6171,0
3300000,32719,0,31529,0,15775,0,10730,0,6191,0
3400000,32957,0,31669,0,15894,0,10772,0,6258,0
3500000,33066,0,31695,0,15863,0,10807,0,6275,0
