time,MSG_EMPTY,MSG_STORE,MSG_INIT_FIND,MSG_FIND,MSG_RESPONSE,MSG_REGISTER,MSG_INIT_REGISTER,MSG_TICKET_REQUEST,MSG_TICKET_RESPONSE,MSG_TOPIC_QUERY,MSG_REGISTER_RESPONSE,MSG_TOPIC_QUERY_REPLY,regToGoodNodes,regToEvilNodes
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,NaN
100000,0,0,0,260694,260687,40172,0,55617,55526,910,40132,910,47.99048096192385,NaN
200000,0,0,0,257784,257784,27628,0,55949,55988,584,27634,584,41.830330330330334,NaN
300000,0,0,0,252499,252498,23604,0,54510,54532,592,23638,583,39.0960960960961,NaN
400000,0,0,0,249061,249056,3688168,0,38837,38838,11868,3686259,11857,1867.2369739478959,NaN
500000,0,0,0,247712,247712,298487,0,28490,28519,11763,299255,11772,163.40679660169914,NaN
600000,0,0,0,246217,246203,41586,0,24713,24710,11312,41616,11317,33.19929894842264,NaN
700000,0,0,0,245074,245074,3616192,0,35546,35546,416,3613940,422,1834.1225514816674,NaN
800000,0,0,0,240866,240866,336003,0,29428,29428,447,336597,446,183.5414364640884,NaN
900000,0,0,0,239938,239938,70195,0,24506,24506,483,70195,484,47.56454043194375,NaN
1000000,0,0,0,237281,237278,3601973,0,34964,34963,376,3599801,376,1831.287512588117,NaN
1100000,0,0,0,234454,234452,366237,0,28918,28913,432,366787,432,199.3718466195762,NaN
1200000,0,0,0,231862,231862,72015,0,23768,23767,412,72000,406,48.42416582406471,NaN
1300000,0,0,0,231111,231108,3592910,0,34883,34883,482,3590801,488,1839.6516227180527,NaN
1400000,0,0,0,228091,228091,376232,0,27598,27598,322,376609,322,205.0939563230066,NaN
1500000,0,0,0,226706,226699,99307,0,23520,23519,438,99284,438,62.57106469689251,NaN
1600000,0,0,0,225458,225458,3530119,0,34364,34363,524,3528119,520,1813.9862595419847,NaN
1700000,0,0,0,225758,225754,353499,0,28047,28042,494,353804,498,194.36882322975038,NaN
1800000,0,0,0,225646,225644,104667,0,23466,23466,534,104647,534,65.27407030056037,NaN
1900000,0,0,0,223420,223420,3542264,0,34102,34102,564,3540732,564,1820.960285132383,NaN
2000000,0,0,0,222438,222435,381953,0,27274,27274,593,382144,593,208.15208545269584,NaN
2100000,0,0,0,222481,222481,111681,0,23054,23054,527,111650,522,68.39340101522842,NaN
2200000,0,0,0,218603,218601,3473620,0,33160,33131,262,3471903,265,1791.0010214504596,NaN
2300000,0,0,0,216643,216640,391876,0,27585,27612,724,392090,726,213.46615776081424,NaN
2400000,0,0,0,217839,217839,111775,0,22763,22762,603,111742,603,68.25875190258752,NaN
2500000,0,0,0,216302,216302,3564919,0,32815,32815,537,3563362,537,1825.3343480466767,NaN
2600000,0,0,0,215227,215227,379974,0,26994,26992,502,380186,502,206.4779299847793,NaN
2700000,0,0,0,215225,215225,124165,0,23107,23107,776,124134,776,74.34225138818779,NaN
2800000,0,0,0,215161,215157,3487411,0,32666,32665,483,3486223,483,1774.2323588709678,NaN
2900000,0,0,0,213126,213124,384973,0,26928,26928,418,384962,418,208.24115267947423,NaN
3000000,0,0,0,210971,210965,129402,0,23038,23032,506,129362,498,77.22391084093212,NaN
3100000,0,0,0,208414,208414,3415321,0,32468,32468,507,3413787,515,1744.8324898785424,NaN
3200000,0,0,0,209740,209737,378874,0,27022,27022,676,379052,676,204.68784669692386,NaN
3300000,0,0,0,209543,209543,126767,0,23119,23119,700,126743,700,75.13082706766917,NaN
3400000,0,0,0,210238,210238,3476856,0,32988,32988,748,3475774,748,1752.2935596605093,NaN
3500000,0,0,0,209956,209951,405343,0,26610,26610,407,405489,407,216.08454227113558,NaN
