host,topic,registrant,timestamp
389213935854642737518965163996528688860810306473210283241451512658429313685,t2,100044907294852963761016732798409917260061828167691638308680291801823833267780,20851
389213935854642737518965163996528688860810306473210283241451512658429313685,t2,101283554925205488261400921964040388694110385103143132926136533474230992224762,35152
389213935854642737518965163996528688860810306473210283241451512658429313685,t2,26861457557828035798125922284314183244143579443347379355816532916982388355554,38479
389213935854642737518965163996528688860810306473210283241451512658429313685,t2,75982496424003803788244619217011538053711523275012302803784321782092765558272,41598
389213935854642737518965163996528688860810306473210283241451512658429313685,t2,23323267422886751502866661905305571372066556567736316412710675621318595370420,62383
389213935854642737518965163996528688860810306473210283241451512658429313685,t2,83217767896994315850077976545865876324278397869641348395381615090288107501843,64450
389213935854642737518965163996528688860810306473210283241451512658429313685,t2,40340895216168602610398117741569583195376071113168945680693625678234849177156,76563
389213935854642737518965163996528688860810306473210283241451512658429313685,t2,23432830464149771664065986415230801928039885499467267280352837456348130694916,79995
389213935854642737518965163996528688860810306473210283241451512658429313685,t3,12459689639679342456920214413512126507410155021580106165271616047873885187830,10863
389213935854642737518965163996528688860810306473210283241451512658429313685,t3,64266998872920773338973886987780744323936529496598114190510636537684925710426,43458
389213935854642737518965163996528688860810306473210283241451512658429313685,t3,44959791736326010438319562658564079468512019589521330104678012621817311532018,74957
389213935854642737518965163996528688860810306473210283241451512658429313685,t3,106458810849253586582571650453994038399529029184177250725643552352099144116025,78604
389213935854642737518965163996528688860810306473210283241451512658429313685,t3,20395001627716586153438220465125938523230821484393861338080994261306788044640,82177
389213935854642737518965163996528688860810306473210283241451512658429313685,t3,51904454544142738542279755725561544578820078070531290652177181674018635631156,89189
389213935854642737518965163996528688860810306473210283241451512658429313685,t3,8282924099209876250997246087088302641962582373093868525515032699761284536960,93457
476982528653962679256258194063829299744212859847713661885292000077972319444,t4,540745152629728449139772155469417186654650056075856593188093808950232766653,36089
476982528653962679256258194063829299744212859847713661885292000077972319444,t5,540745152629728449139772155469417186654650056075856593188093808950232766653,26617
476982528653962679256258194063829299744212859847713661885292000077972319444,t1,79912213545378696167071301435155924058517269724851507590858264841441105700077,5237
476982528653962679256258194063829299744212859847713661885292000077972319444,t1,75982496424003803788244619217011538053711523275012302803784321782092765558272,46463
476982528653962679256258194063829299744212859847713661885292000077972319444,t1,52844586594990101027962046982567910740622928784213789212290067060664887580241,53891
476982528653962679256258194063829299744212859847713661885292000077972319444,t1,70772536079062604067061053316072946874732806650733848868432812726026605491559,56634
476982528653962679256258194063829299744212859847713661885292000077972319444,t1,38949923752583142398616238407828859571376465184668865875349811856000013613188,69002
476982528653962679256258194063829299744212859847713661885292000077972319444,t2,75982496424003803788244619217011538053711523275012302803784321782092765558272,41598
540745152629728449139772155469417186654650056075856593188093808950232766653,t1,44204938094273851723621071196784460414460266125970000677805667152515414896022,8368
540745152629728449139772155469417186654650056075856593188093808950232766653,t1,70596710837518676339517358000740807083339651005573678982686248781241124982331,15146
540745152629728449139772155469417186654650056075856593188093808950232766653,t1,57029105249133398303716716623836224314361372650375736754270264766591923323778,49279
540745152629728449139772155469417186654650056075856593188093808950232766653,t1,108389484887862460119591501639479309828147415281025867118274299066320534176216,77390
540745152629728449139772155469417186654650056075856593188093808950232766653,t2,799997090302940622568638532251045704483689605525259839064712666505644865423,55416
799997090302940622568638532251045704483689605525259839064712666505644865423,t4,77696149337200752460382416075170074154784311747254550191323296954323081640718,22714
799997090302940622568638532251045704483689605525259839064712666505644865423,t4,540745152629728449139772155469417186654650056075856593188093808950232766653,36089
799997090302940622568638532251045704483689605525259839064712666505644865423,t5,540745152629728449139772155469417186654650056075856593188093808950232766653,26617
799997090302940622568638532251045704483689605525259839064712666505644865423,t1,45857859669039613819347058602860325254853161393617218852266635651224595016702,56302
799997090302940622568638532251045704483689605525259839064712666505644865423,t1,77696149337200752460382416075170074154784311747254550191323296954323081640718,61459
799997090302940622568638532251045704483689605525259839064712666505644865423,t2,62810104194371897471154567012161403745717635470039975197494265116690688631067,86764
799997090302940622568638532251045704483689605525259839064712666505644865423,t3,540745152629728449139772155469417186654650056075856593188093808950232766653,17954
1063746180812293138887147089075963624870327760613376677517257382747015181242,t1,1468283386354146620886181394358833494446400590698130493247146836385798165135,73941
1063746180812293138887147089075963624870327760613376677517257382747015181242,t1,113486112087208424566701726967801288617847361148398756479657565102059282379676,95257
1063746180812293138887147089075963624870327760613376677517257382747015181242,t1,43948038205296727622983816786091132427318048481119846149578606942420933560743,96170
1063746180812293138887147089075963624870327760613376677517257382747015181242,t1,80094892522964481758103622318044363435808647804553048103124920511565167751410,97670
1063746180812293138887147089075963624870327760613376677517257382747015181242,t2,799997090302940622568638532251045704483689605525259839064712666505644865423,55416
1063746180812293138887147089075963624870327760613376677517257382747015181242,t3,540745152629728449139772155469417186654650056075856593188093808950232766653,17954
1429308547368735517830801646267653664013637324312460488478040389781624889225,t4,1063746180812293138887147089075963624870327760613376677517257382747015181242,18449
1429308547368735517830801646267653664013637324312460488478040389781624889225,t5,540745152629728449139772155469417186654650056075856593188093808950232766653,26617
1429308547368735517830801646267653664013637324312460488478040389781624889225,t1,99302985741165778004807597728396001960204081396014015154048716789863877012121,17078
1429308547368735517830801646267653664013637324312460488478040389781624889225,t1,55761086283542842257346808372488576000865157161172603249167282714074241520363,71832
1429308547368735517830801646267653664013637324312460488478040389781624889225,t1,1468283386354146620886181394358833494446400590698130493247146836385798165135,73941
1429308547368735517830801646267653664013637324312460488478040389781624889225,t2,103516452985592883813572362312344159769899872140285550224996186218543378512838,13498
1429308547368735517830801646267653664013637324312460488478040389781624889225,t2,1063746180812293138887147089075963624870327760613376677517257382747015181242,42322
1429308547368735517830801646267653664013637324312460488478040389781624889225,t2,799997090302940622568638532251045704483689605525259839064712666505644865423,55416
1429308547368735517830801646267653664013637324312460488478040389781624889225,t3,95709373400657123648062524290919876326461293647490482847797120535937765402231,25635
1468283386354146620886181394358833494446400590698130493247146836385798165135,t4,1063746180812293138887147089075963624870327760613376677517257382747015181242,18449
1468283386354146620886181394358833494446400590698130493247146836385798165135,t4,540745152629728449139772155469417186654650056075856593188093808950232766653,36089
1468283386354146620886181394358833494446400590698130493247146836385798165135,t2,1063746180812293138887147089075963624870327760613376677517257382747015181242,42322
1550173801442751417792725034269687169072022895688356008078909292890135615195,t4,1063746180812293138887147089075963624870327760613376677517257382747015181242,18449
1550173801442751417792725034269687169072022895688356008078909292890135615195,t4,99437811536668259521491537157182691869560307628428129416239304981246791253506,47668
1550173801442751417792725034269687169072022895688356008078909292890135615195,t1,1468283386354146620886181394358833494446400590698130493247146836385798165135,73941
1550173801442751417792725034269687169072022895688356008078909292890135615195,t1,106190166537160613323663506551857802192711066090140684936337157756064716384976,91201
1550173801442751417792725034269687169072022895688356008078909292890135615195,t2,1063746180812293138887147089075963624870327760613376677517257382747015181242,42322
1550173801442751417792725034269687169072022895688356008078909292890135615195,t3,540745152629728449139772155469417186654650056075856593188093808950232766653,17954
2124780993618723830581433419973225529281653788589520848232623772842162332293,t1,2562590415379054810731496224146976603007055736122568324044843801533053131681,21600
2124780993618723830581433419973225529281653788589520848232623772842162332293,t1,90507698462284853801750876246237925045592813980288715957469202572670564292861,38675
2124780993618723830581433419973225529281653788589520848232623772842162332293,t1,113639145970703650365361148224815543405451449381813480910069209612383130305425,46120
2124780993618723830581433419973225529281653788589520848232623772842162332293,t1,110165014293661300366527136496315131616480225249649721085279876035846193834470,67746
2124780993618723830581433419973225529281653788589520848232623772842162332293,t1,3210965440531246201861004800407675648738105925457274631155984891082246183461,75339
2124780993618723830581433419973225529281653788589520848232623772842162332293,t2,87989203276605324413700298799391060164751574720305438317176891360262085170585,1617
2124780993618723830581433419973225529281653788589520848232623772842162332293,t2,2562590415379054810731496224146976603007055736122568324044843801533053131681,23544
2124780993618723830581433419973225529281653788589520848232623772842162332293,t2,2503999809631829890766658671975559649316181805053960308883696645264445788598,77295
2124780993618723830581433419973225529281653788589520848232623772842162332293,t3,2503999809631829890766658671975559649316181805053960308883696645264445788598,83549
2269492498407044999908709798762630577002902839218765605367636188461907759916,t1,67471034137127035030702615412309347321556270242855243217926508997656818469324,11211
2269492498407044999908709798762630577002902839218765605367636188461907759916,t1,31647321856639742496776458665403547000880313191357185481396252101690277459084,50523
2269492498407044999908709798762630577002902839218765605367636188461907759916,t2,2124780993618723830581433419973225529281653788589520848232623772842162332293,31195
2269492498407044999908709798762630577002902839218765605367636188461907759916,t2,2503999809631829890766658671975559649316181805053960308883696645264445788598,77295
2269492498407044999908709798762630577002902839218765605367636188461907759916,t3,2503999809631829890766658671975559649316181805053960308883696645264445788598,83549
2269492498407044999908709798762630577002902839218765605367636188461907759916,t3,2124780993618723830581433419973225529281653788589520848232623772842162332293,97255
2503999809631829890766658671975559649316181805053960308883696645264445788598,t4,102003697923466132751334522649225087231947552069844075477036942975490856612496,30942
2503999809631829890766658671975559649316181805053960308883696645264445788598,t5,102003697923466132751334522649225087231947552069844075477036942975490856612496,39055
2503999809631829890766658671975559649316181805053960308883696645264445788598,t1,2562590415379054810731496224146976603007055736122568324044843801533053131681,21600
2503999809631829890766658671975559649316181805053960308883696645264445788598,t1,79491923274274728248249367648679640778831384589899212344641325645459561696476,23596
2503999809631829890766658671975559649316181805053960308883696645264445788598,t1,80094892522964481758103622318044363435808647804553048103124920511565167751410,97670
2503999809631829890766658671975559649316181805053960308883696645264445788598,t2,2562590415379054810731496224146976603007055736122568324044843801533053131681,23544
2503999809631829890766658671975559649316181805053960308883696645264445788598,t2,2124780993618723830581433419973225529281653788589520848232623772842162332293,31195
2503999809631829890766658671975559649316181805053960308883696645264445788598,t2,2966596237416501173003309994821459236674460559977087000373782069583068770331,54683
2503999809631829890766658671975559649316181805053960308883696645264445788598,t3,102003697923466132751334522649225087231947552069844075477036942975490856612496,1446
2503999809631829890766658671975559649316181805053960308883696645264445788598,t3,2124780993618723830581433419973225529281653788589520848232623772842162332293,97255
2562590415379054810731496224146976603007055736122568324044843801533053131681,t1,98563517077617903865707236583779241920312794907789084873538089128946564865558,28953
2562590415379054810731496224146976603007055736122568324044843801533053131681,t1,3210965440531246201861004800407675648738105925457274631155984891082246183461,75339
2562590415379054810731496224146976603007055736122568324044843801533053131681,t1,90032724003597571817258930336967463694376686182492425307271616962908299592050,75409
2562590415379054810731496224146976603007055736122568324044843801533053131681,t2,85945950233474491552025049523888601380281443766516029691653226728436300516926,20459
2562590415379054810731496224146976603007055736122568324044843801533053131681,t2,2124780993618723830581433419973225529281653788589520848232623772842162332293,31195
2562590415379054810731496224146976603007055736122568324044843801533053131681,t2,2966596237416501173003309994821459236674460559977087000373782069583068770331,54683
2562590415379054810731496224146976603007055736122568324044843801533053131681,t2,2503999809631829890766658671975559649316181805053960308883696645264445788598,77295
2562590415379054810731496224146976603007055736122568324044843801533053131681,t3,2503999809631829890766658671975559649316181805053960308883696645264445788598,83549
2562590415379054810731496224146976603007055736122568324044843801533053131681,t3,2124780993618723830581433419973225529281653788589520848232623772842162332293,97255
2966596237416501173003309994821459236674460559977087000373782069583068770331,t5,99402736054214101734477344794962536048193915486358379446834872058706711966425,79911
2966596237416501173003309994821459236674460559977087000373782069583068770331,t1,2562590415379054810731496224146976603007055736122568324044843801533053131681,21600
2966596237416501173003309994821459236674460559977087000373782069583068770331,t1,3210965440531246201861004800407675648738105925457274631155984891082246183461,75339
2966596237416501173003309994821459236674460559977087000373782069583068770331,t2,2562590415379054810731496224146976603007055736122568324044843801533053131681,23544
2966596237416501173003309994821459236674460559977087000373782069583068770331,t3,99402736054214101734477344794962536048193915486358379446834872058706711966425,38452
3210965440531246201861004800407675648738105925457274631155984891082246183461,t1,2966596237416501173003309994821459236674460559977087000373782069583068770331,11783
3210965440531246201861004800407675648738105925457274631155984891082246183461,t1,46740348928963324955682976057793573751248114389122933410543855465520502361927,13487
3210965440531246201861004800407675648738105925457274631155984891082246183461,t1,67920736350442666671063989212242241922238936046539109786780331186864718158565,31065
3210965440531246201861004800407675648738105925457274631155984891082246183461,t1,64699612986376328444355236407046869837480195896827889770657857514412331070541,34981
3210965440531246201861004800407675648738105925457274631155984891082246183461,t1,62356999373981723688085426372518885577374899493288050219608861772942378269895,42413
3210965440531246201861004800407675648738105925457274631155984891082246183461,t1,31243384917338529802968192950178286494301457556806253044588122385638808321307,62548
3210965440531246201861004800407675648738105925457274631155984891082246183461,t1,58541932444575610916944577856555414609991346874132494442417830506618056688058,73068
3210965440531246201861004800407675648738105925457274631155984891082246183461,t1,42680592488663209473585387886114141552686898102907270884638294463736719737121,78301
3210965440531246201861004800407675648738105925457274631155984891082246183461,t2,2966596237416501173003309994821459236674460559977087000373782069583068770331,54683
3210965440531246201861004800407675648738105925457274631155984891082246183461,t2,67920736350442666671063989212242241922238936046539109786780331186864718158565,83257
4444098590876638265640435917379751029258299644166908074092558334308118615721,t1,113639145970703650365361148224815543405451449381813480910069209612383130305425,46120
4444098590876638265640435917379751029258299644166908074092558334308118615721,t1,58541932444575610916944577856555414609991346874132494442417830506618056688058,73068
4444098590876638265640435917379751029258299644166908074092558334308118615721,t3,59581939463014384324583582818680402083815175466893010556391780923519779948575,95470
4473320279178703303879289825411025439607481602687139438865338140717224570653,t1,59894602936525045481464545813375569145888965727085967452256696996583690080886,31741
4473320279178703303879289825411025439607481602687139438865338140717224570653,t1,61726670936026476949499185225287698848868987276423997475793067059429210525195,63780
4473320279178703303879289825411025439607481602687139438865338140717224570653,t1,104631268103947167429255137099274841270764357650231903484029513111212427787087,68421
4473320279178703303879289825411025439607481602687139438865338140717224570653,t2,4517781891513892425552140352535994604394849916064219809226046704838082072025,67691
4473320279178703303879289825411025439607481602687139438865338140717224570653,t2,102442364269045690896563229502238529350654362101591350691104269964521753305551,83221
4473320279178703303879289825411025439607481602687139438865338140717224570653,t3,95709373400657123648062524290919876326461293647490482847797120535937765402231,25635
4473320279178703303879289825411025439607481602687139438865338140717224570653,t3,61726670936026476949499185225287698848868987276423997475793067059429210525195,41032
4473320279178703303879289825411025439607481602687139438865338140717224570653,t3,59581939463014384324583582818680402083815175466893010556391780923519779948575,95470
4517781891513892425552140352535994604394849916064219809226046704838082072025,t4,4473320279178703303879289825411025439607481602687139438865338140717224570653,55278
4517781891513892425552140352535994604394849916064219809226046704838082072025,t5,6640216043238620479447846333709764722046161438884706633623956294931546027676,15095
4517781891513892425552140352535994604394849916064219809226046704838082072025,t1,68082133095079316956789175932080727353575006687260281220651329451146764203590,73939
4517781891513892425552140352535994604394849916064219809226046704838082072025,t2,85945950233474491552025049523888601380281443766516029691653226728436300516926,20459
4517781891513892425552140352535994604394849916064219809226046704838082072025,t2,68082133095079316956789175932080727353575006687260281220651329451146764203590,27644
4517781891513892425552140352535994604394849916064219809226046704838082072025,t3,68082133095079316956789175932080727353575006687260281220651329451146764203590,2288
4807564729499496672676184436468116694093794058451590027685728201346430021549,t4,4473320279178703303879289825411025439607481602687139438865338140717224570653,55278
4807564729499496672676184436468116694093794058451590027685728201346430021549,t1,67518019977611313066121044586936995361371157307452981514113177601489084605093,11654
4807564729499496672676184436468116694093794058451590027685728201346430021549,t1,83217767896994315850077976545865876324278397869641348395381615090288107501843,13545
4807564729499496672676184436468116694093794058451590027685728201346430021549,t1,53194523704144441322210630719913554847993541634930195163097745005443397517949,32919
4807564729499496672676184436468116694093794058451590027685728201346430021549,t1,30169307868038722864326730844079353998531683027258374547417663770498125985383,38012
4807564729499496672676184436468116694093794058451590027685728201346430021549,t1,5284689978273943575567177032565260873661409002314906415365218196220031342837,41007
4807564729499496672676184436468116694093794058451590027685728201346430021549,t2,5284689978273943575567177032565260873661409002314906415365218196220031342837,4132
4807564729499496672676184436468116694093794058451590027685728201346430021549,t2,83217767896994315850077976545865876324278397869641348395381615090288107501843,64450
4807564729499496672676184436468116694093794058451590027685728201346430021549,t2,5414654411339472575226800425024567060020939771977144918362332634474223546223,65772
4807564729499496672676184436468116694093794058451590027685728201346430021549,t2,4517781891513892425552140352535994604394849916064219809226046704838082072025,67691
4807564729499496672676184436468116694093794058451590027685728201346430021549,t3,5284689978273943575567177032565260873661409002314906415365218196220031342837,26770
4807564729499496672676184436468116694093794058451590027685728201346430021549,t3,67397762027753407743287920162887440603113411489098379852533262784253786065056,95614
5263036333967009769027881732077671734060373069612245117511923536499801705121,t4,114700487346484168905196256304380145320072098472280548895847896751776618247166,50192
5263036333967009769027881732077671734060373069612245117511923536499801705121,t4,4473320279178703303879289825411025439607481602687139438865338140717224570653,55278
5263036333967009769027881732077671734060373069612245117511923536499801705121,t5,4807564729499496672676184436468116694093794058451590027685728201346430021549,21984
5263036333967009769027881732077671734060373069612245117511923536499801705121,t1,2966596237416501173003309994821459236674460559977087000373782069583068770331,11783
5263036333967009769027881732077671734060373069612245117511923536499801705121,t1,85387110846377177624803455791103412489852326012920834748527794571976175872702,27983
5263036333967009769027881732077671734060373069612245117511923536499801705121,t1,40502505527029244805309221064762001650846173770575263014124467962625607576187,67323
5263036333967009769027881732077671734060373069612245117511923536499801705121,t1,4807564729499496672676184436468116694093794058451590027685728201346430021549,89611
5263036333967009769027881732077671734060373069612245117511923536499801705121,t2,4807564729499496672676184436468116694093794058451590027685728201346430021549,13678
5263036333967009769027881732077671734060373069612245117511923536499801705121,t2,114700487346484168905196256304380145320072098472280548895847896751776618247166,31598
5263036333967009769027881732077671734060373069612245117511923536499801705121,t2,5414654411339472575226800425024567060020939771977144918362332634474223546223,65772
5263036333967009769027881732077671734060373069612245117511923536499801705121,t3,4807564729499496672676184436468116694093794058451590027685728201346430021549,1067
5263036333967009769027881732077671734060373069612245117511923536499801705121,t3,85387110846377177624803455791103412489852326012920834748527794571976175872702,28567
5284689978273943575567177032565260873661409002314906415365218196220031342837,t5,4807564729499496672676184436468116694093794058451590027685728201346430021549,21984
5284689978273943575567177032565260873661409002314906415365218196220031342837,t1,44700275797331695250052251483754911282038121000166856020655633676349798557323,10012
5284689978273943575567177032565260873661409002314906415365218196220031342837,t1,99457242461520265792017309955935720362471107123280525702032393860770135624364,25790
5284689978273943575567177032565260873661409002314906415365218196220031342837,t1,4807564729499496672676184436468116694093794058451590027685728201346430021549,89611
5284689978273943575567177032565260873661409002314906415365218196220031342837,t2,4807564729499496672676184436468116694093794058451590027685728201346430021549,13678
5284689978273943575567177032565260873661409002314906415365218196220031342837,t2,5414654411339472575226800425024567060020939771977144918362332634474223546223,65772
5284689978273943575567177032565260873661409002314906415365218196220031342837,t2,81159849771897097718338319101892946284216303928265685212748842228590549663379,69657
5284689978273943575567177032565260873661409002314906415365218196220031342837,t3,4807564729499496672676184436468116694093794058451590027685728201346430021549,1067
5414654411339472575226800425024567060020939771977144918362332634474223546223,t5,4807564729499496672676184436468116694093794058451590027685728201346430021549,21984
5414654411339472575226800425024567060020939771977144918362332634474223546223,t1,5284689978273943575567177032565260873661409002314906415365218196220031342837,41007
5414654411339472575226800425024567060020939771977144918362332634474223546223,t1,102366194649224003786275827578215458775489825883005646627468178343874968397361,62172
5414654411339472575226800425024567060020939771977144918362332634474223546223,t1,110165014293661300366527136496315131616480225249649721085279876035846193834470,67746
5414654411339472575226800425024567060020939771977144918362332634474223546223,t1,4807564729499496672676184436468116694093794058451590027685728201346430021549,89611
5414654411339472575226800425024567060020939771977144918362332634474223546223,t2,5284689978273943575567177032565260873661409002314906415365218196220031342837,4132
5414654411339472575226800425024567060020939771977144918362332634474223546223,t2,4807564729499496672676184436468116694093794058451590027685728201346430021549,13678
5414654411339472575226800425024567060020939771977144918362332634474223546223,t2,102366194649224003786275827578215458775489825883005646627468178343874968397361,17120
5414654411339472575226800425024567060020939771977144918362332634474223546223,t2,4517781891513892425552140352535994604394849916064219809226046704838082072025,67691
5414654411339472575226800425024567060020939771977144918362332634474223546223,t2,81159849771897097718338319101892946284216303928265685212748842228590549663379,69657
5414654411339472575226800425024567060020939771977144918362332634474223546223,t3,4807564729499496672676184436468116694093794058451590027685728201346430021549,1067
5414654411339472575226800425024567060020939771977144918362332634474223546223,t3,5284689978273943575567177032565260873661409002314906415365218196220031342837,26770
5497576020437300932583185797246629030237600861368072432268897700537402731415,t1,82001440456854037857349320739614959271019500684728063827144325514603228062937,6444
5497576020437300932583185797246629030237600861368072432268897700537402731415,t1,5959687431411907817583717043227719161473244591201990055504625977652692133315,28475
5497576020437300932583185797246629030237600861368072432268897700537402731415,t1,5930934156500011589406647056535215023395435872253621640487233664371312186085,57091
5497576020437300932583185797246629030237600861368072432268897700537402731415,t2,5689702913774773396054614047266349446009114287987558400014167011624237521170,33804
