topic,registrant,times_registered,min_registration_time,average_registration_time,min_discovery_time,average_discovery_time
t4,33305963444557175234513207807266470149278118692823131434482067457538286914532,51,201,40247,58835,175262
t4,93559867510982436410265100757520549419498778964645682113044357209508051811339,74,201,41014,58599,164079
t4,23565214741854612956258804745960079532322824407500635160868426375268240227497,43,201,50673,25717,180717
t4,114984041496019503744301562890050635357774232522691986025730525412133992828124,72,201,43805,88286,188156
t4,87820430568892022018637596866245116855686645576293173432299920729282333874085,17,201,7362,0,0
t4,62140721094886207406670751347904673268719532694839203811391632097923624867888,91,201,30114,19927,150469
t4,57680190763960017383758172392293363513539340539120635916784773206816372201956,74,201,31564,4597,152342
t4,103088791461583965744876201807409776069395946317028271937584328853438088457768,47,201,55555,124636,172811
t4,34075001441953566092363875401491127861759167698914547043331635277988678201943,60,201,44504,28346,149727
t4,65080354808146088331134789393288162875968675737902136270710030999908932538207,50,201,46772,14479,181748
t4,22915380096991186576504214275423647789321250732398166481735038872562162586426,73,201,34565,15510,170540
t4,26243741950073447238080248047377048707514139462238896701705938881477647512921,81,201,30737,18092,152182
t4,9505291896420368427245382507599279231402607468612227324463807189726008087698,67,201,39732,21391,163300
t4,62958517019140533055758885668267902634363123599190821583869097101423217029337,96,201,28021,19999,200014
t4,44766266229700699629569559101765370756102422168578878851443171057048961964555,93,201,28584,7201,194022
t4,10793458855907825689719381358204170482416860896377821586215323623948329892542,64,201,51342,5751,135791
t4,50841451953051718611788595954217683180098025314059798202992314680186676632377,58,201,39133,19399,148349
t4,115498179669229020895712941163758118161025144679686738046386102050783841570637,82,201,36973,67479,204464
t4,102378184097917807032970596979759343754613456256694941688174901726980537070736,50,201,55891,47275,206442
t4,70996098164318359056607851045590621322222562838420416793730966662035126101742,99,201,28790,29340,175345
t4,80374614586025934414192394357300620050071837375477485114392185336397464400764,88,201,35434,64799,189453
t4,106190166537160613323663506551857802192711066090140684936337157756064716384976,88,201,34498,1799,146848
t4,8282924099209876250997246087088302641962582373093868525515032699761284536960,74,201,44086,2180,163151
t4,166221127073636692390366721365545131462257067430082701805638339488405879033,46,201,61439,1399,138360
t4,92908954961582189808133210760065653984416345697429740383778479723083005826616,72,201,35527,544,162261
t4,99302985741165778004807597728396001960204081396014015154048716789863877012121,76,201,32871,1399,120217
t4,73236393521659422537664319912432924076939798826832759896010346315254796212709,96,201,34826,11590,170756
t4,36731733305173932334593082281277169992879316818607269670249813534609414120376,69,201,35399,25429,163059
t4,55840341163912920136933261722475942232547697913410012608849760827704877352667,60,201,41283,29327,158952
t4,90853126745295371073842811955412594473107170387458780476069245424992023064453,64,201,45669,599,190326
t4,6568004554414756940152586151583395822728341532723496261736012780489260180007,68,201,41215,8089,164099
t4,99308485037174200525540960208737219447558973269131216348624686280333541813662,87,201,32894,6999,171359
t4,64266998872920773338973886987780744323936529496598114190510636537684925710426,92,201,26590,26608,179378
t4,96925219459290275818993980969006138228723210771523224490009996026156723071624,23,201,37750,0,0
t4,25983495563105017886846355159538309654683720651482024036642193674214273303201,37,201,72552,164605,231618
t4,22336062154317307673645820737701580204211564373832623789273919783300246958611,59,201,41891,101478,192906
t4,20725776179138660352463617752312053082336523200036480134844113581175583802175,61,201,45031,13543,175810
t4,38949923752583142398616238407828859571376465184668865875349811856000013613188,59,201,39681,23599,179470
t4,84813851080234238235129759457817529808727104670641323254534963296611525718445,77,201,33901,46097,142413
t4,102003697923466132751334522649225087231947552069844075477036942975490856612496,87,201,29376,2399,179230
t4,105768643703448973656610317036758901202850132147041231472990378958600556917913,62,201,34402,54411,179502
t4,97057909068232552566866905871836495593308664396126113451581592414430821043824,34,201,83515,29396,114254
t4,22683305642320083810636843983861218952868967936210626922140076778964250986980,64,201,41756,17196,171083
t4,65596767438639373831487748408861854236157882608826504357244048714909549871908,40,201,3444,22000,219113
t4,11090037166215636098369763467107071759384633360856058148542927256454464557019,60,201,52199,20399,168415
t4,48101449199826452737507712627650925989860409824986705371760658771793210179643,61,201,44284,19199,154619
t4,98323212828001070646692338503619226330865728839612409577470420652614911714927,82,201,36468,40639,203631
t4,1063746180812293138887147089075963624870327760613376677517257382747015181242,75,201,39283,11943,152786
t4,100044907294852963761016732798409917260061828167691638308680291801823833267780,76,201,42304,232,162624
t4,90220370061280350764155001940697305945604366747602031626693461176837017026779,70,201,27719,19691,176248
t4,103747250995549031538443609975267240830486594679081701552176830407807417524431,79,201,39656,599,169113
t4,84974027871800750891086252983471965233376205203719987380126870194253690487159,54,201,46288,80592,175747
t4,88259054287778522106468562592548919698783445786854765300564290297397515061546,43,201,61802,799,21379
t4,46248960230546638699402452498098815649047754060910586430976752203806433586512,59,201,46232,7799,85610
t4,87630233031169273405144881432486963902798200051911826006909871014189420613913,77,201,39553,17199,158270
t4,66093752243364824665189179103966479752044657433743592121692889341716581592500,85,201,28944,4107,126439
t4,5959687431411907817583717043227719161473244591201990055504625977652692133315,66,201,45383,15399,161685
t4,20626303875200312364467351684460721461547612098903257329600114634675030408101,44,201,45855,45450,206349
t4,68130714194816210594805702192922145373009827156240354103545304477484455344147,93,201,29577,5195,145893
t4,45627195197758541834452046178555818536127676765946035942666192247536462919269,62,201,42350,26691,208777
t4,81904770631363086502960022043434103361016358563999859574175849973469126773348,75,201,32344,14459,194722
t4,47571596520103783831103231667086836637360838270397838182386627139996109784356,66,201,52985,18199,161605
t4,96842172425671586415722514165421665685020136683681289751904075527966742139729,79,201,36788,6596,124804
t4,16007610771210654039744960480057932651682384140459041155659128554483985169358,70,201,41196,10939,180273
t4,50886609427811792480490171392590586662144293513031498124520769173570898058593,69,201,37776,745,151184
t4,51889599231899356208690377011114902143088583515988416025197017894767750292067,39,201,62663,799,145599
t4,23909476239634556075568653585918881289719852157865491868544536654108130601999,58,201,46516,13197,128468
t4,50804120949678687029995900189876604475092084801934760791490876392493510024173,83,201,28278,8792,198474
t4,17129198376331153749994955882844379096976723988606483233121176157688386599383,65,201,39904,5199,179899
t4,37620165125361356295894593909775557080915876895813360508877120423193538990844,66,201,40471,49532,159050
