time,t1-normal,t1-evil,t2-normal,t2-evil,t3-normal,t3-evil,t4-normal,t4-evil,t5-normal,t5-evil
100000,3692,0,3935,0,1245,0,743,0,253,0
200000,5641,0,6093,0,2389,0,1522,0,867,0
300000,7407,0,7865,0,3630,0,2197,0,1106,0
400000,7378,0,7718,0,3657,0,2194,0,1164,0
500000,7399,0,7782,0,3634,0,2150,0,1121,0
600000,7350,0,7847,0,3638,0,2164,0,1128,0
700000,7398,0,7808,0,3703,0,2192,0,1158,0
800000,7412,0,7777,0,3714,0,2237,0,1107,0
900000,7407,0,7764,0,3660,0,2241,0,1134,0
1000000,7514,0,7789,0,3680,0,2250,0,1122,0
1100000,7558,0,7845,0,3703,0,2237,0,1116,0
1200000,7520,0,7883,0,3702,0,2260,0,1121,0
1300000,7597,0,7858,0,3641,0,2274,0,1132,0
1400000,7640,0,7832,0,3701,0,2282,0,1101,0
1500000,7653,0,7870,0,3660,0,2299,0,1133,0
1600000,7605,0,7900,0,3721,0,2313,0,1132,0
1700000,7629,0,7896,0,3660,0,2313,0,1110,0
1800000,7707,0,7902,0,3640,0,2293,0,1124,0
1900000,7639,0,7777,0,3669,0,2315,0,1124,0
2000000,7676,0,7779,0,3641,0,2345,0,1158,0
2100000,7748,0,7845,0,3633,0,2365,0,1160,0
2200000,7675,0,7877,0,3635,0,2374,0,1160,0
2300000,7708,0,7853,0,3659,0,2374,0,1149,0
2400000,7728,0,7909,0,3644,0,2415,0,1166,0
2500000,7703,0,7840,0,3649,0,2438,0,1145,0
2600000,7728,0,7889,0,3668,0,2480,0,1124,0
2700000,7763,0,7973,0,3693,0,2480,0,1109,0
2800000,7756,0,7943,0,3681,0,2491,0,1136,0
2900000,7808,0,7974,0,3647,0,2527,0,1134,0
3000000,7772,0,8021,0,3635,0,2519,0,1159,0
3100000,7790,0,7987,0,3652,0,2522,0,1146,0
3200000,7811,0,8021,0,3689,0,2531,0,1161,0
3300000,7839,0,7992,0,3717,0,2531,0,1163,0
3400000,7820,0,8040,0,3733,0,2499,0,1130,0
3500000,7776,0,8010,0,3704,0,2486,0,1117,0
