host,topic,registrant,timestamp
389213935854642737518965163996528688860810306473210283241451512658429313685,t4,40340895216168602610398117741569583195376071113168945680693625678234849177156,2227301
389213935854642737518965163996528688860810306473210283241451512658429313685,t4,90032724003597571817258930336967463694376686182492425307271616962908299592050,2260701
389213935854642737518965163996528688860810306473210283241451512658429313685,t5,56224863423765626770390477554084366966960886797690115627486785764489892192342,2265301
389213935854642737518965163996528688860810306473210283241451512658429313685,t5,10793458855907825689719381358204170482416860896377821586215323623948329892542,2297501
389213935854642737518965163996528688860810306473210283241451512658429313685,t1,44766266229700699629569559101765370756102422168578878851443171057048961964555,2280501
389213935854642737518965163996528688860810306473210283241451512658429313685,t2,93803340608064345617792319865951097089081208283681437882208704763665459363559,2017301
389213935854642737518965163996528688860810306473210283241451512658429313685,t2,89270231262998277780514063468280568378073847781894181390381450119798683313976,2017301
389213935854642737518965163996528688860810306473210283241451512658429313685,t2,4286282560648949495205980145633658963490687583299263063987296869215164382192,2020501
389213935854642737518965163996528688860810306473210283241451512658429313685,t2,5284689978273943575567177032565260873661409002314906415365218196220031342837,2023501
389213935854642737518965163996528688860810306473210283241451512658429313685,t2,32366587520626404100446968443623868887723855593546868691607770724901366421148,2030701
389213935854642737518965163996528688860810306473210283241451512658429313685,t2,51904454544142738542279755725561544578820078070531290652177181674018635631156,2040301
389213935854642737518965163996528688860810306473210283241451512658429313685,t2,45469188480463414755456037300787460604604335807351697179464452268238066864605,2040501
389213935854642737518965163996528688860810306473210283241451512658429313685,t2,32903705836095027979878249524887296369282637944634190267402794672971570945937,2043301
389213935854642737518965163996528688860810306473210283241451512658429313685,t2,20269314551642301991379625473307783112075887752508383048965619502007402430586,2066301
389213935854642737518965163996528688860810306473210283241451512658429313685,t2,14691811942315438863728556600013792654275482970996556434816153658191339990690,2067301
389213935854642737518965163996528688860810306473210283241451512658429313685,t2,44904192984979027307649940986405076632111130112656636322953696700146208543721,2080501
389213935854642737518965163996528688860810306473210283241451512658429313685,t2,29230352739128606828329602369370241259551196975736335548642408340966892598566,2080701
389213935854642737518965163996528688860810306473210283241451512658429313685,t2,64266998872920773338973886987780744323936529496598114190510636537684925710426,2082301
389213935854642737518965163996528688860810306473210283241451512658429313685,t2,52059778306966170035694492237790876224050752579060688588786076695995242221979,2091301
389213935854642737518965163996528688860810306473210283241451512658429313685,t2,18467056191896419078195846464262805645879985575143733807617351527907444873183,2095301
389213935854642737518965163996528688860810306473210283241451512658429313685,t2,24945161646150758624644499282763557549045211407595167519787873688153389796638,2095301
389213935854642737518965163996528688860810306473210283241451512658429313685,t2,54314790464484528351019189494574500005352611491666643329288582622864871562176,2110501
389213935854642737518965163996528688860810306473210283241451512658429313685,t2,83217767896994315850077976545865876324278397869641348395381615090288107501843,2117301
389213935854642737518965163996528688860810306473210283241451512658429313685,t2,48101449199826452737507712627650925989860409824986705371760658771793210179643,2120501
389213935854642737518965163996528688860810306473210283241451512658429313685,t2,79625108176405800400945213854744923322745801691311217741801529706728708208450,2129301
389213935854642737518965163996528688860810306473210283241451512658429313685,t2,13171711037866639651053412401727993976492257256892543787241743201636487830043,2130701
389213935854642737518965163996528688860810306473210283241451512658429313685,t2,113639145970703650365361148224815543405451449381813480910069209612383130305425,2148301
389213935854642737518965163996528688860810306473210283241451512658429313685,t2,24965961244636616175534508295628956920884394212419236412330472226218164692618,2150501
389213935854642737518965163996528688860810306473210283241451512658429313685,t2,23323267422886751502866661905305571372066556567736316412710675621318595370420,2157301
389213935854642737518965163996528688860810306473210283241451512658429313685,t2,83021494825386156679235566901373338798638784042989519452204780802304063053526,2160301
389213935854642737518965163996528688860810306473210283241451512658429313685,t2,20395001627716586153438220465125938523230821484393861338080994261306788044640,2162301
