time,t1_wait,t2_wait,t3_wait,t4_wait,t5_wait,t1_cumWait,t2_cumWait,t3_cumWait,t4_cumWait,t5_cumWait,t1_reject,t2_reject,t3_reject,t4_reject,t5_reject
100000,192.27650391151874,195.16902834008098,0.0,0.0,0.0,201.0,201.0,201.0,201.0,201.0,0,0,0,0,0
200000,0.0,0.0,0.0,0.0,0.0,201.0,201.0,201.0,201.0,201.0,0,0,0,0,0
300000,0.0,0.0,0.0,0.0,0.0,201.0,201.0,201.0,201.0,201.0,0,0,0,0,0
400000,5786.0351657937435,4465.172125865307,1487.9003401042155,2901.8492928564992,1122.5654205607477,86649.14193908912,91669.33198489752,50070.7172034564,42463.92567567567,7051.038585209003,0,0,0,0,0
500000,14833.219903283278,9106.605324362488,9069.511749529322,8389.047540567952,1386.0027247956402,4410.921850899743,13221.240477283158,17821.25415896488,31360.413605442176,2469.9649737302975,0,0,0,0,0
600000,1668.5074976569822,896.7835855112334,5438.59319631467,5632.675914994097,2218.8580968280467,2102.30677764566,1339.9609030837005,885.5720164609054,6471.066765578635,5765.682926829269,0,0,0,0,0
700000,5634.252372969536,4413.603930722563,1918.0136112975229,3071.5595515308323,1647.9072532699167,173303.04246885618,184967.69138220482,112444.31382978724,89343.14171122995,10042.973607038122,0,0,0,0,0
800000,13599.759221076747,8610.30079006772,8763.740552271196,7389.248482500323,1110.6149789029537,6566.050659630607,27071.221639656815,30157.706046511626,57433.60994764398,4023.2736418511067,0,0,0,0,0
900000,1898.1683121767749,4862.326363636364,4791.444844989185,7055.824746008709,1937.2962962962963,2267.480699638118,1622.6959727736812,1203.9026701119724,15968.204142011835,4934.285714285715,0,0,0,0,0
1000000,5610.086225697906,4431.969235857189,1870.0370457763095,2893.9757277123826,1061.606884057971,251963.78305084744,261483.77392786142,150936.77684691545,87006.15894039735,4459.422492401216,0,0,0,0,0
1100000,14409.672290874525,8716.098522167487,9440.69245529204,7744.9760278559,956.3748544819557,7303.432914046121,26281.07955077211,27923.966417910447,52580.09078590786,1689.4130879345603,0,0,0,0,0
1200000,2337.02889324192,5471.427450980392,3730.4303797468356,5879.582880434783,1539.2441113490363,1807.984781230184,1443.5444126074499,833.6845397676497,20110.80116110305,4536.742753623188,0,0,0,0,0
1300000,5647.708283743342,4444.916765337083,1822.6219026776141,2872.3698087695575,956.9982332155477,294379.3311797753,301361.3515488019,195656.0687146322,85242.7753721245,4528.309677419355,0,0,0,0,0
1400000,15392.269304099142,7524.456948408342,9998.991450125734,7831.312946428571,281.98350515463915,7024.506282722513,25156.704066634004,31348.832727272726,52282.23087621697,809.1548974943053,0,0,0,0,0
1500000,1992.381369016984,9045.307822648969,2865.1823681936044,6354.4247663551405,888.65664160401,1913.5408031088082,3673.124500285551,525.936911487759,16990.49560117302,1549.7434210526317,0,0,0,0,0
1600000,5593.148078666398,4508.708557647896,1813.1739354027684,2806.0284994964754,1003.6803738317757,321334.7651869159,334505.9864546525,187267.36216216217,88210.95225102319,4019.7435064935066,0,0,0,0,0
