time,MSG_EMPTY,MSG_STORE,MSG_INIT_FIND,MSG_FIND,MSG_RESPONSE,MSG_REGISTER,MSG_INIT_REGISTER,MSG_TICKET_REQUEST,MSG_TICKET_RESPONSE,MSG_TOPIC_QUERY,MSG_REGISTER_RESPONSE,MSG_TOPIC_QUERY_REPLY,regToGoodNodes,regToEvilNodes
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,NaN
100000,0,0,0,50064,50064,9900,0,12225,12189,10863,9874,10863,43.81188118811881,NaN
200000,0,0,0,50619,50619,6618,0,11507,11532,87,6644,87,36.10557768924303,NaN
300000,0,0,0,49453,49452,5693,0,10885,10896,230,5693,230,32.95825049701789,NaN
400000,0,0,0,49064,49064,635014,0,9838,9835,3911,634185,3903,1274.411067193676,NaN
500000,0,0,0,49100,49100,51337,0,6848,6851,3723,52025,3726,114.76331360946746,NaN
600000,0,0,0,48654,48654,8019,0,5827,5827,3072,8019,3077,27.58167330677291,NaN
700000,0,0,0,48220,48220,615073,0,9011,9011,233,614138,233,1240.7236580516899,NaN
800000,0,0,0,47893,47893,47683,0,6929,6926,164,48335,164,108.78884462151395,NaN
900000,0,0,0,47634,47634,9064,0,5772,5772,53,9063,53,29.731462925851705,NaN
1000000,0,0,0,47229,47229,605199,0,8811,8811,122,604170,122,1228.02,NaN
1100000,0,0,0,47453,47453,47081,0,6946,6946,233,47849,233,107.40954274353876,NaN
1200000,0,0,0,46648,46648,8021,0,5766,5766,70,8017,70,27.574,NaN
1300000,0,0,0,46980,46980,608892,0,8814,8814,136,607929,136,1228.0437375745528,NaN
1400000,0,0,0,46546,46545,46106,0,6679,6679,184,46845,184,105.14940239043824,NaN
1500000,0,0,0,46525,46525,9180,0,5591,5591,114,9177,114,29.60120240480962,NaN
1600000,0,0,0,46365,46365,582878,0,8516,8516,101,581888,101,1187.5381526104418,NaN
1700000,0,0,0,45259,45259,41583,0,6763,6763,87,42310,87,97.27565392354124,NaN
1800000,0,0,0,45057,45057,8772,0,5620,5620,71,8769,71,29.016129032258064,NaN
1900000,0,0,0,44843,44843,546990,0,8322,8322,149,545950,149,1119.5806451612902,NaN
2000000,0,0,0,44575,44575,43831,0,6679,6679,78,44607,78,102.04040404040404,NaN
2100000,0,0,0,44227,44227,10274,0,5650,5650,149,10272,149,31.97590361445783,NaN
2200000,0,0,0,44346,44346,549165,0,8065,8065,122,548371,122,1121.1871227364186,NaN
2300000,0,0,0,44330,44330,43385,0,6479,6479,104,43985,104,100.53225806451613,NaN
2400000,0,0,0,43676,43676,11774,0,5574,5574,236,11772,236,34.905432595573444,NaN
2500000,0,0,0,43573,43573,499163,0,7731,7731,92,498466,92,1021.9637096774194,NaN
2600000,0,0,0,43431,43431,40556,0,6739,6739,177,41041,177,95.16096579476861,NaN
2700000,0,0,0,43587,43587,10948,0,5802,5802,174,10946,174,33.5,NaN
2800000,0,0,0,43997,43995,510011,0,7647,7647,52,509183,52,1041.5653923541247,NaN
2900000,0,0,0,43151,43150,45407,0,6428,6428,157,46054,157,104.92914979757084,NaN
3000000,0,0,0,42473,42473,13320,0,5466,5466,91,13316,91,38.105476673427994,NaN
3100000,0,0,0,42523,42523,486310,0,7423,7423,125,485420,125,999.4595141700405,NaN
3200000,0,0,0,41909,41906,45835,0,6158,6158,156,46480,156,105.89205702647658,NaN
3300000,0,0,0,41208,41208,12860,0,5373,5373,154,12857,154,37.0589430894309,NaN
3400000,0,0,0,41098,41098,471923,0,7172,7172,146,471215,144,967.8686868686868,NaN
3500000,0,0,0,41277,41277,44902,0,6093,6093,49,45417,51,103.64837398373983,NaN
