time,MSG_EMPTY,MSG_STORE,MSG_INIT_FIND,MSG_FIND,MSG_RESPONSE,MSG_REGISTER,MSG_INIT_REGISTER,MSG_TICKET_REQUEST,MSG_TICKET_RESPONSE,MSG_TOPIC_QUERY,MSG_REGISTER_RESPONSE,MSG_TOPIC_QUERY_REPLY,regToGoodNodes,regToEvilNodes
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,NaN
100000,0,0,0,110042,110042,79648,0,97593,97555,787,79629,787,176.53486055776892,NaN
200000,0,0,0,112200,112200,17514,0,46580,46593,576,17527,576,63.83864541832669,NaN
300000,0,0,0,109797,109797,1936,0,28716,28741,350,1942,350,30.590818363273453,NaN
400000,0,0,0,108716,108716,4530355,0,76472,76466,8134,4529228,8124,4570.264880952381,NaN
500000,0,0,0,109005,109005,216759,0,19127,19132,7409,216897,7417,233.55049504950495,NaN
600000,0,0,0,109225,109225,11810,0,1853,1853,7473,11828,7470,13.527722772277228,NaN
700000,0,0,0,108381,108381,4650444,0,72354,72353,347,4649043,345,4666.796442687747,NaN
800000,0,0,0,108593,108593,243210,0,19155,19155,414,243318,421,258.2332677165354,NaN
900000,0,0,0,108649,108649,15233,0,1854,1854,304,15219,304,16.81791338582677,NaN
1000000,0,0,0,108095,108095,4612452,0,69776,69776,401,4611236,401,4585.923604309501,NaN
1100000,0,0,0,108343,108343,226767,0,18608,18606,214,226826,214,240.79980372914622,NaN
1200000,0,0,0,107645,107643,14535,0,1891,1891,233,14516,233,16.151425762045232,NaN
1300000,0,0,0,106469,106469,4448818,0,66931,66930,262,4447126,262,4431.549558390579,NaN
1400000,0,0,0,107087,107083,214769,0,19365,19365,333,214842,333,228.86999022482894,NaN
1500000,0,0,0,106281,106281,17208,0,2555,2555,416,17185,416,19.280975609756098,NaN
1600000,0,0,0,105644,105644,4341639,0,63780,63779,177,4340350,177,4314.808031341821,NaN
1700000,0,0,0,103787,103787,209883,0,19280,19280,154,209864,154,226.22211253701875,NaN
1800000,0,0,0,103080,103080,17212,0,2515,2515,139,17186,139,19.58987090367428,NaN
1900000,0,0,0,101564,101564,4011234,0,61106,61106,216,4009247,216,4048.051689860835,NaN
2000000,0,0,0,101222,101222,193734,0,19979,19979,165,193728,165,213.713,NaN
2100000,0,0,0,100152,100152,18036,0,3027,3027,260,18007,260,21.063,NaN
2200000,0,0,0,99725,99725,3917807,0,58649,58649,331,3916482,331,3968.5189620758483,NaN
2300000,0,0,0,99439,99438,204705,0,20333,20329,432,204714,432,223.6958250497018,NaN
2400000,0,0,0,99592,99592,21924,0,3635,3635,403,21902,403,25.356150793650794,NaN
2500000,0,0,0,99484,99484,3954508,0,56530,56529,170,3953349,165,3987.1153081510934,NaN
2600000,0,0,0,99304,99304,224890,0,19728,19721,247,224945,250,243.1590457256461,NaN
2700000,0,0,0,98416,98416,26670,0,3463,3470,164,26629,166,30.133,NaN
2800000,0,0,0,96167,96167,3871445,0,54580,54580,87,3869762,87,3953.7009063444107,NaN
2900000,0,0,0,94872,94872,222478,0,19291,19289,141,222458,141,244.9533941236069,NaN
3000000,0,0,0,94113,94113,27725,0,3858,3858,181,27671,181,32.19469928644241,NaN
3100000,0,0,0,92994,92994,3718335,0,52268,52268,249,3716669,249,3843.632008154944,NaN
3200000,0,0,0,92895,92895,217939,0,19645,19645,278,217974,278,241.69277721261446,NaN
3300000,0,0,0,92246,92242,28885,0,4010,4010,194,28844,194,33.53211009174312,NaN
3400000,0,0,0,91614,91614,3628311,0,50223,50221,292,3626905,285,3742.1505595116987,NaN
3500000,0,0,0,91490,91489,210297,0,20080,20081,157,210342,164,236.28410256410257,NaN
