time,t1-normal,t1-evil,t2-normal,t2-evil,t3-normal,t3-evil,t4-normal,t4-evil,t5-normal,t5-evil
100000,23559,0,26920,0,14981,0,8823,0,4600,0
200000,27215,0,33898,0,18146,0,11331,0,5409,0
300000,27589,0,34762,0,18499,0,11598,0,5486,0
400000,27264,0,27863,0,19275,0,14276,0,9193,0
500000,28770,0,25156,0,18916,0,13862,0,9480,0
600000,28662,0,24612,0,18752,0,13755,0,9446,0
700000,27441,0,25026,0,18859,0,13625,0,9511,0
800000,27488,0,24951,0,18694,0,13722,0,9572,0
900000,27527,0,24884,0,18648,0,13699,0,9588,0
1000000,27222,0,24149,0,18162,0,13792,0,9811,0
1100000,27432,0,23919,0,18253,0,13730,0,9807,0
1200000,27458,0,23932,0,18263,0,13757,0,9833,0
1300000,27353,0,23693,0,17933,0,13585,0,9775,0
1400000,27908,0,23600,0,18129,0,13785,0,9795,0
1500000,27986,0,23652,0,18176,0,13815,0,9848,0
1600000,27826,0,23128,0,18082,0,13851,0,9494,0
1700000,27918,0,23613,0,17815,0,13875,0,9500,0
1800000,27957,0,23680,0,17821,0,13923,0,9494,0
1900000,27346,0,24064,0,17496,0,13672,0,9483,0
2000000,27217,0,24317,0,17904,0,13714,0,9580,0
2100000,27339,0,24352,0,17981,0,13737,0,9587,0
2200000,26543,0,24530,0,17692,0,13733,0,9350,0
2300000,26719,0,24540,0,17782,0,13961,0,9489,0
2400000,26931,0,24661,0,17832,0,14032,0,9555,0
2500000,26965,0,24129,0,17967,0,13644,0,9546,0
2600000,27016,0,24346,0,18008,0,13421,0,9510,0
2700000,27185,0,24345,0,18003,0,13458,0,9527,0
2800000,27467,0,24583,0,17951,0,13320,0,9337,0
2900000,27822,0,24372,0,17775,0,13581,0,9388,0
3000000,27862,0,24470,0,17810,0,13585,0,9384,0
3100000,27500,0,24272,0,17830,0,13701,0,9192,0
3200000,27360,0,24585,0,17902,0,13852,0,9213,0
3300000,27485,0,24704,0,17969,0,13862,0,9227,0
3400000,27821,0,24934,0,17666,0,13461,0,9034,0
3500000,28189,0,25109,0,17889,0,13348,0,9119,0
