time,MSG_EMPTY,MSG_STORE,MSG_INIT_FIND,MSG_FIND,MSG_RESPONSE,MSG_REGISTER,MSG_INIT_REGISTER,MSG_TICKET_REQUEST,MSG_TICKET_RESPONSE,MSG_TOPIC_QUERY,MSG_REGISTER_RESPONSE,MSG_TOPIC_QUERY_REPLY,regToGoodNodes,regToEvilNodes
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,NaN
100000,0,0,0,251930,251930,160406,0,205376,205275,2174,160389,2174,181.98109452736318,NaN
200000,0,0,0,256114,256111,31846,0,92940,93000,506,31853,506,62.02087475149106,NaN
300000,0,0,0,251249,251249,4690,0,59526,59543,651,4700,645,31.916500994035786,NaN
400000,0,0,0,248778,248775,8990620,0,151408,151391,14844,8988350,14829,4539.239324726912,NaN
500000,0,0,0,245761,245758,380384,0,34875,34906,14055,380584,14069,206.08387096774194,NaN
600000,0,0,0,246900,246899,14921,0,4767,4768,13536,14930,13535,9.761031234506692,NaN
700000,0,0,0,243952,243952,8949600,0,145747,145747,490,8946129,498,4513.819851116626,NaN
800000,0,0,0,239547,239546,408722,0,33127,33123,519,408907,519,219.71606166086525,NaN
900000,0,0,0,239245,239238,22495,0,5003,5004,654,22471,654,13.660208643815201,NaN
1000000,0,0,0,238196,238190,8677321,0,140208,140204,664,8673917,664,4373.774305555556,NaN
1100000,0,0,0,237311,237311,386849,0,31772,31771,517,386982,517,207.64930555555554,NaN
1200000,0,0,0,235959,235959,19822,0,4745,4744,523,19810,512,12.186011904761905,NaN
1300000,0,0,0,236277,236277,8680769,0,133422,133422,713,8677413,724,4367.785431119921,NaN
1400000,0,0,0,234358,234358,388465,0,32465,32465,579,388572,579,208.6911254338126,NaN
1500000,0,0,0,234379,234379,25530,0,5205,5205,575,25511,575,15.237977193852256,NaN
1600000,0,0,0,233975,233975,8560168,0,128463,128463,768,8557083,768,4278.006400787789,NaN
1700000,0,0,0,235380,235375,370604,0,32849,32845,797,370737,796,197.8680725846003,NaN
1800000,0,0,0,235347,235347,23016,0,5843,5845,628,23008,629,14.111980440097799,NaN
1900000,0,0,0,234284,234277,8479049,0,125719,125714,581,8476612,581,4222.162904808636,NaN
2000000,0,0,0,232450,232447,356599,0,35023,35023,799,356675,799,191.5958904109589,NaN
2100000,0,0,0,232789,232789,45560,0,6514,6514,559,45520,553,25.4267578125,NaN
2200000,0,0,0,231291,231291,8359723,0,122356,122315,439,8356884,444,4149.745107632094,NaN
2300000,0,0,0,229078,229076,353179,0,34108,34146,499,353224,500,189.5677924620656,NaN
2400000,0,0,0,226877,226875,52030,0,6331,6330,411,51960,411,28.67862407862408,NaN
2500000,0,0,0,225245,225245,8099852,0,117144,117144,604,8096279,604,4053.772076961026,NaN
2600000,0,0,0,222908,222908,365648,0,34202,34199,524,365628,523,197.26196349284658,NaN
2700000,0,0,0,220974,220974,63421,0,7424,7426,221,63323,222,35.193740685543965,NaN
2800000,0,0,0,216776,216775,7880754,0,112543,112537,619,7877313,619,3968.866434955313,NaN
2900000,0,0,0,216662,216659,387498,0,35471,35471,583,387450,573,210.01439920556106,NaN
3000000,0,0,0,215441,215441,73398,0,7733,7733,398,73332,408,40.403884462151396,NaN
3100000,0,0,0,214059,214059,7780281,0,107375,107374,677,7777120,677,3932.031904287139,NaN
3200000,0,0,0,212029,212029,388921,0,35115,35114,584,388835,584,211.70044932601098,NaN
3300000,0,0,0,210228,210228,79357,0,7833,7833,347,79269,347,43.70426065162907,NaN
3400000,0,0,0,208720,208720,7628777,0,102972,102971,576,7625437,576,3879.4525840441547,NaN
3500000,0,0,0,207462,207461,344818,0,35926,35926,497,344751,497,191.4248366013072,NaN
