time,t1_wait,t2_wait,t3_wait,t4_wait,t5_wait,t1_cumWait,t2_cumWait,t3_cumWait,t4_cumWait,t5_cumWait,t1_reject,t2_reject,t3_reject,t4_reject,t5_reject
100000,1493.7931335081998,1318.9609620721553,1175.363416340235,925.631286534758,882.9526252263126,201.0,201.0,201.0,201.0,201.0,24504,28242,12513,7431,4283
200000,1442.0309045226131,1307.7621057187687,1680.5349063488202,1689.7841584158416,2073.370127025843,201.0,201.0,201.0,201.0,201.0,4862,5487,2507,1781,646
300000,533.5818723122726,229.40591345212454,110.08016235413496,171.16277518345564,271.0670194003527,201.0,201.0,201.0,201.0,201.0,1533,1791,769,618,220
400000,3680.217456601145,3950.3552386639208,4067.630499458296,2948.678132552798,3184.431726447628,94881.42861459435,93265.09229796649,66433.49852478363,61757.02229299363,46906.68386816999,45649,39008,27896,16708,11917
500000,28575.363401999915,20515.360890243544,15395.79243383521,25173.159874318455,14109.276315789473,50874.80879084698,36708.433555715834,27095.695913646876,26701.160420897177,21031.59004278491,3937,2913,1297,923,419
600000,23264.632557512236,16748.084562192784,15512.457165313073,13065.237253168287,12025.384615384615,76144.85765336509,52945.988450433106,40499.43710021322,43863.29812206573,37744.360544217685,637,694,325,237,88
700000,3258.70215231271,3939.943543104144,4065.8547150295226,2918.558719730505,3136.811780603879,147924.4854260846,150516.0826284662,106574.7546872418,94956.6558996559,72982.8668029794,36052,35905,23323,15061,10822
800000,23750.32974349595,21875.61621991225,16036.94985421209,26041.49904499541,14040.567271352986,75349.25544018058,36037.26835443038,22476.555175224123,24485.704149377594,17056.28364389234,3661,2473,1249,820,357
900000,22204.90415350615,18432.36476599698,16983.062784349408,18371.729959040375,13251.572660098522,90018.70903426791,42371.354298903636,36841.41203703704,32026.977746870652,26283.902597402597,546,555,222,154,72
1000000,3301.5740707979962,3988.579089823102,4187.553895303025,3006.658665084982,3205.2798968668917,175798.53541970561,179147.40807710917,126043.7978523525,108913.62209340089,82739.31622108817,35091,34875,22621,14466,9799
1100000,23060.377196348698,22988.2525435436,16478.69844138912,28213.45986069238,13526.329997957933,80062.33190845134,32154.729866494403,18667.40450950698,21828.459304703476,14285.767423014586,3524,2360,1253,836,386
1200000,22207.680880459968,14698.071274068296,16476.918285538082,19122.910913872453,15280.434489402698,96805.17208752218,37264.5174563591,30133.572077185017,30996.052845528455,33253.84659090909,622,504,216,151,81
1300000,3346.39016625344,4047.1042635961953,4237.1962172676585,3053.993533366028,3265.3961089389513,194894.62963840706,198221.75725355567,137385.49542564322,119660.81778510635,88674.97350123187,34135,34423,22121,14035,9178
1400000,25508.70617120083,22705.750780883165,16984.803662788803,28879.453155971627,14042.962338837367,80567.15852979395,27253.772644830897,15983.325958702066,18360.140736342044,13375.146098726114,3488,2341,1212,815,408
1500000,22329.196209697267,13687.049372529455,16064.640162145308,20182.345242718446,11486.139510117146,102989.16316088686,38384.13127187864,24322.357421875,26554.923787528867,26027.390745501285,634,535,281,152,95
1600000,3397.730096945876,4096.935259207853,4316.829860362181,3073.890439839777,3293.5513157501337,209337.40432497792,214073.8460803545,144118.29461548067,128143.45274448168,96157.98927267622,33595,33500,21609,13444,8879
