time,t1-normal,t1-evil,t2-normal,t2-evil,t3-normal,t3-evil,t4-normal,t4-evil,t5-normal,t5-evil
100000,117901,0,128281,0,64794,0,52671,0,22899,0
200000,137348,0,161533,0,79382,0,63378,0,27069,0
300000,140686,0,167749,0,82011,0,65422,0,27915,0
400000,139513,0,134398,0,89771,0,71374,0,44353,0
500000,142803,0,121156,0,87996,0,70863,0,45259,0
600000,141624,0,117272,0,86682,0,69913,0,44801,0
700000,135172,0,117168,0,86021,0,69818,0,45778,0
800000,135188,0,116033,0,84862,0,69639,0,45868,0
900000,135275,0,116056,0,84782,0,69523,0,45859,0
1000000,130691,0,115582,0,84882,0,69122,0,45781,0
1100000,131087,0,114972,0,85062,0,68983,0,45998,0
1200000,131610,0,114797,0,85147,0,69091,0,46111,0
1300000,129111,0,113860,0,83727,0,68186,0,45990,0
1400000,129476,0,114377,0,83923,0,68522,0,46078,0
1500000,130044,0,114513,0,84067,0,68749,0,46232,0
1600000,126852,0,114765,0,83100,0,67287,0,44880,0
1700000,127194,0,114941,0,83452,0,67399,0,45043,0
1800000,127760,0,115379,0,83702,0,67596,0,45151,0
1900000,126600,0,114339,0,82462,0,66508,0,44715,0
2000000,126551,0,115043,0,82487,0,67403,0,45003,0
2100000,126787,0,115289,0,82585,0,67559,0,45142,0
2200000,124174,0,114188,0,82267,0,67923,0,44950,0
2300000,125005,0,113982,0,82841,0,68311,0,45064,0
2400000,125448,0,114363,0,83166,0,68483,0,45127,0
2500000,124324,0,112707,0,82387,0,67476,0,44297,0
2600000,125385,0,112698,0,82731,0,67853,0,44365,0
2700000,125996,0,113157,0,83009,0,68284,0,44515,0
2800000,125221,0,112405,0,82271,0,67897,0,44231,0
2900000,125143,0,112657,0,82426,0,68124,0,44451,0
3000000,125381,0,112803,0,82543,0,68218,0,44456,0
3100000,123689,0,112855,0,81704,0,67314,0,43526,0
3200000,124136,0,113462,0,81974,0,67185,0,43481,0
3300000,125043,0,114134,0,82480,0,67625,0,43772,0
3400000,124107,0,114007,0,82051,0,66356,0,44548,0
3500000,124621,0,114934,0,82667,0,66607,0,44982,0
