time,t1-normal,t1-evil,t2-normal,t2-evil,t3-normal,t3-evil,t4-normal,t4-evil,t5-normal,t5-evil
100000,3532,0,3721,0,1451,0,1272,0,320,0
200000,5533,0,5850,0,2765,0,2000,0,882,0
300000,7273,0,7719,0,3768,0,2631,0,1272,0
400000,7276,0,7522,0,3810,0,2544,0,1293,0
500000,7301,0,7589,0,3748,0,2552,0,1266,0
600000,7329,0,7582,0,3800,0,2546,0,1296,0
700000,7375,0,7656,0,3846,0,2521,0,1313,0
800000,7348,0,7673,0,3793,0,2537,0,1287,0
900000,7386,0,7676,0,3806,0,2560,0,1307,0
1000000,7436,0,7736,0,3838,0,2573,0,1326,0
1100000,7446,0,7749,0,3878,0,2587,0,1304,0
1200000,7460,0,7826,0,3936,0,2612,0,1330,0
1300000,7515,0,7751,0,3956,0,2655,0,1347,0
1400000,7512,0,7778,0,3975,0,2648,0,1358,0
1500000,7521,0,7838,0,3992,0,2649,0,1337,0
1600000,7590,0,7881,0,3976,0,2601,0,1331,0
1700000,7634,0,7896,0,3955,0,2616,0,1330,0
1800000,7652,0,7936,0,3983,0,2631,0,1317,0
1900000,7643,0,7943,0,4012,0,2659,0,1325,0
2000000,7640,0,7963,0,3970,0,2664,0,1321,0
2100000,7632,0,7958,0,4023,0,2693,0,1330,0
2200000,7738,0,7947,0,4022,0,2708,0,1343,0
2300000,7805,0,8007,0,4019,0,2742,0,1340,0
2400000,7877,0,8080,0,4059,0,2775,0,1378,0
2500000,7849,0,8084,0,4081,0,2805,0,1383,0
2600000,7836,0,8089,0,4040,0,2846,0,1383,0
2700000,7791,0,8104,0,4037,0,2862,0,1360,0
2800000,7905,0,8127,0,4044,0,2869,0,1379,0
2900000,7951,0,8163,0,4084,0,2928,0,1428,0
3000000,7944,0,8254,0,4112,0,2932,0,1442,0
3100000,8021,0,8232,0,4156,0,2931,0,1458,0
3200000,8046,0,8277,0,4195,0,2928,0,1449,0
3300000,8096,0,8218,0,4143,0,2941,0,1454,0
3400000,8114,0,8271,0,4221,0,2929,0,1446,0
3500000,8132,0,8298,0,4223,0,2934,0,1454,0
