host,topic,registrant,timestamp
389213935854642737518965163996528688860810306473210283241451512658429313685,t4,40340895216168602610398117741569583195376071113168945680693625678234849177156,539301
389213935854642737518965163996528688860810306473210283241451512658429313685,t4,14691811942315438863728556600013792654275482970996556434816153658191339990690,614301
389213935854642737518965163996528688860810306473210283241451512658429313685,t4,23432830464149771664065986415230801928039885499467267280352837456348130694916,635301
389213935854642737518965163996528688860810306473210283241451512658429313685,t4,23323267422886751502866661905305571372066556567736316412710675621318595370420,715301
389213935854642737518965163996528688860810306473210283241451512658429313685,t5,79625108176405800400945213854744923322745801691311217741801529706728708208450,783301
389213935854642737518965163996528688860810306473210283241451512658429313685,t1,15719546736641090262313042004265633083614845071829113582292014322804968383764,550501
389213935854642737518965163996528688860810306473210283241451512658429313685,t1,106458810849253586582571650453994038399529029184177250725643552352099144116025,570301
389213935854642737518965163996528688860810306473210283241451512658429313685,t1,80828337239348949656730197977392546504387418193055434436149136945265022842457,570501
389213935854642737518965163996528688860810306473210283241451512658429313685,t1,14691811942315438863728556600013792654275482970996556434816153658191339990690,574301
389213935854642737518965163996528688860810306473210283241451512658429313685,t1,44904192984979027307649940986405076632111130112656636322953696700146208543721,610501
389213935854642737518965163996528688860810306473210283241451512658429313685,t1,32974260438803602151864735018648939608505940533267277605723346160354104445198,630501
389213935854642737518965163996528688860810306473210283241451512658429313685,t2,49564538641286077605858431792947926170743254372010838860053203398294888577939,506193
389213935854642737518965163996528688860810306473210283241451512658429313685,t2,33518826015520426998624719830987498247261214514752618514328305682623078465141,512501
389213935854642737518965163996528688860810306473210283241451512658429313685,t2,51904454544142738542279755725561544578820078070531290652177181674018635631156,514301
389213935854642737518965163996528688860810306473210283241451512658429313685,t2,98323212828001070646692338503619226330865728839612409577470420652614911714927,515240
389213935854642737518965163996528688860810306473210283241451512658429313685,t2,83021494825386156679235566901373338798638784042989519452204780802304063053526,533301
389213935854642737518965163996528688860810306473210283241451512658429313685,t2,52211111086881087356456947140556126635364086931353257177972480262493427884125,534501
389213935854642737518965163996528688860810306473210283241451512658429313685,t2,52059778306966170035694492237790876224050752579060688588786076695995242221979,558301
389213935854642737518965163996528688860810306473210283241451512658429313685,t2,55300789542585989239368225733502601717068861405777208805342206514363155552624,566501
389213935854642737518965163996528688860810306473210283241451512658429313685,t2,96979386583937243679114723939737749804740879895281045158795362865550132000085,588501
389213935854642737518965163996528688860810306473210283241451512658429313685,t2,22149577338079080234437900539553400631755922855106732989727836464590685053839,594035
389213935854642737518965163996528688860810306473210283241451512658429313685,t2,20395001627716586153438220465125938523230821484393861338080994261306788044640,597301
389213935854642737518965163996528688860810306473210283241451512658429313685,t2,88459118067436379298271137100515455803880081982573996710952218531445464036948,599301
