time,MSG_EMPTY,MSG_STORE,MSG_INIT_FIND,MSG_FIND,MSG_RESPONSE,MSG_REGISTER,MSG_INIT_REGISTER,MSG_TICKET_REQUEST,MSG_TICKET_RESPONSE,MSG_TOPIC_QUERY,MSG_REGISTER_RESPONSE,MSG_TOPIC_QUERY_REPLY,regToGoodNodes,regToEvilNodes
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,NaN
100000,0,0,0,49735,49735,10334,0,12400,12345,23908,10307,23908,45.55911823647295,NaN
200000,0,0,0,49410,49410,6711,0,11748,11779,40,6738,40,37.3663967611336,NaN
300000,0,0,0,47882,47882,5634,0,10848,10872,94,5634,94,33.568228105906314,NaN
400000,0,0,0,47532,47532,637629,0,9947,9941,4464,637173,4454,1316.2113821138212,NaN
500000,0,0,0,47408,47408,45323,0,6762,6761,4503,45575,4501,106.07942973523421,NaN
600000,0,0,0,47438,47438,11429,0,5983,5990,4209,11425,4221,35.390243902439025,NaN
700000,0,0,0,46830,46830,612652,0,9106,9106,232,612110,232,1261.1724137931035,NaN
800000,0,0,0,46930,46930,43737,0,6849,6849,144,44023,144,102.8170731707317,NaN
900000,0,0,0,46416,46416,10386,0,5862,5862,348,10385,348,32.82424242424243,NaN
1000000,0,0,0,46740,46740,595734,0,8951,8951,347,595264,347,1209.37,NaN
1100000,0,0,0,47220,47220,38944,0,7041,7041,243,39225,243,91.42147117296223,NaN
1200000,0,0,0,47017,47017,11863,0,6114,6114,268,11860,268,35.810756972111555,NaN
1300000,0,0,0,47230,47230,598544,0,8995,8995,184,597990,184,1207.831013916501,NaN
1400000,0,0,0,46902,46902,45411,0,6851,6851,143,45775,143,104.10756972111554,NaN
1500000,0,0,0,46887,46887,11244,0,5981,5981,186,11243,186,34.24453280318092,NaN
1600000,0,0,0,46575,46575,605337,0,8695,8695,189,604758,181,1213.501976284585,NaN
1700000,0,0,0,46801,46801,45200,0,6831,6830,251,45565,257,102.22200392927309,NaN
1800000,0,0,0,47050,47050,11380,0,5931,5931,89,11375,91,34.21146245059288,NaN
1900000,0,0,0,46098,46098,591477,0,8407,8407,76,590868,76,1194.988047808765,NaN
2000000,0,0,0,45647,45647,43471,0,6633,6633,170,43810,170,100.40881763527054,NaN
2100000,0,0,0,46033,46033,13500,0,6129,6129,322,13499,322,38.94642857142857,NaN
2200000,0,0,0,46030,46030,604395,0,8533,8533,238,603810,238,1213.7188118811882,NaN
2300000,0,0,0,45754,45754,48286,0,6816,6816,267,48679,267,108.46850393700787,NaN
2400000,0,0,0,46088,46088,16398,0,6239,6239,260,16397,260,44.29941291585127,NaN
2500000,0,0,0,46046,46046,572928,0,8583,8583,160,572371,160,1140.2176470588236,NaN
2600000,0,0,0,46059,46059,48762,0,6680,6680,195,49173,195,108.49706457925636,NaN
2700000,0,0,0,45515,45515,18389,0,6077,6077,63,18382,63,48.161417322834644,NaN
2800000,0,0,0,45116,45116,569323,0,8412,8412,260,568668,260,1135.0392927308449,NaN
2900000,0,0,0,45172,45172,57230,0,6604,6604,400,57639,400,125.16470588235295,NaN
3000000,0,0,0,44909,44908,18960,0,6073,6073,206,18948,206,49.18074656188605,NaN
3100000,0,0,0,45540,45540,561550,0,8319,8319,155,560937,155,1117.3901960784315,NaN
3200000,0,0,0,44727,44727,58354,0,6507,6507,89,58758,89,127.93096646942801,NaN
3300000,0,0,0,44161,44161,26509,0,5889,5888,243,26495,243,64.28174603174604,NaN
3400000,0,0,0,44089,44089,559206,0,8250,8250,194,558542,194,1123.6752475247524,NaN
3500000,0,0,0,44239,44236,66682,0,6446,6446,139,67090,139,145.67330677290838,NaN
