time,t1-normal,t1-evil,t2-normal,t2-evil,t3-normal,t3-evil,t4-normal,t4-evil,t5-normal,t5-evil
100000,6660,0,6335,0,3468,0,2295,0,1256,0
200000,11155,0,11190,0,5845,0,3783,0,2270,0
300000,15118,0,15402,0,8066,0,5365,0,2959,0
400000,15101,0,15237,0,7958,0,5449,0,3021,0
500000,15092,0,15228,0,7994,0,5466,0,3019,0
600000,15053,0,15244,0,7971,0,5414,0,3062,0
700000,15195,0,15228,0,8019,0,5503,0,3067,0
800000,15194,0,15247,0,8066,0,5541,0,3061,0
900000,15209,0,15286,0,8038,0,5498,0,3061,0
1000000,15356,0,15348,0,8091,0,5560,0,3081,0
1100000,15442,0,15419,0,8034,0,5617,0,3125,0
1200000,15367,0,15443,0,8047,0,5618,0,3193,0
1300000,15293,0,15408,0,8004,0,5655,0,3226,0
1400000,15316,0,15522,0,8008,0,5648,0,3198,0
1500000,15267,0,15521,0,7995,0,5652,0,3211,0
1600000,15324,0,15585,0,8020,0,5661,0,3241,0
1700000,15382,0,15550,0,8066,0,5633,0,3278,0
1800000,15359,0,15552,0,8045,0,5635,0,3277,0
1900000,15415,0,15620,0,8114,0,5724,0,3279,0
2000000,15395,0,15661,0,8059,0,5686,0,3268,0
2100000,15409,0,15736,0,8088,0,5732,0,3300,0
2200000,15490,0,15748,0,8075,0,5733,0,3291,0
2300000,15584,0,15748,0,8191,0,5729,0,3265,0
2400000,15596,0,15762,0,8149,0,5711,0,3294,0
2500000,15680,0,15822,0,8142,0,5795,0,3292,0
2600000,15731,0,15852,0,8178,0,5774,0,3308,0
2700000,15708,0,15865,0,8193,0,5734,0,3286,0
2800000,15736,0,15974,0,8230,0,5801,0,3301,0
2900000,15834,0,15887,0,8257,0,5844,0,3322,0
3000000,15887,0,16028,0,8318,0,5836,0,3312,0
3100000,15903,0,16023,0,8386,0,5871,0,3340,0
3200000,15921,0,16069,0,8390,0,5902,0,3351,0
3300000,15954,0,16027,0,8334,0,5873,0,3352,0
3400000,15916,0,16017,0,8456,0,5889,0,3363,0
3500000,15895,0,16056,0,8448,0,5921,0,3392,0
