host,topic,registrant,timestamp
40534682050617350182049132342094420675926571350178116084498004596088895648,t5,84812317166285464621668042458912739618617518809928233672248212834326335697874,80466
40534682050617350182049132342094420675926571350178116084498004596088895648,t1,48587603823844714425543621908507668418715467852174726936767601937034833158628,22962
40534682050617350182049132342094420675926571350178116084498004596088895648,t1,84812317166285464621668042458912739618617518809928233672248212834326335697874,57575
40534682050617350182049132342094420675926571350178116084498004596088895648,t1,50254541956026242278444533538050471749670445494373029516230584495365782904598,59461
40534682050617350182049132342094420675926571350178116084498004596088895648,t1,108525456305586131284255693003017736563061120000421325017734990106118144018761,59547
40534682050617350182049132342094420675926571350178116084498004596088895648,t3,84812317166285464621668042458912739618617518809928233672248212834326335697874,87743
84289508172603297146724169583735831579071803382913624138097833979230680883,t1,42132892860033482140634268563299905754909249201756564373614287289546071630080,38397
84289508172603297146724169583735831579071803382913624138097833979230680883,t1,84595477329267861904242750946388609092466721635761772212703784614574135026045,56160
84289508172603297146724169583735831579071803382913624138097833979230680883,t2,62678598995707534941500348485570089732522905379090861455892762324695936669007,29507
84289508172603297146724169583735831579071803382913624138097833979230680883,t2,65389140590387488833178752310016390773748633410979252588532741335161234747137,62147
84289508172603297146724169583735831579071803382913624138097833979230680883,t3,62678598995707534941500348485570089732522905379090861455892762324695936669007,44364
165905294335721072599325068137650275699581097438474290702775703557342704311,t1,24352043099990544710412943754649985522718094979958092639873059303609451616508,13577
165905294335721072599325068137650275699581097438474290702775703557342704311,t1,89890382484015807814093813645298437096948879120537426277181345130515074564942,45429
165905294335721072599325068137650275699581097438474290702775703557342704311,t1,80625456676701545719474320541195198535050389330935127294782864910371768063163,49652
165905294335721072599325068137650275699581097438474290702775703557342704311,t1,59758491732991730805051278054515000539002004688960729099995048729349726684059,55657
165905294335721072599325068137650275699581097438474290702775703557342704311,t1,87253593419199862052239795283072159006116279631498868775707613652661370527710,60559
165905294335721072599325068137650275699581097438474290702775703557342704311,t1,59369882864870039279953507999968002350377386158958024206863683796835472345148,75706
165905294335721072599325068137650275699581097438474290702775703557342704311,t1,77696103719680410523900950489124250483005593234970196934949632609671415823451,77668
165905294335721072599325068137650275699581097438474290702775703557342704311,t3,87253593419199862052239795283072159006116279631498868775707613652661370527710,96432
210752575186832947719182416143133047523635259988410832241261594318875484869,t4,59614421009769580551626541326573146086945064219403638350886408086645538580231,75836
210752575186832947719182416143133047523635259988410832241261594318875484869,t1,23365906556516042641494477068166964567205277599448191806668255209313035721698,2405
210752575186832947719182416143133047523635259988410832241261594318875484869,t1,109977214524667033575298664874107773256254193541441860772815173917370363574478,3409
210752575186832947719182416143133047523635259988410832241261594318875484869,t1,101230348798996496131138140174003138689659329399015591536968182018335572281343,23147
210752575186832947719182416143133047523635259988410832241261594318875484869,t1,96518710422900269066510718377832156478972445120530725588060879520758061446259,24386
210752575186832947719182416143133047523635259988410832241261594318875484869,t1,41753859297520937291103956225750233105196452500633059985590297112833654910138,36309
210752575186832947719182416143133047523635259988410832241261594318875484869,t1,110031278916403342694496081932899996726763895905299292315436330990091377682794,43798
210752575186832947719182416143133047523635259988410832241261594318875484869,t1,70174344542161611159124629710927419669087388669093075162344714592182710029878,50701
210752575186832947719182416143133047523635259988410832241261594318875484869,t1,93130541240577998754307616798357299850169337388128714959844107968850067958032,50868
210752575186832947719182416143133047523635259988410832241261594318875484869,t1,68292379923342750418380390577706414654484094296226688269736842985301422285195,52527
210752575186832947719182416143133047523635259988410832241261594318875484869,t1,23253300945759801113647353318189997475781283098414085111838194152042329988212,59174
210752575186832947719182416143133047523635259988410832241261594318875484869,t1,59614421009769580551626541326573146086945064219403638350886408086645538580231,60697
210752575186832947719182416143133047523635259988410832241261594318875484869,t1,60329249311658655393449527329462065245488239403878411943198408169730483961551,70591
210752575186832947719182416143133047523635259988410832241261594318875484869,t1,49929371308750413524586362701098828980344295005665014269297140562735227320938,86878
