time,MSG_EMPTY,MSG_STORE,MSG_INIT_FIND,MSG_FIND,MSG_RESPONSE,MSG_REGISTER,MSG_INIT_REGISTER,MSG_TICKET_REQUEST,MSG_TICKET_RESPONSE,MSG_TOPIC_QUERY,MSG_REGISTER_RESPONSE,MSG_TOPIC_QUERY_REPLY,regToGoodNodes,regToEvilNodes
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,NaN
100000,0,0,0,113987,113987,20073,0,25917,25866,1176,20028,1176,45.80677290836653,NaN
200000,0,0,0,113685,113685,14223,0,26528,26551,570,14242,570,40.347524752475245,NaN
300000,0,0,0,111006,111006,12642,0,27302,27330,397,12668,397,39.54851485148515,NaN
400000,0,0,0,109850,109850,1706859,0,19448,19448,8800,1704693,8790,1712.6061507936508,NaN
500000,0,0,0,108760,108760,162267,0,14789,14789,9065,163949,9072,175.65079365079364,NaN
600000,0,0,0,107901,107901,22283,0,13265,13265,9398,22301,9400,35.126482213438734,NaN
700000,0,0,0,108321,108321,1602310,0,17664,17664,405,1600078,406,1600.7648221343873,NaN
800000,0,0,0,106915,106915,220539,0,15212,15209,281,222143,279,233.4168316831683,NaN
900000,0,0,0,106442,106442,40992,0,12883,12883,282,40977,284,53.34158415841584,NaN
1000000,0,0,0,106691,106691,1558875,0,17786,17786,450,1556532,450,1553.3605911330048,NaN
1100000,0,0,0,106756,106756,222368,0,15120,15120,525,224100,525,233.51819075712882,NaN
1200000,0,0,0,105964,105963,58811,0,12650,12650,258,58786,258,70.54392892398815,NaN
1300000,0,0,0,104365,104365,1523114,0,17397,17396,93,1520647,93,1532.8467661691543,NaN
1400000,0,0,0,103444,103444,236786,0,14829,14829,241,238500,241,250.36318407960198,NaN
1500000,0,0,0,103178,103178,67399,0,12165,12165,213,67375,213,79.48451548451548,NaN
1600000,0,0,0,101563,101563,1496107,0,16975,16975,191,1493785,191,1520.6854271356783,NaN
1700000,0,0,0,100839,100835,228410,0,14856,14856,422,230123,418,243.99799398194583,NaN
1800000,0,0,0,100465,100465,64318,0,12137,12137,386,64290,390,76.6850551654965,NaN
1900000,0,0,0,100697,100697,1503383,0,17234,17234,512,1501225,512,1520.617,NaN
2000000,0,0,0,100425,100425,243999,0,14208,14208,213,245668,213,258.7244488977956,NaN
2100000,0,0,0,98974,98971,76576,0,12365,12365,392,76547,392,89.11923847695391,NaN
2200000,0,0,0,99241,99241,1491573,0,17017,17015,270,1489428,270,1514.64859437751,NaN
2300000,0,0,0,99022,99019,246676,0,14676,14674,435,248240,435,260.83033932135726,NaN
2400000,0,0,0,98946,98946,81582,0,12211,12211,309,81554,309,93.6057884231537,NaN
2500000,0,0,0,97331,97331,1523642,0,16725,16725,172,1522028,172,1552.789314516129,NaN
2600000,0,0,0,95854,95854,261562,0,13974,13974,225,262505,223,278.3191919191919,NaN
2700000,0,0,0,95894,95894,80047,0,11608,11607,328,80027,330,92.39415322580645,NaN
2800000,0,0,0,95071,95071,1494293,0,16989,16989,433,1493014,433,1521.9355488418933,NaN
2900000,0,0,0,95544,95544,247285,0,14108,14108,458,247961,458,262.17953861584755,NaN
3000000,0,0,0,95713,95711,83727,0,11852,11852,345,83684,345,95.86659979939819,NaN
3100000,0,0,0,94716,94716,1514506,0,16700,16700,269,1512948,269,1542.0,NaN
3200000,0,0,0,93485,93484,257016,0,13936,13936,219,257977,219,273.96562184024265,NaN
3300000,0,0,0,93193,93193,106005,0,11560,11560,238,105941,238,119.59816887080366,NaN
3400000,0,0,0,91981,91981,1449946,0,16313,16313,384,1448263,379,1491.616480162767,NaN
3500000,0,0,0,91853,91851,263331,0,13492,13490,290,264265,295,282.18450560652394,NaN
