time,MSG_EMPTY,MSG_STORE,MSG_INIT_FIND,MSG_FIND,MSG_RESPONSE,MSG_REGISTER,MSG_INIT_REGISTER,MSG_TICKET_REQUEST,MSG_TICKET_RESPONSE,MSG_TOPIC_QUERY,MSG_REGISTER_RESPONSE,MSG_TOPIC_QUERY_REPLY,regToGoodNodes,regToEvilNodes
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,NaN
100000,0,0,0,114157,114157,19236,0,24842,24791,1399,19195,1399,43.99001996007984,NaN
200000,0,0,0,113541,113541,13753,0,25431,25467,394,13770,394,39.184,NaN
300000,0,0,0,111526,111526,12354,0,26591,26606,595,12378,595,38.55940594059406,NaN
400000,0,0,0,110491,110491,1579455,0,18955,18955,7863,1578930,7853,1588.8767395626242,NaN
500000,0,0,0,109344,109340,179839,0,14276,14276,8122,179996,8130,192.57440476190476,NaN
600000,0,0,0,108449,108449,19566,0,12573,12565,7992,19569,7992,31.883928571428573,NaN
700000,0,0,0,108028,108028,1495726,0,17208,17216,360,1494618,362,1500.9265873015872,NaN
800000,0,0,0,107790,107790,196009,0,15294,15294,507,196466,507,208.79743083003953,NaN
900000,0,0,0,106922,106922,33777,0,12341,12341,136,33772,136,45.75198412698413,NaN
1000000,0,0,0,106334,106334,1495264,0,17148,17148,445,1494173,445,1498.9217046580773,NaN
1100000,0,0,0,105615,105613,212314,0,15017,15017,506,212747,506,225.30327056491575,NaN
1200000,0,0,0,105279,105279,40165,0,12418,12418,446,40160,446,51.90819348469891,NaN
1300000,0,0,0,105554,105554,1539791,0,17111,17111,370,1538801,370,1533.8935960591134,NaN
1400000,0,0,0,105552,105552,219449,0,14531,14531,328,219919,328,230.06882989183873,NaN
1500000,0,0,0,105135,105135,42707,0,12140,12140,392,42696,392,53.93018682399213,NaN
1600000,0,0,0,105565,105565,1535326,0,17147,17144,468,1534405,468,1523.5260058881256,NaN
1700000,0,0,0,104604,104604,238250,0,14300,14300,199,238564,199,248.8177339901478,NaN
1800000,0,0,0,104075,104075,45406,0,11850,11850,370,45393,370,56.29891838741396,NaN
1900000,0,0,0,104304,104304,1489496,0,16721,16721,278,1488550,278,1485.421104536489,NaN
2000000,0,0,0,103076,103076,235048,0,13866,13866,362,235408,362,244.99409448818898,NaN
2100000,0,0,0,102732,102731,49888,0,11667,11667,172,49855,172,61.06646825396825,NaN
2200000,0,0,0,101638,101638,1441045,0,16974,16974,578,1440055,578,1440.7302371541502,NaN
2300000,0,0,0,100743,100741,239102,0,14038,14038,273,239436,273,250.13833992094862,NaN
2400000,0,0,0,99717,99717,54471,0,11437,11437,295,54441,295,65.25544554455446,NaN
2500000,0,0,0,100583,100583,1444535,0,16542,16542,517,1443551,506,1438.0679133858268,NaN
2600000,0,0,0,99768,99765,249110,0,14248,14248,339,249607,350,259.72189349112426,NaN
2700000,0,0,0,100371,100371,58439,0,11573,11573,424,58427,424,68.63921568627451,NaN
2800000,0,0,0,100459,100459,1470471,0,16231,16231,254,1469387,254,1458.981354268891,NaN
2900000,0,0,0,100059,100059,245745,0,13982,13982,480,246305,480,253.8875855327468,NaN
3000000,0,0,0,101157,101157,61234,0,11488,11488,426,61215,426,70.94829268292683,NaN
3100000,0,0,0,102308,102306,1453861,0,16432,16432,532,1452892,532,1420.5729468599034,NaN
3200000,0,0,0,101574,101571,251610,0,14013,14013,437,252150,437,256.64057971014495,NaN
3300000,0,0,0,101264,101264,63080,0,11688,11688,492,63058,492,71.96150144369587,NaN
3400000,0,0,0,101772,101772,1509645,0,16245,16245,309,1508612,304,1471.446480231437,NaN
3500000,0,0,0,100245,100245,257945,0,13958,13958,395,258538,399,261.6968238691049,NaN
