time,t1-normal,t1-evil,t2-normal,t2-evil,t3-normal,t3-evil,t4-normal,t4-evil,t5-normal,t5-evil
100000,6655,0,6449,0,3013,0,2051,0,1007,0
200000,11204,0,11110,0,5263,0,3621,0,1739,0
300000,15160,0,15293,0,7500,0,4945,0,2414,0
400000,15216,0,15074,0,7425,0,4926,0,2446,0
500000,15238,0,15114,0,7471,0,4950,0,2502,0
600000,15200,0,15106,0,7454,0,4968,0,2497,0
700000,15240,0,15171,0,7509,0,4965,0,2505,0
800000,15227,0,15212,0,7548,0,5007,0,2539,0
900000,15159,0,15227,0,7399,0,5012,0,2474,0
1000000,15314,0,15286,0,7495,0,5036,0,2515,0
1100000,15313,0,15278,0,7578,0,5169,0,2525,0
1200000,15328,0,15350,0,7585,0,5184,0,2562,0
1300000,15439,0,15364,0,7613,0,5215,0,2584,0
1400000,15449,0,15389,0,7664,0,5203,0,2625,0
1500000,15472,0,15418,0,7643,0,5196,0,2613,0
1600000,15524,0,15476,0,7744,0,5230,0,2648,0
1700000,15528,0,15598,0,7759,0,5220,0,2667,0
1800000,15498,0,15646,0,7807,0,5246,0,2696,0
1900000,15531,0,15675,0,7831,0,5283,0,2729,0
2000000,15533,0,15665,0,7845,0,5256,0,2721,0
2100000,15573,0,15752,0,7839,0,5224,0,2761,0
2200000,15667,0,15641,0,7983,0,5236,0,2743,0
2300000,15753,0,15761,0,7990,0,5227,0,2747,0
2400000,15716,0,15765,0,7968,0,5231,0,2763,0
2500000,15836,0,15832,0,8043,0,5208,0,2838,0
2600000,15929,0,15838,0,8102,0,5226,0,2856,0
2700000,15978,0,15926,0,8089,0,5196,0,2882,0
2800000,15973,0,15936,0,8051,0,5194,0,2879,0
2900000,16025,0,15954,0,8088,0,5193,0,2939,0
3000000,16156,0,15999,0,8122,0,5230,0,2973,0
3100000,16206,0,16149,0,8159,0,5223,0,2999,0
3200000,16262,0,16095,0,8221,0,5244,0,3023,0
3300000,16296,0,16214,0,8277,0,5293,0,3081,0
3400000,16324,0,16269,0,8344,0,5331,0,3103,0
3500000,16311,0,16311,0,8353,0,5385,0,3136,0
