topic,registrant,times_registered,min_registration_time,average_registration_time,min_discovery_time,average_discovery_time
t4,112037102804438962323648585541098951324305469609825679658411716058338631562645,87,201,292516,22125,154940
t4,83488201092432801659324965427407066743480775865826647424207199949080889230898,45,201,64109,6363,131122
t4,39289372636681056969101252416221791703538292191278268860005464662394674356898,90,201,208545,5639,176329
t4,41797561254697439532477847137782693397644092250336362719038064996495523345655,93,201,206159,14254,159505
t4,38763808607986899548605333495262589704421154439654415880880416373116924559411,96,201,291071,23024,157046
t4,94140309292084430438632197004555047063040178176992831620633645431873353767718,96,201,216790,20071,174527
t4,47509031595658877072003335501070928717348331407490827018657413051778315143750,81,201,305391,29335,166083
t4,54073747283457749931158308944613253726498143829987731699423919687937567883825,85,201,180381,22176,171455
t4,63872227562974623372083997354664368034659094129221736390726299487686213899592,42,201,51857,110917,169398
t4,109893463440552719326930046942996698473002944060161405688585450224437143187728,103,201,190825,3005,174216
t4,30229817407803457931976011213544140155515696558883660842467312653150141444035,89,201,278628,23009,185590
t4,108901088893326086487757890411033472695884271311361732724764615689557497961505,71,201,96891,4909,171466
t4,104282189803873040394730317767822718047394135440792970727243359306916342714694,25,201,201,283296,286944
t4,91173417484613132869516987145267856720370695447334347124532210437235171747583,99,201,112004,31564,202769
t4,12021611466363327548114728483290882636024609485225336824692352846486975533816,98,201,233604,2859,174522
t4,46901485120126406252997735565725956100364091948197163330804660534923526271191,107,201,198400,5199,176180
t4,756785444710371515169706764827766268991901762456887614457166653058193434270,89,201,99404,682,166300
t4,29569329480075874881423863964541265243877328197761058774715709849664148400706,96,201,203765,53558,161818
t4,54909162257924283183870763754708090323969888454643173407441693747505559763537,98,201,145696,52238,209108
t4,48708517725819632659323563739768662574985835972721300825219617324909288856127,93,201,261137,5684,154027
t4,87213285161007143419819864376957334345644805303562636417069626991243601031949,91,201,141253,3599,186585
t4,75751040811026014193190628202204712207745899263649388223532776303121771723758,25,201,37104,10489,149442
t4,109578134622477848887007047804362332362826821794413748310728639092389947171409,45,201,102978,29320,159998
t4,94987951472871020790509453319283623034701192456290345947950865466808678488839,37,201,74850,193397,257931
t4,46717775638585420667405392019509033070677009827152851865613297679378227111747,128,201,222944,6365,176445
t4,75809531197818890592120163113907504592333161002473338486419997784581449456436,70,201,189138,1446,145989
t4,97990317789943254915564242046078481925097587232751243452013504404595693999830,80,201,323329,1648,181749
t4,43430369960119126612215300866508747327307369638655375138770675287490343103828,93,201,133067,2330,191013
t4,2453786695412284743884677408104686554383689316825803239155296135206679729521,70,201,204957,4911,207735
t4,39057467504981497805773549505839004220941464271530603883892472197272951191150,82,201,202671,4086,202542
t4,32174210563633455097510244173311907909257286898749216752504859725129599773865,82,201,86740,8959,179517
t4,66271183982580875211304625144439367912795572839505144849852094204200754976333,57,201,113295,13042,160571
t4,35615346544887578380249278052821327331168585724031460247321588505995070346424,70,201,116362,31519,174551
t4,39663874839726091008396145847392847607205114803294178453217882054648513198138,64,201,168651,82612,196208
t4,15428354951794440672607741616819347527528643999247439905264022798779524200096,76,201,271668,13219,163644
t4,74566015911707382551407120509016443905893501546669396869264110546799004183767,58,201,208562,2091,157004
t4,40386082340015559768843945664440159749742806402709987129537777759440611366980,91,201,225793,5036,156578
t4,77657181331756400093471700672704928014188574845628441790440692851175455291526,74,201,167496,13986,185309
t4,47163410435780733592143690041468656841423503075254571665828579495570397613487,51,201,92196,8571,121176
t4,11811218784876856464551964699508358073703469090090393095499092757934080708762,82,201,400805,3570,143251
t4,90569826780659780278686440072742019387521265890158124546825085151611088066919,91,201,304233,3691,172655
t4,28237913268785727690567568827520582430247373874331306281668207854879093824272,37,201,88537,210999,250399
t4,105179797052645524996607265192788404474681186270819469255955309184809200493607,100,201,134387,13015,204009
t4,103150561619344279036262582338977940853690119046927618582350167993214730200745,71,201,178542,42977,193892
t4,50373709196109353357191163774242857316641130223976933180658166131327442150810,83,201,166650,9094,177812
t4,105586302199348700727899077427126328949015511643149775962267887953066640273098,87,201,193998,18363,168450
t4,88613305746952705729132397272489640719462230107590610409366356617807916270337,87,201,119767,33711,167603
t4,63951559683112964988923107219365962486965048585526462583518409465287593533795,48,201,213653,7220,152560
t4,104910572478087201330518300076815313936510861058595672566843183211408948712737,86,201,180009,31536,189116
t4,33327378069922729851279518085630548372497209319639270018168377101749919162749,94,201,237150,91662,203005
t4,65574480936175801193335055791854642435991617125064981867910659517968831242330,88,201,367828,7386,173783
t4,25237486170929947574585031339406650982394897648618034865792382412132671589836,19,201,32258,0,0
t4,20649887884096582754969894259474016367309344784741429687316954589781253674150,85,201,161792,9066,161074
t4,588116220422187055915237130220021728774123177735919314788412121142835229505,76,201,185800,20519,207012
t4,49321489518391652562621725019770328457634263855385750910864955970745521509225,88,201,140175,12657,142792
t4,30244567160718800786291101778662660465114046207599989005052958185528532402655,101,201,168992,4919,174536
t4,75556201532427134451019421892883876174239040830433486929611195252289813670945,64,201,246066,45231,189472
t4,50079998769008892775274258383677191173927531963200401807638754480253612293599,73,201,172917,15397,201246
t4,8837401337021785367312216846711932520720209401951680634468945563136915189848,60,201,76397,27334,209739
t4,45247405179517984306116754130511862103384099537851111969261216109072913093573,31,201,44876,73860,182645
t4,108080407093163074352361910914883415818913654864206611163681170265406229760333,45,201,48487,37354,188663
