time,t1_wait,t2_wait,t3_wait,t4_wait,t5_wait,t1_cumWait,t2_cumWait,t3_cumWait,t4_cumWait,t5_cumWait,t1_reject,t2_reject,t3_reject,t4_reject,t5_reject
100000,632.46713514177,400.7005621641768,323.6428870417987,210.0237654891807,231.74331753554503,201.0,201.0,201.0,201.0,201.0,0,0,0,0,0
200000,62.018172124228016,75.0233619763695,34.41025426564068,80.695227008149,83.75357897207229,201.0,201.0,201.0,201.0,201.0,0,0,0,0,0
300000,36.030369718309856,7.823590542998181,12.498601398601398,11.145867542419266,34.81105500930109,201.0,201.0,201.0,201.0,201.0,0,0,0,0,0
400000,9025.507593831273,3679.0892708799142,2161.2259807214973,6102.3577498386185,4055.595292684879,74171.37399874843,72741.25001650274,72716.43096830114,63491.26235218627,59995.42809051805,0,0,0,0,0
500000,10135.633333557376,12640.97349667016,12868.257922418281,10337.617507546356,7745.558143986524,20911.96352914493,28973.436431770406,29561.46551874076,19508.680296959697,19042.146863117872,0,0,0,0,0
600000,4524.180168245347,9304.80696212784,6688.315699091513,3837.565623770169,10393.490545650999,4226.642921398853,5497.351569933397,4065.3578211416047,2819.5562054208276,4090.477097130243,0,0,0,0,0
700000,9002.748921949908,3620.1535820279623,1441.1120490661344,6033.0434743588885,3623.87936951977,151484.78051019117,146718.4907254671,138762.7861989502,127333.29548472776,114648.20320649025,0,0,0,0,0
800000,10052.567849782112,8673.934812641119,11824.07672705381,10276.25934115075,9662.978292754473,28270.66123404646,48084.248954859315,51050.35088815496,25479.976651763536,30119.4258698941,0,0,0,0,0
900000,4386.502726318285,10943.382609755969,7967.125085518815,2764.661501098647,6887.6738405919905,4209.889461921953,8543.423222390318,2983.6611045322425,1693.096855160195,5318.659908623644,0,0,0,0,0
1000000,8981.894198178397,3332.4530667074223,1449.3194837756914,6001.628897212662,3722.298107369593,203105.7532137807,198314.52349108958,179339.16150186447,163876.86955691368,151768.55032245457,0,0,0,0,0
1100000,10312.11238960161,9018.781755548205,10782.459687843055,10187.384866553095,8311.989801870663,27005.37633758258,55623.837028189206,62722.3735027887,23248.452854230378,33521.35655737705,0,0,0,0,0
1200000,4551.278808057266,10672.44779255894,8405.163370901639,3695.9805097451276,8301.600730542286,4395.045919553592,11899.610353327855,4023.498517623806,2278.9314903846152,7025.278189066059,0,0,0,0,0
1300000,8963.615561783152,3264.6396664094887,1526.4593230202197,6005.145006021732,3850.6542989810223,243713.71279550446,241975.8547314035,217240.98859189494,183538.13705240807,171099.74292594823,0,0,0,0,0
