time,t1-normal,t1-evil,t2-normal,t2-evil,t3-normal,t3-evil,t4-normal,t4-evil,t5-normal,t5-evil
100000,12940,0,13292,0,7035,0,4459,0,2035,0
200000,14998,0,17036,0,8675,0,5621,0,2610,0
300000,15131,0,17255,0,8738,0,5669,0,2636,0
400000,13846,0,14253,0,9225,0,7230,0,4873,0
500000,14842,0,13147,0,8981,0,7168,0,4934,0
600000,14804,0,13020,0,8961,0,7153,0,4924,0
700000,14301,0,13410,0,8702,0,7454,0,5004,0
800000,14388,0,13370,0,8792,0,7484,0,4980,0
900000,14413,0,13377,0,8795,0,7495,0,4982,0
1000000,13796,0,13298,0,8975,0,7292,0,5176,0
1100000,13776,0,13410,0,8927,0,7281,0,5217,0
1200000,13816,0,13418,0,8931,0,7331,0,5220,0
1300000,13741,0,13451,0,8775,0,7247,0,5046,0
1400000,14135,0,13304,0,8859,0,7344,0,5046,0
1500000,14143,0,13308,0,8858,0,7358,0,5042,0
1600000,14039,0,13120,0,9227,0,7304,0,4916,0
1700000,14127,0,13245,0,9165,0,7363,0,4901,0
1800000,14162,0,13260,0,9171,0,7381,0,4914,0
1900000,14057,0,13381,0,9084,0,7336,0,5063,0
2000000,13913,0,13492,0,9380,0,7297,0,5167,0
2100000,13962,0,13547,0,9427,0,7353,0,5176,0
2200000,13766,0,13522,0,9715,0,7404,0,5217,0
2300000,13817,0,13636,0,9734,0,7499,0,5199,0
2400000,13837,0,13682,0,9772,0,7509,0,5203,0
2500000,14420,0,13536,0,9420,0,7579,0,5008,0
2600000,14522,0,13530,0,9555,0,7609,0,5030,0
2700000,14533,0,13525,0,9547,0,7657,0,5049,0
2800000,14302,0,13490,0,9907,0,7682,0,4916,0
2900000,14471,0,13449,0,10042,0,7817,0,4949,0
3000000,14622,0,13520,0,10107,0,7868,0,4974,0
3100000,14546,0,13275,0,10131,0,7856,0,5021,0
3200000,14441,0,13539,0,10147,0,7952,0,4951,0
3300000,14462,0,13553,0,10176,0,8002,0,4918,0
3400000,14399,0,13706,0,10082,0,7763,0,4748,0
3500000,14607,0,13690,0,10248,0,7728,0,4745,0
