time,t1-normal,t1-evil,t2-normal,t2-evil,t3-normal,t3-evil,t4-normal,t4-evil,t5-normal,t5-evil
100000,117885,0,130455,0,64593,0,51228,0,22683,0
200000,137599,0,163659,0,79503,0,61656,0,26414,0
300000,140811,0,169993,0,82130,0,63735,0,27299,0
400000,140113,0,134361,0,89171,0,71396,0,43113,0
500000,144067,0,121526,0,86134,0,70616,0,44006,0
600000,142737,0,117528,0,84782,0,69714,0,43479,0
700000,136821,0,117721,0,86117,0,69330,0,44561,0
800000,136656,0,115966,0,85834,0,69509,0,44753,0
900000,136956,0,115799,0,85953,0,69409,0,44798,0
1000000,133347,0,115411,0,84888,0,68428,0,43357,0
1100000,133777,0,115558,0,85143,0,68319,0,43572,0
1200000,134274,0,115664,0,85326,0,68368,0,43761,0
1300000,130833,0,115065,0,83907,0,67737,0,43388,0
1400000,130825,0,115085,0,84209,0,68165,0,43697,0
1500000,131249,0,115348,0,84339,0,68342,0,43719,0
1600000,128369,0,115546,0,83100,0,68044,0,43769,0
1700000,129009,0,115919,0,83591,0,68371,0,43847,0
1800000,129456,0,116109,0,83545,0,68500,0,43883,0
1900000,128606,0,113410,0,82787,0,67939,0,43837,0
2000000,129460,0,113904,0,82522,0,68367,0,44008,0
2100000,130021,0,114355,0,82817,0,68589,0,44164,0
2200000,128865,0,112862,0,82953,0,67034,0,43662,0
2300000,129237,0,112669,0,83623,0,67315,0,43858,0
2400000,129736,0,112923,0,83979,0,67690,0,43886,0
2500000,129324,0,111875,0,82816,0,67020,0,42691,0
2600000,129689,0,112386,0,83058,0,67439,0,42756,0
2700000,130036,0,112837,0,83323,0,67426,0,42933,0
2800000,128255,0,112209,0,82885,0,67420,0,42505,0
2900000,128357,0,113821,0,83292,0,67727,0,42842,0
3000000,128986,0,114165,0,83588,0,68065,0,42963,0
3100000,127759,0,113527,0,82882,0,67258,0,42547,0
3200000,129217,0,113597,0,83428,0,67275,0,42534,0
3300000,129767,0,113950,0,83588,0,67392,0,42662,0
3400000,129068,0,113570,0,83044,0,66920,0,41559,0
3500000,129472,0,114067,0,82847,0,67597,0,41805,0
