topic,registrant,times_registered,min_registration_time,average_registration_time,min_discovery_time,average_discovery_time
t4,39808022768232676342638585611787041167053383848239270879783882487830828010629,66,201,232521,1877,187516
t4,13298237466801581234652231984613914881143092460045977250365112091918323532651,87,201,278341,23674,161879
t4,12638397802663931665920315064463837567769156299796470171027127236141376087512,60,201,127515,799,78397
t4,47509031595658877072003335501070928717348331407490827018657413051778315143750,93,201,134055,19079,159633
t4,82014440565211193703186486196611358810374414950277123568120275782037782493868,113,201,129919,37121,213487
t4,112794102184973779916283545231413436581965220082654547225789912806631521144066,113,201,143523,5039,177090
t4,48071784748536363505612708757842096379789173572758237565883758872766477782693,91,201,148705,34450,199927
t4,90265002499480917261044775676776499619093827884113416966513343260552114365271,26,201,201,88701,253130
t4,62163032052559803348377620520558827549192647589673139971318851638488733915199,39,201,32857,133428,133428
t4,30229817407803457931976011213544140155515696558883660842467312653150141444035,81,201,191328,6665,167850
t4,40420432241791307743458810521464631258832927702301393671901062594234148604435,102,201,295675,25133,172453
t4,78556342841085962907234829073272056303450328546717967131248168844416960065449,137,201,237229,7918,166600
t4,104282189803873040394730317767822718047394135440792970727243359306916342714694,100,201,181741,2746,165742
t4,82027709153363239314089119849379470651552340865535787978453162268613764171015,111,201,97534,10500,130404
t4,94907515194027962920575955717231255507960310074108218247200322256453157295910,92,201,138283,20439,160375
t4,45123097491152024981711862251383608036159060101994131434472083987203156788783,89,201,136516,593,129494
t4,36118265250395688271623446993427224155411192624456890835246588620420085162332,62,201,176604,799,141993
t4,12021611466363327548114728483290882636024609485225336824692352846486975533816,93,201,151423,10419,162975
t4,67775439459251645248274645736229202720356697037804435134481378164753471488387,65,201,107497,118193,163933
t4,25477971442412136034466047898551362284203691736152165570057295518672677564639,92,201,339353,44777,173765
t4,79925977750499157001563765282183155071902322787279100789228678344596956615972,32,201,21919,29922,109840
t4,104247508464705586951514159196935925730591629462416329665637151628253926118487,95,201,138494,31119,206341
t4,113565985250866398804472898277024207759899686011276995422641029460373579649180,99,201,88104,5494,130735
t4,101630892697454419365226833097108504447073337900642085760949685935210529671261,69,201,44465,40132,185676
t4,8258373879582276241114790705331280497015118157298128740304259116256609216487,68,201,116701,799,86169
t4,19747603897682446402446097791874082334180386101203937173653687898348614423288,88,201,126531,1035,160447
t4,108801088954817625784256866738684088822338443900007604742179707383077671075295,106,201,140290,18047,172620
t4,104483970250478110119015013199602805677357710307989690852080572990252172433302,82,201,145382,799,60823
t4,9372171450792721339827578628580363933253172892795943976948763427653191201661,93,201,236196,3599,188951
t4,91369016043948917642839128379151942981637622837887740968062800406074973991248,46,201,48012,13908,177077
t4,90042094728032963924902635697933330564900052046969052722927349650590263710790,98,201,153015,16159,169344
t4,69865470886718602201496659657012868133408200128086306690483476780815149725199,108,201,146774,28559,144244
t4,97990317789943254915564242046078481925097587232751243452013504404595693999830,108,201,223915,44078,202955
t4,103247794080785816099461689917118956927342459462305051850560883816597320169215,95,201,173413,34599,157860
t4,46962442599999863899851335476621859117866347390209827557361897933806844085852,78,201,180116,13959,165329
t4,66271183982580875211304625144439367912795572839505144849852094204200754976333,116,201,143492,17082,192346
t4,35615346544887578380249278052821327331168585724031460247321588505995070346424,90,201,192827,25068,152886
t4,2728967114237371534762146917601286113803273256651998719144543635870425183061,103,201,261210,1012,183196
t4,115177547919015679830429417268172228297492673000522124886238444972465850425059,93,201,149830,23552,158860
t4,32826123952267527115422924513323468523440152151608829322695611784989743367704,14,201,4138,0,0
t4,94308817197043580743842704845545210526053778801195076102988059442008511864783,89,201,180962,26670,133525
t4,44151987530732412788288783331809473721252504898513992570613171743940426297582,98,201,114050,3366,164127
t4,52243526412489178407063516303406438219654021453474893468791310846811011611459,97,201,142957,9142,147390
t4,54985916673170315407776451227847912558544933583339777020094806502217107797590,77,201,184443,10167,121505
t4,80386384619910124800973966264555198525002514732267171300871447587266212212545,68,201,28448,6545,202130
t4,22568308895183928173470653958912868914233809775149488631297328002644326553124,104,201,313614,53,153747
t4,43454344848045650072590622039374525730129626706891529832787035536968266394078,93,201,221984,2054,158833
t4,36292171796189788201044603032653501318596292386505921016683349348106264991617,103,201,248926,32279,172480
t4,101312294223042349493548070987879429680235644033243544872342431316497470457216,94,201,307432,39286,179120
t4,83920428515605976739616715183621668970964056285342742049912462332764200871452,109,201,142690,4347,141665
t4,90569826780659780278686440072742019387521265890158124546825085151611088066919,113,201,118870,15778,138432
t4,5250015609672708799308870849794366574071640622363303562373957940586582211076,92,201,176200,13558,169809
t4,41616164789959037061576099119857560891196265731349711450103136598839272629250,44,201,43332,21497,174944
t4,75861305569161927298539045477529837264133547305158413507975975081650151871945,80,201,83766,60815,128443
t4,50373709196109353357191163774242857316641130223976933180658166131327442150810,89,201,209071,5639,145989
t4,103150561619344279036262582338977940853690119046927618582350167993214730200745,88,201,137646,3617,126658
t4,93009495098940487458699563849564421990770660514523980284259909702554713446636,65,201,163458,22495,138952
t4,104910572478087201330518300076815313936510861058595672566843183211408948712737,97,201,125424,1007,165752
t4,78325485219286664982274271831002803288348092697228765820284186484150878218488,73,201,66231,43559,211439
t4,46063627924621307078630724272474884205155713009882076760250275276973767221676,40,201,40238,799,186860
t4,105678804009399798891487743690199959115017588599553687915799748254151954989263,39,201,108019,16108,158716
t4,105073810712389224960211013828428646982957733237559632674280584466208686970834,107,201,146592,33503,184973
t4,49321489518391652562621725019770328457634263855385750910864955970745521509225,85,201,134922,1895,181870
t4,79668947524578902356932085755893608469874129369206639720543741870926834228207,131,201,286691,8518,142274
t4,51226403521393154287666003418693649059975155296522764124379690688522796716667,108,201,313180,9759,197689
t4,12282777016579024509279731850703318433967245919722620188395407600034099358617,105,201,169466,55407,240594
t4,46814033260405906493476127577516531535745328367395864517643444640933372917418,108,201,303818,6264,165296
t4,42717272653380328673281505321820847198827409493407990765928880705844915257922,34,201,42855,6178,132017
t4,84128852840248311982673040386591817527964044759791655640025999866887344112682,134,201,88181,1145,115782
t4,78845242987100707594444557341891232101079438706839728087344212338500998453250,105,201,95896,22221,166224
t4,108819614042133154566547547879238437645644190824641698718554053104711135994436,17,201,713,799,799
t4,82980809177765532439113297942093819518295762939210060405991315518426614719174,95,201,76593,151022,234056
t4,45247405179517984306116754130511862103384099537851111969261216109072913093573,108,201,159734,21582,135894
t4,39525621606166918553131256323769024904807442476733355269256248663797540122632,43,201,79613,799,193094
t4,3237128415922048110457252731291553304322664208270930493241529734852040234584,41,201,95893,1724,109852
t4,15839072070860304984008536057622333113724881069108330401076841086959373152082,30,201,34519,73807,195783
t4,24875090393169505722401682119233369699357307065226882366700873774500468028423,103,201,271629,2802,170902
t4,21044250268925576281418289770403072885022495202170104041152692860177735467644,102,201,113347,30541,146122
t4,17440553964664700223015897473425741960956231138827066712555248511017063725184,53,201,60668,26799,208869
t4,50456680937296387716043610887003543585372536917602697372950429104926988398910,60,201,122001,5199,133628
t4,41137790117172639392528495264334332004801372168292494755926225690272655051989,92,201,326705,6039,190536
t4,88163324821831583840391506189367292045804878523120138226669012424020686805516,92,201,292824,39771,175160
t4,98289007668084567685832615687755242631348240414014854678604744310280887052551,104,201,262095,36169,180016
t4,89258442847540605696418853750679045875360561763549548141843489666365384323874,115,201,313984,5622,178183
t4,54397472918505405543227899024174135514205066157425649296332119966772648480609,122,201,202890,17313,197021
t4,108719115729747164368503102738760098382145248222829480173379658520936929685302,67,201,89330,199929,243211
t4,50697469299833354007710369725774522581427407070750570700377345075652231887193,76,201,335552,33016,171368
t4,71652815305306645978449491544509963018884467403620673897286352115052564305195,111,201,124466,7818,143803
t4,73382217728795791215837790209627664392778426445341226183096600726563756320350,135,201,109765,44996,198054
t4,32812582977818163172085836834616310998257582338253322382297378334303320233546,75,201,158343,6750,135830
t4,13915018195416736378944159543128353682370432520705437397207539118446391825927,15,201,2588,799,799
t4,40157503686456915524631846860853485932928449034854162635604827360458384960177,85,201,116084,239,163791
t4,28861381348717913692996364636568109204201998396971399985446443674710181856601,96,201,191563,29319,203773
t4,24965051400240107545474433827419073641959959011472133818665731906328567735896,92,201,297439,56159,165883
t4,101466278229890518300208852746720178838272706413924496456077899569486203890375,140,201,185084,26639,190985
t4,35560562208355925988344114208587196697587317647332548711450473436544374356233,31,201,92137,799,70087
t4,17940522949897726585919825082850015704169093335717667797340508729519914563758,22,201,201,67446,231961
t4,71480881210047365962543613185167998794381928660595442736745751990509874441870,103,201,151579,8978,173837
t4,20919946960466359228083043245635916631235586828871255387312178807622379536134,101,201,172397,3439,204709
t4,105842030614092677142322927205717609195893435119740307714595635428967677021728,77,201,159103,34439,134442
t4,65165350859641419760674599101416448069883212853641641768063047011696847695402,124,201,207633,3895,194032
t4,76826802745939742809436560590526374819506233222601228042529508218600271971850,135,201,129971,7279,165687
t4,51301160410249908622385030882774015022088213088402305423961999343691569957769,43,201,58729,7395,185973
t4,22548896683679206267101564945025768950033484423936918636457661096118970328727,99,201,170077,7999,182888
t4,45709337157054701474664335164314453468154506114206223506211090461750122461317,84,201,134143,9959,154059
t4,89666109702668393094910386890964254343508222914508443210971438812388489209350,129,201,211370,26441,212919
t4,55020225640765831788174501894498844946796045779579208570374967123836496444585,39,201,67847,26204,180109
t4,16740773367291459652581298812596670242693251427198917571238051886177792487151,102,201,304962,31763,191631
t4,59479161524078854906142156439206925908567937511057965073189087740025199838121,103,201,177377,14471,157518
t4,66368379340409845903355841880865297352138108405443718227942057516651921919133,106,201,182973,81201,209671
t4,14210247008103603778152301328700891573855083622543609374349245081235078571114,52,201,68866,34308,176379
t4,57500350650117138607656411431563073911841339745063757008759162439483596106058,101,201,167069,2587,165829
t4,58583547022993947470640719099960444911275152794685341406656698454068167802619,102,201,85595,2435,160050
t4,42163215352590483748532339977948068260796944990751219270332702736956696794242,106,201,307439,65955,216906
t4,71038466246827291650223854753037056352578741242187835072454242137120115043635,109,201,143633,2559,149393
t4,70644141853776679191135335740591649717023913017843802531684383458541051379640,123,201,170485,7359,156281
t4,81593941937951501803346096786731127437415925592532199762510108484438562373793,134,201,92323,521,187853
t4,107467662247680181316650961006615044880596038225419563654913444396859476829425,105,201,328638,52216,180304
t4,41190128244535356843018606672868124491811509927961869588799253689638884576003,92,201,276398,8220,195749
t4,38969269747220519625597243622531005532904304801077404586605852084894347468357,107,201,242662,19199,189214
t4,79359356627966950709080180724986846867161946793054361811026991631781579053586,144,201,240150,878,148305
t4,17030711455778476299792670833000152513602628157382163107786362712425767249108,93,201,314048,23743,189500
t4,112083542313805300885319501187851815448123531489094949885908342224945786839164,42,201,107061,799,103236
t4,59855894201526862557312336150335539415570717857759754328344845951404289754691,124,201,210232,37159,199174
t4,101946954069722070745788487614159670440324243597483963360997758451330131494818,116,201,188684,32930,165069
t4,41005888053498259871876592344089921506391599082055803087439883430381189027596,96,201,305993,799,166464
t4,57629087492659294888622859893050285094845778400119784597850495232346979757251,69,201,131931,1899,151364
t4,53104904847099702444639653471937132940409288065184609836414169476077800805550,16,201,4862,0,0
t4,102612563524554226416843172771411659851027369901323122573208817956072631425122,106,201,343636,23757,169141
t4,64955717908106666467847356960850209790065803149527379851097826219658820802364,114,201,129180,31011,170118
t4,106636623059019931637123266878406643884128009208930237820165010667286618988144,102,201,93625,31550,182469
t4,99699873039616158280624166367185071765457829230189459528576864463316608785057,112,201,302403,5639,154080
t4,85514778623268403892045984675568925495413781468574851863467164352582826347533,133,201,152373,23427,189363
t4,399916476255824607555771725119057379398851961773525976134941454319877751299,30,201,32819,256934,256934
t4,30415344128147010872690147595631467085222742415825489022105249847715454461937,95,201,136406,39119,172257
t4,107156301704431442099224637197768945041052526452812823656263805413858663981070,72,201,160339,2465,97211
t4,64322295964667203816273817025878292946663208854727025161727032330424672360995,96,201,208875,30198,145999
t4,13678333672679250370479673148695471021804213478361793833318391894987903392579,59,201,106980,35517,183492
t4,40142440040233456071282551264256644004226966062071329386539204296602129767219,90,201,185772,32840,172001
t4,90105712839690284817597506406357996251012262404642131656219419433871649409875,86,201,154450,13040,123328
t4,91895848574848146462482672585524344711328978014112639754862494567481132988438,43,201,50974,136679,136679
t4,107493129111735761378747220626918271394955215332825321183932025767371511803489,137,201,108000,5999,228731
t4,66413082844655618847153668926545890108092638091715373370673537596907639434309,103,201,283081,8738,173865
t4,8783244369688160222189197255442578335146709388400219040702229554705455982147,17,201,12485,799,799
t4,76186421305814492132737809662530092289537524647541421481289059941842778993410,151,201,104446,80689,225270
t4,39127176218019538871858915507162653379541246201783248998170571854852852605120,97,201,236184,41839,185922
t4,1226167440114109852479259759019288089581960125380724989753765580921170150442,89,201,113906,15693,186108
t4,16896374306150267097777386000223883212332440564072127187119492544893854482799,54,201,19798,300,188780
t4,107187992974730068480863142611862853761386380309076859566302472485881763955725,93,201,175145,33599,171061
t4,13268354130833575811732931598109902063725718074652553077407884135739851397867,76,201,137467,9014,123112
t4,51515348327517775458442260773634135316129258018315785624311991841760523119291,109,201,231548,10599,180007
t4,65366097613451880905687342851324685448020612592984719233969534242127252709247,133,201,185256,9725,199721
t4,27596914964883464144559156521385727111255409950262480890833759080297124234220,40,201,52672,799,799
t4,35859048498726390012406922820343588654481627407563713378840512961144862218808,102,201,271223,21675,178281
t4,40320389345663326530681568906476083570510006066257430517318049851355999962310,112,201,228875,3999,176696
t4,110675391660039677366966938272711895501439379021267768404096425212822986327773,116,201,261351,19900,191036
t4,78392943560580164244315648188287355295258550267105050600564237951339118606670,117,201,131984,45365,182759
t4,86842193671169736678360554482830997088311530611608036594283832499959735077031,125,201,198544,22739,189956
t4,65272401984128940488025755366073670716465601983133527250423065991884685219216,112,201,351118,7962,165358
t4,3900918138362777924980388240165891553896440423140643135506052877157830276966,101,201,281352,14159,182653
t4,113684146427841386650820672900413694851547949561897227766526896919733194086603,104,201,202763,39615,172343
t4,31320079544620622455607697020349944631905606881909191079584500329179626977817,69,201,151416,46771,184621
t4,18932537577580175857263363440572685695770130792221377027646422925461187526698,96,201,188246,1067,172078
t4,5933015183310123975558178098195905843169865863050696946564975590271216636198,17,201,1111,799,799
t4,25313395396331849561174195884950108357939496163111144502386677631078992933673,91,201,95348,2842,147367
t4,75395347548336174260714888492790082506189728746856482357502587265690503019510,91,201,55207,87159,168696
t4,38400788148698581778443814944042852500156651141609389747845178147797598157917,51,201,19935,4433,203162
t4,13329613838974645072798359613152419918930705241073497471642975460351266306538,15,201,26165,0,0
t4,3702520478857205762680682041316675961472649303659316302601375146819972966587,104,201,305581,35421,188143
t4,47558287892878384986559564053493946512720487586574964662793209143179957841147,93,201,238007,5959,192457
t4,27689273536561234564612757133632142903795199849533498834669009280578170223873,101,201,130779,3048,211784
t4,90572131072376472171739535791323913748723261088246662799268619519511530586293,45,201,64991,599,134838
t4,27380019641706510803693906468033686683138746956298523592463283533493657422270,78,201,145925,799,151335
t4,95719682147899257936250405334998287646552470562843114259399226287487812957613,71,201,102818,137623,170510
t4,54491708817248602572494718276193141041176337019158711470688686632325969053831,85,201,134687,38419,127822
t4,76040586641298805404815517064029910160078293499941812345267786484779638842233,122,201,150995,31877,179303
t4,87740262992485786025841341190102349531691103633633871582250275030490091811841,97,201,159269,6519,153693
t4,57455442797209298104069025620315922218384043535112763572977780950282643570743,100,201,302109,37479,203971
t4,371330296255330872536769938985260684283184057891703305694295192621081884761,128,201,210363,36239,192137
t4,5894617735165248063817269755320174103849671069606206335610609479313241874679,100,201,208280,41065,202175
t4,107522146561035265766349909200208953533441937957886202502274979987194353817897,103,201,194475,6953,190342
t4,29366464975940739892704139097420395544296328727565514485245470106301781163507,120,201,176269,2599,193582
t4,8886250907186507554721519897888999271743126427842453933856135377092632272070,29,201,70327,150596,168477
t4,15614312065471567317587043375217462242996731456254539849528894867725864379633,28,201,56331,799,53425
t4,57643711339372425281171635855244856409900989710331387013313172614725766169964,62,201,95379,25090,183625
t4,7848594289325977958966093548566122589092566677896974433258820759218646461599,90,201,165844,13258,140906
t4,81598196812111091533974548249512869653931206874269939003176029709318454035447,121,201,83668,1531,175812
t4,73600872261618361701580861882443825467507379262831471780821290948108053310303,142,201,151463,4489,210412
t4,103951623015517051049250726704682504487160140588843505511942003951425004839803,100,201,119856,3403,134305
t4,85532326433989903843203810105584275275627464046285140686903333989844436684217,56,201,53958,17582,115297
t4,105241583461561228703621067429273994326834178828232730654146706780730593821466,108,201,172017,5848,190144
t4,5073649238727735102857014450329546323427361915377755002538586660648394332929,36,201,66753,1559,133771
t4,95485415725124220884541511430088461304465797843059670176043831681893966633222,103,201,248010,17838,177138
t4,111301215583007247871638120663770472689118403841872347576059906896637756829423,43,201,53585,29180,156629
t4,109372140242889769488539239432062608163114359279549575974222406532497302057950,112,201,157456,15517,158471
t4,77616431319347181850937831028381365311628124915484368665044552233509015563117,136,201,159725,3235,144225
t4,22559161397520404793578881292680814159921674689232686662297528584100047355233,78,201,183406,24839,176094
t4,79161730774937962992823433128877461348102892485388003002036963817131480938350,28,201,16226,238039,238039
t4,64834339449133189052718422098212707463899884745932314005006849104576243651215,102,201,149146,293,161271
t4,103786340965189587059090282479483929777492929827272151697165055671823382934018,115,201,162013,146,189078
t4,100822136396928899683082057511862206106295172799106643189356301519673666941029,56,201,54906,1115,204170
t4,65008016637691255905393688223585440656005602227481244024910159227582043905610,120,201,226631,15478,183294
t4,22978951026893479806608733865150358873690167132146163207296804301635498934393,97,201,316342,16952,172372
t4,77134497820536783422143475959601038580191227363727228588018333099045624844286,104,201,107672,3384,182731
t4,80178453446829424585926352576666209670050873828594186176825609858019843481296,68,201,47859,44872,206064
t4,47168780882906546094447819391468636522467520263250551982914296202632370918687,99,201,255585,52671,154627
t4,61889048968142464520966814334673195998421511198540535988378059171410556675370,112,201,165909,79,135045
t4,39928611292015237862057603828148362420598244096636066377503590873164211849601,89,201,221602,4432,186864
t4,83268106659867598421037753983467372249589317075400568630193388777874064135573,73,201,120255,22407,179697
t4,97337827465320522962694657546299888113197403703541194785561701548480319836546,119,201,240625,7223,182617
t4,114970135010659380628256885794195337163908441906542504624641548477080955414456,25,201,32849,28453,214221
t4,42332520480281651936300259314979280733327086244914241567464863429244758086931,92,201,174506,6224,170148
t4,38460834625145691487310889549140479590605626419989353747763582875936813341130,90,201,104319,12432,156183
