time,t1-normal,t1-evil,t2-normal,t2-evil,t3-normal,t3-evil,t4-normal,t4-evil,t5-normal,t5-evil
100000,31798,0,32457,0,15531,0,10691,0,5360,0
200000,53812,0,55265,0,27340,0,18658,0,9652,0
300000,73137,0,73543,0,36928,0,25447,0,13040,0
400000,73535,0,72598,0,36459,0,25522,0,13233,0
500000,73618,0,72661,0,36330,0,25432,0,13114,0
600000,73318,0,72705,0,36057,0,25283,0,13001,0
700000,73934,0,72302,0,36174,0,25345,0,12786,0
800000,73962,0,72266,0,35949,0,25264,0,12724,0
900000,73958,0,72551,0,35958,0,25354,0,12688,0
1000000,73962,0,72329,0,36177,0,25530,0,12696,0
1100000,74083,0,72445,0,36214,0,25419,0,12697,0
1200000,74101,0,72706,0,36283,0,25601,0,12790,0
1300000,74270,0,72600,0,36500,0,25563,0,12870,0
1400000,74408,0,72784,0,36629,0,25655,0,12882,0
1500000,74466,0,73078,0,36524,0,25579,0,12861,0
1600000,74999,0,72844,0,36678,0,25753,0,12963,0
1700000,74965,0,72830,0,36582,0,25770,0,12950,0
1800000,75099,0,72778,0,36573,0,25792,0,13027,0
1900000,75378,0,72677,0,36490,0,25921,0,13123,0
2000000,75670,0,72621,0,36624,0,25952,0,13131,0
2100000,75735,0,72762,0,36539,0,25949,0,13161,0
2200000,76065,0,72556,0,36610,0,26001,0,13220,0
2300000,76312,0,72683,0,36489,0,25994,0,13200,0
2400000,76337,0,72884,0,36608,0,26003,0,13250,0
2500000,76353,0,72813,0,36689,0,26173,0,13304,0
2600000,76538,0,72856,0,36767,0,26174,0,13313,0
2700000,76705,0,72931,0,36764,0,26125,0,13251,0
2800000,76752,0,72689,0,36942,0,26075,0,13299,0
2900000,76987,0,72892,0,36937,0,26125,0,13271,0
3000000,77022,0,72900,0,36907,0,26058,0,13237,0
3100000,77125,0,72869,0,36686,0,26003,0,13271,0
3200000,77303,0,72900,0,36662,0,25945,0,13244,0
3300000,77514,0,72796,0,36680,0,26046,0,13197,0
3400000,77752,0,72786,0,36818,0,25930,0,13126,0
3500000,77801,0,72593,0,36664,0,25939,0,13099,0
