nodeID,topicID,is_evil?,numInConnections,numOutConnections,numEvilOutConnections,numEvilInConnections
5626604434842560705549189236799338350146531596854766808354080297933959270,88774264621058882344861714599027560679277716842487508070808197630764836933934,0,11,16,0,0
33931709657380429869728950659546322360058885926404961426008385348308540618,73701641029887600249961343338973597360127254455583723069938763114031389713034,0,33,16,0,0
38685854180260792273499480595685015906935886734659030544607431992205496194,93541373975201890938187850683779644081366556136554089446356210062480894951600,0,33,16,0,0
52967468433894361156456937796351483431957237122634971223389945902726844929,44572760592519791049693493502789098925949292785665845984629667213135946243074,0,21,16,0,0
81556841023970121120899441130465805511590452567032258577287640116993785727,88774264621058882344861714599027560679277716842487508070808197630764836933934,0,6,16,0,0
86558882772486931431192013226509256956803086123319519031083359314439320565,88774264621058882344861714599027560679277716842487508070808197630764836933934,0,13,16,0,0
89073856990992260924115754861762272342169853093613830772288933649287559293,88774264621058882344861714599027560679277716842487508070808197630764836933934,0,1,16,0,0
112768393600400534516908768698649925827108164495428207306203293082902209005,88774264621058882344861714599027560679277716842487508070808197630764836933934,0,16,16,0,0
132077939569425486010446564530724113531880522917547147029709923923204193545,44572760592519791049693493502789098925949292785665845984629667213135946243074,0,23,16,0,0
137975261688121226642300992345239248377506761490195817009255539818880533769,93541373975201890938187850683779644081366556136554089446356210062480894951600,0,23,16,0,0
145218966666364256489015175537515829610470181882657929849898402267350350131,88774264621058882344861714599027560679277716842487508070808197630764836933934,0,15,16,0,0
236339183474062004480239707451757974411593495453768379508247540667473475382,44572760592519791049693493502789098925949292785665845984629667213135946243074,0,33,16,0,0
240866937645760854855800521846398460769442769318470865534722391767336950309,88774264621058882344861714599027560679277716842487508070808197630764836933934,0,7,16,0,0
301410680051594530007343062761203965070242846225617555385680284103790333401,73701641029887600249961343338973597360127254455583723069938763114031389713034,0,0,16,0,0
350676934223421009022902356566537554791851598630448333621171263798866862864,44572760592519791049693493502789098925949292785665845984629667213135946243074,0,17,16,0,0
362412821387931804422536385888330304120017687563450526399410319825804465817,44572760592519791049693493502789098925949292785665845984629667213135946243074,0,16,16,0,0
371330296255330872536769938985260684283184057891703305694295192621081884761,44572760592519791049693493502789098925949292785665845984629667213135946243074,0,33,16,0,0
375977141567541006000298444546723154993404805544592203308877424719090243199,88774264621058882344861714599027560679277716842487508070808197630764836933934,0,9,16,0,0
382764397353830770563691216888096905211832422814411738723594642682237979704,88774264621058882344861714599027560679277716842487508070808197630764836933934,0,25,16,0,0
396334106020577515721490062462096703506285976809198824759808461398693292027,44572760592519791049693493502789098925949292785665845984629667213135946243074,0,0,16,0,0
399916476255824607555771725119057379398851961773525976134941454319877751299,88774264621058882344861714599027560679277716842487508070808197630764836933934,0,2,16,0,0
409669226925709280213881130387901462354273630427696438409424328920503038850,88774264621058882344861714599027560679277716842487508070808197630764836933934,0,33,16,0,0
414957258157631481706810853112547029624116316429478766586867429501377743589,44572760592519791049693493502789098925949292785665845984629667213135946243074,0,7,16,0,0
444807889287544245479620291793394810615896900770044293758033183064318636515,88774264621058882344861714599027560679277716842487508070808197630764836933934,0,33,16,0,0
445446449856931865876543438341970580189893959246714124006799201481915563407,44572760592519791049693493502789098925949292785665845984629667213135946243074,0,11,16,0,0
459235019657768569415840238179593053589145027624611755149133529402499160681,44572760592519791049693493502789098925949292785665845984629667213135946243074,0,19,16,0,0
460543771547006764132817638850923567598535964296971886810568308531934481509,88774264621058882344861714599027560679277716842487508070808197630764836933934,0,0,16,0,0
481183149042392266463665293014165826395135464499009494066194651258159570078,88774264621058882344861714599027560679277716842487508070808197630764836933934,0,1,16,0,0
506929749827753972367423857383863121775967241700682535819985077458659937079,88774264621058882344861714599027560679277716842487508070808197630764836933934,0,33,16,0,0
507865203215565012628949878062671085306763977143668068160776011128773750638,88774264621058882344861714599027560679277716842487508070808197630764836933934,0,0,16,0,0
531946559719345383003136246909272342660310689792439716824162872012091824422,44572760592519791049693493502789098925949292785665845984629667213135946243074,0,13,16,0,0
544816411590771009532586748848963014351335554656751265495165269376360967188,44572760592519791049693493502789098925949292785665845984629667213135946243074,0,17,16,0,0
578629267562914937969914132685512464945137920249644569846030946869790869563,88774264621058882344861714599027560679277716842487508070808197630764836933934,0,14,16,0,0
588116220422187055915237130220021728774123177735919314788412121142835229505,88774264621058882344861714599027560679277716842487508070808197630764836933934,0,6,16,0,0
610323217267643538936375690642373077755004129822971118650504995259068747509,44572760592519791049693493502789098925949292785665845984629667213135946243074,0,30,16,0,0
623072204238521732624588912209008602672493243339191043286372278530062635815,44572760592519791049693493502789098925949292785665845984629667213135946243074,0,16,16,0,0
634515519466162632003469161009280521841762562478612344643064692381466028884,88774264621058882344861714599027560679277716842487508070808197630764836933934,0,16,16,0,0
665694988582607832114383488468545586701240202712076447391950543624385753058,73701641029887600249961343338973597360127254455583723069938763114031389713034,0,6,16,0,0
667393992399753982131494724468978156150414442074030139180983780720247256869,88774264621058882344861714599027560679277716842487508070808197630764836933934,0,17,16,0,0
681383644581883145178106815545580604271884243328825432627216485840107812480,44572760592519791049693493502789098925949292785665845984629667213135946243074,0,24,16,0,0
692583603538766454651693972894040648880041024518756821643680436994456186482,44572760592519791049693493502789098925949292785665845984629667213135946243074,0,33,16,0,0
709087983974609077512593039031827705632770640403601712044704805084355102572,44572760592519791049693493502789098925949292785665845984629667213135946243074,0,10,16,0,0
718223846932376206190394324516450354051688978993156076960474718807015249114,88774264621058882344861714599027560679277716842487508070808197630764836933934,0,33,16,0,0
732257388336417767460348049328320995721936466299318969666341328377716715083,44572760592519791049693493502789098925949292785665845984629667213135946243074,0,15,16,0,0
756785444710371515169706764827766268991901762456887614457166653058193434270,44572760592519791049693493502789098925949292785665845984629667213135946243074,0,14,16,0,0
793059790375240540919659353244214869473126518859633046500339097957042058035,93541373975201890938187850683779644081366556136554089446356210062480894951600,0,31,16,0,0
809490221121011710046046313641650426396688502638243530198150736982942412113,88774264621058882344861714599027560679277716842487508070808197630764836933934,0,30,16,0,0
821865565657556046344625106427906975951865728784186953342650060499973317793,44572760592519791049693493502789098925949292785665845984629667213135946243074,0,33,16,0,0
902919276403530276085925042106698001610530495100346590262660635743381381461,93541373975201890938187850683779644081366556136554089446356210062480894951600,0,29,16,0,0
903851661029887106503213505752852703472379433830684930559717932455227718018,88774264621058882344861714599027560679277716842487508070808197630764836933934,0,21,16,0,0
918453379946830451891306615849052683403707163070650550667822502975571492236,73701641029887600249961343338973597360127254455583723069938763114031389713034,0,1,16,0,0
