time,t1-normal,t1-evil,t2-normal,t2-evil,t3-normal,t3-evil,t4-normal,t4-evil,t5-normal,t5-evil
100000,13044,0,14029,0,5940,0,4696,0,2217,0
200000,22903,0,22154,0,10426,0,7941,0,4066,0
300000,30582,0,29947,0,14503,0,10327,0,5636,0
400000,30601,0,29384,0,14397,0,10335,0,5754,0
500000,30581,0,29412,0,14365,0,10330,0,5711,0
600000,30491,0,29590,0,14432,0,10318,0,5696,0
700000,30644,0,29536,0,14496,0,10310,0,5716,0
800000,30596,0,29575,0,14321,0,10231,0,5629,0
900000,30643,0,29612,0,14294,0,10246,0,5636,0
1000000,30794,0,29562,0,14421,0,10287,0,5621,0
1100000,30733,0,29666,0,14536,0,10264,0,5588,0
1200000,30766,0,29753,0,14497,0,10341,0,5575,0
1300000,31018,0,29793,0,14568,0,10314,0,5522,0
1400000,30942,0,29992,0,14654,0,10365,0,5508,0
1500000,30947,0,30000,0,14681,0,10380,0,5587,0
1600000,31192,0,30084,0,14633,0,10482,0,5596,0
1700000,31412,0,30189,0,14776,0,10545,0,5569,0
1800000,31418,0,30174,0,14766,0,10581,0,5527,0
1900000,31742,0,30282,0,14731,0,10606,0,5567,0
2000000,31766,0,30365,0,14838,0,10610,0,5635,0
2100000,31788,0,30463,0,14868,0,10645,0,5656,0
2200000,32001,0,30507,0,14947,0,10648,0,5646,0
2300000,32019,0,30633,0,14985,0,10728,0,5697,0
2400000,32110,0,30725,0,15005,0,10711,0,5702,0
2500000,32105,0,30811,0,15158,0,10755,0,5730,0
2600000,32167,0,30864,0,15118,0,10804,0,5717,0
2700000,32162,0,30957,0,15208,0,10975,0,5886,0
2800000,32320,0,31094,0,15354,0,11043,0,5930,0
2900000,32355,0,31260,0,15455,0,11037,0,5977,0
3000000,32429,0,31335,0,15461,0,11053,0,5947,0
3100000,32601,0,31484,0,15418,0,11010,0,5886,0
3200000,32742,0,31579,0,15382,0,11031,0,5893,0
3300000,32782,0,31726,0,15455,0,11083,0,5947,0
3400000,32709,0,31850,0,15587,0,11106,0,5929,0
3500000,32787,0,31940,0,15636,0,11101,0,5943,0
