time,t1_wait,t2_wait,t3_wait,t4_wait,t5_wait,t1_cumWait,t2_cumWait,t3_cumWait,t4_cumWait,t5_cumWait,t1_reject,t2_reject,t3_reject,t4_reject,t5_reject
100000,145.55611864659411,325.06511114614534,68.10954165465552,102.46254355400697,0.0,201.0,201.0,201.0,201.0,201.0,0,0,0,0,0
200000,187.57890011223344,162.22229064039408,209.96616541353384,0.0,0.0,201.0,201.0,201.0,201.0,201.0,0,0,0,0,0
300000,0.0,2.504641751963818,0.0,0.0,0.0,201.0,201.0,201.0,201.0,201.0,0,0,0,0,0
400000,5427.659850776201,4411.480607799243,1781.4011765404214,5182.307810652945,1836.308812371283,78839.00091883614,84507.64163090129,73344.95857625038,75667.19266055046,50503.04675118859,0,0,0,0,0
500000,15399.7797739136,9950.670741222366,11206.850181087282,11322.485053747607,16840.12786725232,18200.143929058664,21355.105563782527,30998.471657291215,14970.13795423957,10816.143280632412,0,0,0,0,0
600000,3533.0176611796983,5619.055277551495,4468.233915542782,3425.8776916451334,770.3208292201382,2954.4502209513907,2055.1013824884794,4911.54704797048,3417.4143344709896,1678.3881856540083,0,0,0,0,0
700000,5232.366321684966,3536.0243011175344,1138.5594829562367,4999.831974939011,1762.565247226564,147705.89856838257,165512.8749576988,135591.09273813266,146159.68758057585,97253.02247191011,0,0,0,0,0
800000,15549.923637878946,8749.776461821688,11862.88831056838,10937.619118375433,14411.11938286399,28235.958974358975,39963.27575822757,51583.75262237762,16469.780649436714,24299.465465465466,0,0,0,0,0
900000,3264.146240601504,8825.15303861754,3887.346835443038,4126.239251390996,8674.224719101123,3025.966614090431,7524.307371007371,3400.8624464540694,2165.4829302987196,1670.2167938931298,0,0,0,0,0
1000000,5238.890617500651,3680.0711884355046,1161.5192885922718,4978.381041465947,1990.1728136288632,199506.49050873198,216924.7550153009,162499.61083123425,207751.77993947256,123699.89677419355,0,0,0,0,0
