topic,registrant,times_registered,min_registration_time,average_registration_time,min_discovery_time,average_discovery_time
t4,107612190698583980557550276996036638173060296790560923250479749035753458409427,106,201,141516,20999,191790
t4,12117194400122220410702828526818132281062911031051341651953419539984555640583,72,201,176491,199,150915
t4,12250327187387487771460470192431053896753587271261872801559752758587810581562,88,201,182200,56898,182596
t4,45755332486275736517160739212258137132628006608031450688147461133567376425621,69,201,223260,4408,155188
t4,74532142756254087506976092155716189242404350263068089438112828216483293904524,106,201,126937,4398,163128
t4,10304397901582116920975529505371837529502800942638848280673847266679769162024,73,201,209086,15593,139460
t4,66229621419069195761638945481742993423269042753448298962230865411564321458984,111,201,128665,10799,146919
t4,106655688710425436983294189586874051407090088359659070138389214443975385540995,93,201,180249,6974,151686
t4,26340259881935887949557897565017215980076774683449507693471104124824183642962,77,201,190441,9748,163276
t4,80454553165171676515930643341691711934741301144928167009134237361918151322802,112,201,133065,7668,188114
t4,100511355854852212998724340033764147595397934250746780992348761670432466206623,97,201,163179,6509,163521
t4,66818593851671114314044723401645818005417400884147971892067020888708289031709,81,201,174940,799,149957
t4,114068174956697594979072108501018954274924461971125747826759898071510255846167,92,201,175653,5791,164062
t4,109576932753174867346426864153393318538741181687232687718311941123060838897314,105,201,141725,17056,184222
t4,12519016595458329138618449363937738721862994869118048792167002238928989967797,84,201,174980,799,175130
t4,64511776713361005746408025312131870556429605325000836663974927151003857910436,104,201,148399,7599,198093
t4,45511719427300593018886717580216747400941684814520023669050363594703456575329,89,201,171578,1501,141859
t4,82942759925990810255932793403352815045671444217909781481071817182136435120849,91,201,141508,199,175472
t4,11904368612892972105757319377894504928751224986265602631325438108679904299059,50,201,259046,799,84665
t4,101746379386677363969851798358271534857145133591028843029156905815045896295979,45,201,131694,16999,171936
t4,113363362758813302396187394490356214686996203959991884013516295725682000045630,84,201,159466,2799,126931
t4,3490559622796562439565916444026231062308963727404297119021210934359389507452,78,201,193153,11999,126780
t4,77696103719680410523900950489124250483005593234970196934949632609671415823451,117,201,129041,12199,154155
t4,5562244975482637842782152077043650900846944537126174855656444159124313549386,93,201,169451,13497,192713
t4,31496764324162713665271334327015735870563547357388933514492720946623981157422,97,201,149695,7351,179444
t4,93820101152878249312620397410723429545121672264492190906648764092922780103571,54,201,50585,70186,210799
t4,31468376197926039826698551225655381056433892545780397839318994101020611850156,35,201,79993,34357,155417
t4,47177401132982968532316890062157296771476553035023894617252572512123000137567,86,201,186624,2999,191863
t4,38416228283704393168522858170283254446295011151515252795234259015882512297586,82,201,184885,744,174367
t4,57122264768450295689254918507041101300813038202547845304322452220566826705462,30,201,201,4906,183287
t4,72155963286199430082283743914088643377818798048019356510328911601677786092081,107,201,146067,28148,158288
t4,15789067066456921531428373660816515614113922105396274181314864723229801799325,87,201,170104,7708,172453
t4,97962578284820440075195675096842433670229509432576925942933957818636966253379,87,201,177018,23999,166075
t4,112185359301513671428611166410808591524663575004593986111712314423563338587349,27,201,44111,1199,183920
t4,73620617898067181603140641236604850880992933100224956870261205306221917698266,128,201,98499,11212,168178
t4,84334907103755326416651290298652110536485161282192526006809067731424595898011,102,201,140409,3412,153919
t4,98539176084269029054121003916742922056413785755357777212499052861754249384495,96,201,156183,3599,143342
t4,94791579652766397236220407431412325571412780303283616312985959272920096554448,13,201,231,1199,1199
t4,97409564581693351440681282521341040768647555306864599906398287290197306480149,84,201,171754,14799,144977
t4,83551755994288791430101637723201408948809040161651549991163439466677110389982,99,201,120527,4077,180804
t4,69912440679813453925701443579790056624304660461146922541282805744884002622271,106,201,137353,199,162138
t4,2487868506231820587826737779265325687482154722026511887973498194421557236390,47,201,156787,999,148089
t4,78382185080061404368501268179700167532975955658319040931837771060034163382722,95,201,150334,57999,161587
t4,26028631653030733108728292522676865600731910631077761940669609513096305625380,88,201,178269,27082,160716
t4,35821090823226567805609398137869032230535952398440454487397659490863714021261,43,201,63603,12882,167889
t4,22403749156706492514678074394293708066194328423250479753212441491822956063036,72,201,204904,16590,116760
t4,114122211125933302926293805197669055014973681815629309112379287629166129959944,92,201,153037,3885,172702
t4,77859829594689304864567433044665534501331095450429213836522399253654470794438,126,201,100306,3262,140167
t4,112953827908850827988001060812906964175046028705212777291072924993431191813499,94,201,166683,18367,151963
t4,27459759104475853080963337311601313378805449313768234260977229323350290937310,47,201,247857,12860,115324
t4,12771234828300922028857504579137432825165609576435117618997584988672611512802,78,201,192260,6799,165607
t4,75518482971624393118990293300683660089876973837230552610107077734501146405886,80,201,114271,561,175080
