topic,nodeId,count
t4,34511823913795806777041154080508500127905959955180404144101319759058490963029,47
t4,82149142964483009042154024570124438774529012685590960938575797961283433917911,44
t4,39622000092329845474185802054608574338890662284683802797893688888306836411941,54
t4,53853006894512943802329742540619225854375357546181532451929936525545391252494,55
t4,94524213261500720208624577752003011285103308431091012380297757025720270033862,53
t4,21194986748804773143758014946551764399023873864111381086933909573462804437019,55
t4,25766200218745313884330098970167418370763567587844767557728228379215342699002,44
t4,26481038625129295597620152155711622670883252151586683645938895520040020923242,44
t4,30169307868038722864326730844079353998531683027258374547417663770498125985383,59
t4,17448702403247776055026659645528032131906798869302226166987099426698766288288,47
t4,86507137701403472723855121368018709703974512159417251028002865493570628781600,46
t4,89103218487988826617415943560628191244357040991506578293356133769392525011184,12
t4,89127723872030351808360335407925619880238144418651999470159118877663772259625,43
t4,115498179669229020895712941163758118161025144679686738046386102050783841570637,54
t4,114248059484971098660106367447077282863554575128979701204921865284233991739883,54
t4,32903705836095027979878249524887296369282637944634190267402794672971570945937,44
t4,77197269434715740427132588100361593412793431762134381497196872584474155856632,49
t4,83500216807586885247982913123512590361496026608475697455805524335860508894195,55
t4,57029105249133398303716716623836224314361372650375736754270264766591923323778,60
t4,113012550420684441405328966011931046098535013434060038502217204106189656928650,42
t4,21202880469999889523403966233571057526490112245689328615560698931140797174963,49
t4,31243384917338529802968192950178286494301457556806253044588122385638808321307,49
t4,32974260438803602151864735018648939608505940533267277605723346160354104445198,52
t4,73236393521659422537664319912432924076939798826832759896010346315254796212709,48
t4,81744386620819381919164668489121122436660447561302204015180258783596243221589,40
t4,36731733305173932334593082281277169992879316818607269670249813534609414120376,49
t4,55840341163912920136933261722475942232547697913410012608849760827704877352667,49
t4,107434645859309301114309954553812903223329200291989475461016922746206588686478,42
t4,6568004554414756940152586151583395822728341532723496261736012780489260180007,62
t4,102366194649224003786275827578215458775489825883005646627468178343874968397361,39
t4,89714004732866781869138240110134094969124031572675328914946029335592852689823,47
t4,64266998872920773338973886987780744323936529496598114190510636537684925710426,62
t4,99308485037174200525540960208737219447558973269131216348624686280333541813662,42
t4,70596710837518676339517358000740807083339651005573678982686248781241124982331,42
t4,86372519002525771228690174623465814060588231464703858502500525741630763004254,54
t4,31183128656483168941889535615255160107244988742912316864377203602657781093104,44
t4,11639805222924245800051358194916786044842400030940160363657159370725651302286,39
t4,99175075295171601246371005844852032453818957037808235755507011916173797583306,39
t4,476982528653962679256258194063829299744212859847713661885292000077972319444,57
t4,5497576020437300932583185797246629030237600861368072432268897700537402731415,47
t4,34737105286362762038826397143074442969602465209839209084336530153480891505116,44
t4,29150123140934567503935159990959244536709730847174724770106177796520588841475,49
t4,107628942620802873148361910663064969310787153121505621494898681462899741228358,51
t4,31610644923493433841682702318173197021382835390929945352202478788028808998641,63
t4,10600894041879048193501591223284316653786073536752748947813406606389583373787,48
t4,38436105335830964747567675721116081804137300715697825192007090510908188293003,51
t4,89328837334547650785072920743067370488945224317960834509272587439733284609978,50
t4,87059054271387861640478756586046205699280541935291898952278314069947213973813,12
t4,16966373779851881107857959178149887771912243987671291530462733419616041044564,55
t4,99878898100018883847779754655059529455254417297622447270451661069545067388107,50
t4,31538771071705599035032056142476939418169367733811988034689532328717165136262,50
t4,27644795035077044654288768709077789620131226822335975618576490023337470996451,53
t4,1063746180812293138887147089075963624870327760613376677517257382747015181242,50
t4,98323212828001070646692338503619226330865728839612409577470420652614911714927,39
t4,99859582947259722429694352374596912019622007334761943350523936144603965600379,48
t4,2269492498407044999908709798762630577002902839218765605367636188461907759916,52
t4,101283554925205488261400921964040388694110385103143132926136533474230992224762,56
t4,103747250995549031538443609975267240830486594679081701552176830407807417524431,49
t4,79912213545378696167071301435155924058517269724851507590858264841441105700077,65
t4,42544533665000030917508578901000635032523518017747067538757749576261095999230,45
t4,108806130824589499698008524327854433295485960318143409714971781857304177689137,44
t4,45627195197758541834452046178555818536127676765946035942666192247536462919269,56
t4,113639145970703650365361148224815543405451449381813480910069209612383130305425,55
t4,29230352739128606828329602369370241259551196975736335548642408340966892598566,46
t4,62356999373981723688085426372518885577374899493288050219608861772942378269895,42
t4,47571596520103783831103231667086836637360838270397838182386627139996109784356,47
t4,90441477782985619541396253031041015138904177190943821654754062375813796396730,46
t4,17129198376331153749994955882844379096976723988606483233121176157688386599383,45
t4,41028717174526183700662958813566997699555396259211887658214547251487277410053,45
t4,66409179698699379778101204535430994188519164193712030372792571969432799621294,47
t4,8988764688451684192785222679608040520496917785043694882061920327834990943879,41
t4,53194523704144441322210630719913554847993541634930195163097745005443397517949,0
t4,52059778306966170035694492237790876224050752579060688588786076695995242221979,40
t4,89168238776278269667304361646666147862464532979291679402968488964630587139118,48
t4,113039050711482850122140767320832505238645135097761143536360447490531534663662,46
t4,86369311175171572009831903061478013771518627355218654704618854204295622902770,43
t4,114884275781243226537047337353248340282451757264284547715819713748526747939531,43
t4,114700487346484168905196256304380145320072098472280548895847896751776618247166,46
t4,27512453244015781117143553036897805552892983625969084217781029123234483104303,58
t4,23541954992498028483599258189795390515854930473247346949071026222171966240590,54
t4,104507041187494958394837930900051622824060666267321557077613000593590471830787,51
t4,87609087431434574647856914293062591943154487955731908413929080207433976251625,42
t4,9622662877970010476743120171548131412639201670093575901293857878528850455232,47
t4,12703116955347579483191360047994689437032357094366640459241286701478606360531,48
t4,95305258236804812746419947553024837074364294164114083548005946572589343176661,50
t4,92302750471974541133054509479617175802320541350569175147361330786264317845269,54
t4,83530666166546230848161883958806824767864709720031722584177709586877579882096,47
t4,33027381349449195522834368249461431077543303487926217880171869218730195485748,42
t4,84191138661639165751830900073192672420329486342577452451628453905923283333562,42
t4,9229584188005204911734750262869611965276990103958779407638580007236064741848,46
t4,67920736350442666671063989212242241922238936046539109786780331186864718158565,45
t4,10808576072070273308894618119885021139277802132637346842163978310787408021632,42
t4,70685113204072609264211173591628960727957646025344673657166140841694405995561,42
t4,5263036333967009769027881732077671734060373069612245117511923536499801705121,61
t4,85980907449594783746901929793786017810187286566109553703344211210766676526012,45
t4,42893872336100077854226356523084248758670527768956965605169617856326833646292,49
t4,1550173801442751417792725034269687169072022895688356008078909292890135615195,48
t4,53568112742040276070740564539707671420425957270690813408302866261138506243096,51
t4,43948038205296727622983816786091132427318048481119846149578606942420933560743,47
t4,36014972641461498957852989111064309832394501989505830941432911584817016334762,65
t4,90032724003597571817258930336967463694376686182492425307271616962908299592050,48
t4,13171711037866639651053412401727993976492257256892543787241743201636487830043,44
t4,15486092084295108198706030866375140865196188149729499117603648867030633819661,47
t4,33125706225693729677423546653242245716700228886263645066022261965017166819103,44
t4,66745313559318654469855160644025667163680698749172403765193175769944886701443,49
t4,97556717728670896957124886054490978183895860962580685130764773446719079227747,43
t4,11815797154036858552151286425549213694794722980051381864507046079148711135005,50
t4,95924859143169064744915891794860864687660726135117319830898363298553437176647,51
t4,69040279129462181628184285656058764494320934125278698722963145322352280614491,10
t4,97515021599459191783626485979392141589692327544959284619432181375839430880834,49
t4,115303954201568360389859693569795507548315245108884923947715967558026240686612,45
t4,4473320279178703303879289825411025439607481602687139438865338140717224570653,51
t4,82434303521066303674100967402604468172257857150494684101684521078815043835150,48
t4,85230509286806608923431880504843237112946226353068052482368207061102152930375,35
t4,40502505527029244805309221064762001650846173770575263014124467962625607576187,47
t4,40071896561459724180902079448123452535676374048407789512514112646077345638392,53
t4,102912302895995077652891497506695416273892110710031472917969540731746646396099,41
t4,67368184182237090755929274953559242343465978302178484544088253787429163710820,42
t4,26606811666467458439025767410575190969101512109100859693185681633846517792965,51
t4,95058884918636551174889387873397046814698870446682148893539899708396728262447,52
t4,22426615778973930938003546092735910106452447207744762325837107832875225538631,39
t4,91323982380933305605564078023314006150314635826893975801164904151490396193282,48
t4,105259771672806626633701697084609434796427709225980271434041410954495819271074,40
t4,20297846416686808021680338149586464833392595838863912444581264407469002114102,53
t4,92581458002813377098198819074233617097856962796801570127463631531361140468638,59
t4,4807564729499496672676184436468116694093794058451590027685728201346430021549,51
t4,94405241213652512020475538367880654608525618072271679394104588362568287846867,38
t4,45857859669039613819347058602860325254853161393617218852266635651224595016702,43
t4,52037435552675493319324532514148246141985251924613076895029809063021453072380,44
t4,102673083757101807698798450030918740588670972858272766754059390093004649311515,42
t4,21128420936459092027218419227203676009037626954225213014530026242014709826410,49
t4,49451912158302610317785524983838740657877115133724789943293421201417008130253,40
t5,62356999373981723688085426372518885577374899493288050219608861772942378269895,60
t5,90441477782985619541396253031041015138904177190943821654754062375813796396730,66
t5,34511823913795806777041154080508500127905959955180404144101319759058490963029,63
t5,53853006894512943802329742540619225854375357546181532451929936525545391252494,62
t5,25766200218745313884330098970167418370763567587844767557728228379215342699002,66
t5,66409179698699379778101204535430994188519164193712030372792571969432799621294,47
t5,26481038625129295597620152155711622670883252151586683645938895520040020923242,63
t5,53194523704144441322210630719913554847993541634930195163097745005443397517949,0
t5,52059778306966170035694492237790876224050752579060688588786076695995242221979,61
t5,89168238776278269667304361646666147862464532979291679402968488964630587139118,62
t5,86369311175171572009831903061478013771518627355218654704618854204295622902770,53
t5,113039050711482850122140767320832505238645135097761143536360447490531534663662,58
t5,114884275781243226537047337353248340282451757264284547715819713748526747939531,54
t5,114700487346484168905196256304380145320072098472280548895847896751776618247166,60
t5,30169307868038722864326730844079353998531683027258374547417663770498125985383,66
t5,27512453244015781117143553036897805552892983625969084217781029123234483104303,67
t5,23541954992498028483599258189795390515854930473247346949071026222171966240590,62
t5,89103218487988826617415943560628191244357040991506578293356133769392525011184,14
t5,89127723872030351808360335407925619880238144418651999470159118877663772259625,64
t5,104507041187494958394837930900051622824060666267321557077613000593590471830787,73
t5,115498179669229020895712941163758118161025144679686738046386102050783841570637,58
t5,32903705836095027979878249524887296369282637944634190267402794672971570945937,59
t5,77197269434715740427132588100361593412793431762134381497196872584474155856632,63
t5,12703116955347579483191360047994689437032357094366640459241286701478606360531,65
t5,92302750471974541133054509479617175802320541350569175147361330786264317845269,52
t5,84191138661639165751830900073192672420329486342577452451628453905923283333562,62
t5,33027381349449195522834368249461431077543303487926217880171869218730195485748,52
t5,9229584188005204911734750262869611965276990103958779407638580007236064741848,61
t5,67920736350442666671063989212242241922238936046539109786780331186864718158565,70
t5,70685113204072609264211173591628960727957646025344673657166140841694405995561,57
t5,32974260438803602151864735018648939608505940533267277605723346160354104445198,59
t5,73236393521659422537664319912432924076939798826832759896010346315254796212709,75
t5,81744386620819381919164668489121122436660447561302204015180258783596243221589,56
t5,5263036333967009769027881732077671734060373069612245117511923536499801705121,71
t5,85980907449594783746901929793786017810187286566109553703344211210766676526012,61
t5,42893872336100077854226356523084248758670527768956965605169617856326833646292,62
t5,55840341163912920136933261722475942232547697913410012608849760827704877352667,61
t5,107434645859309301114309954553812903223329200291989475461016922746206588686478,62
t5,1550173801442751417792725034269687169072022895688356008078909292890135615195,63
t5,43948038205296727622983816786091132427318048481119846149578606942420933560743,68
